Most	JJS	most
of	IN	of
us	PP	us
think	VBP	think
of	IN	of
motion	NN	motion
as	IN	as
a	DT	a
very	RB	very
visual	JJ	visual
thing	NN	thing
.	SENT	.
If	IN	if
I	PP	I
walk	VBP	walk
across	IN	across
this	DT	this
stage	NN	stage
or	CC	or
gesture	NN	gesture
with	IN	with
my	PP$	my
hands	NNS	hand
while	IN	while
I	PP	I
speak	VBP	speak
,	,	,
that	IN	that
motion	NN	motion
is	VBZ	be
something	NN	something
that	IN	that
you	PP	you
can	MD	can
see	VB	see
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
world	NN	world
of	IN	of
important	JJ	important
motion	NN	motion
that	RB	that
'	POS	'
s	NN	S
too	RB	too
subtle	JJ	subtle
for	IN	for
the	DT	the
human	JJ	human
eye	NN	eye
,	,	,
and	CC	and
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
to	TO	to
find	VB	find
that	IN	that
cameras	NNS	camera
can	MD	can
often	RB	often
see	VB	see
this	DT	this
motion	NN	motion
even	RB	even
when	WRB	when
humans	NNS	human
can	MD	can
'	''	'
t	NN	t
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
show	VB	show
you	PP	you
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
here	RB	here
,	,	,
you	PP	you
see	VBP	see
video	NN	video
of	IN	of
a	DT	a
person	NN	person
'	POS	'
s	NN	S
wrist	NN	wrist
,	,	,
and	CC	and
on	IN	on
the	DT	the
right	NN	right
,	,	,
you	PP	you
see	VBP	see
video	NN	video
of	IN	of
a	DT	a
sleeping	NN	sleeping
infant	NN	infant
,	,	,
but	CC	but
if	IN	if
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
you	PP	you
that	IN	that
these	DT	these
were	VBD	be
videos	NNS	video
,	,	,
you	PP	you
might	MD	might
assume	VB	assume
that	IN	that
you	PP	you
were	VBD	be
looking	VBG	look
at	IN	at
two	CD	two
regular	JJ	regular
images	NNS	image
,	,	,
because	IN	because
in	IN	in
both	DT	both
cases	NNS	case
,	,	,
these	DT	these
videos	NNS	video
appear	VBP	appear
to	TO	to
be	VB	be
almost	RB	almost
completely	RB	completely
still	RB	still
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
actually	RB	actually
a	DT	a
lot	NN	lot
of	IN	of
subtle	JJ	subtle
motion	NN	motion
going	VBG	go
on	IN	on
here	RB	here
,	,	,
and	CC	and
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
touch	VB	touch
the	DT	the
wrist	NN	wrist
on	IN	on
the	DT	the
left	NN	left
,	,	,
you	PP	you
would	MD	would
feel	VB	feel
a	DT	a
pulse	NN	pulse
,	,	,
and	CC	and
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
hold	VB	hold
the	DT	the
infant	NN	infant
on	IN	on
the	DT	the
right	NN	right
,	,	,
you	PP	you
would	MD	would
feel	VB	feel
the	DT	the
rise	NN	rise
and	CC	and
fall	NN	fall
of	IN	of
her	PP$	her
chest	NN	chest
as	IN	as
she	PP	she
took	VBD	take
each	DT	each
breath	NN	breath
.	SENT	.
And	CC	and
these	DT	these
motions	NNS	motion
carry	VBP	carry
a	DT	a
lot	NN	lot
of	IN	of
significance	NN	significance
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
usually	RB	usually
too	RB	too
subtle	JJ	subtle
for	IN	for
us	PP	us
to	TO	to
see	VB	see
,	,	,
so	RB	so
instead	RB	instead
,	,	,
we	PP	we
have	VBP	have
to	TO	to
observe	VB	observe
them	PP	them
through	IN	through
direct	JJ	direct
contact	NN	contact
,	,	,
through	IN	through
touch	NN	touch
.	SENT	.
But	CC	but
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
my	PP$	my
colleagues	NNS	colleague
at	IN	at
MIT	NP	MIT
developed	VBN	develop
what	WP	what
they	PP	they
call	VBP	call
a	DT	a
motion	NN	motion
microscope	NN	microscope
,	,	,
which	WDT	which
is	VBZ	be
software	NN	software
that	WDT	that
finds	VBZ	find
these	DT	these
subtle	JJ	subtle
motions	NNS	motion
in	IN	in
video	NN	video
and	CC	and
amplifies	VBZ	amplify
them	PP	them
so	RB	so
that	IN	that
they	PP	they
become	VBP	become
large	JJ	large
enough	RB	enough
for	IN	for
us	PP	us
to	TO	to
see	VB	see
.	SENT	.
And	CC	and
so	RB	so
,	,	,
if	IN	if
we	PP	we
use	VBP	use
their	PP$	their
software	NN	software
on	IN	on
the	DT	the
left	JJ	left
video	NN	video
,	,	,
it	PP	it
lets	VBZ	let
us	PP	us
see	VB	see
the	DT	the
pulse	NN	pulse
in	IN	in
this	DT	this
wrist	NN	wrist
,	,	,
and	CC	and
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
count	VB	count
that	DT	that
pulse	NN	pulse
,	,	,
we	PP	we
could	MD	could
even	RB	even
figure	VB	figure
out	RP	out
this	DT	this
person	NN	person
'	POS	'
s	JJ	<unknown>
heart	NN	heart
rate	NN	rate
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
used	VBD	use
the	DT	the
same	JJ	same
software	NN	software
on	IN	on
the	DT	the
right	JJ	right
video	NN	video
,	,	,
it	PP	it
lets	VBZ	let
us	PP	us
see	VB	see
each	DT	each
breath	NN	breath
that	IN	that
this	DT	this
infant	NN	infant
takes	VBZ	take
,	,	,
and	CC	and
we	PP	we
can	MD	can
use	VB	use
this	DT	this
as	IN	as
a	DT	a
contact-free	JJ	<unknown>
way	NN	way
to	TO	to
monitor	VB	monitor
her	PP$	her
breathing	NN	breathing
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
technology	NN	technology
is	VBZ	be
really	RB	really
powerful	JJ	powerful
because	IN	because
it	PP	it
takes	VBZ	take
these	DT	these
phenomena	NNS	phenomenon
that	IN	that
we	PP	we
normally	RB	normally
have	VB	have
to	TO	to
experience	VB	experience
through	IN	through
touch	NN	touch
and	CC	and
it	PP	it
lets	VBZ	let
us	PP	us
capture	VB	capture
them	PP	them
visually	RB	visually
and	CC	and
non-invasively	JJ	<unknown>
.	SENT	.
So	IN	so
a	DT	a
couple	NN	couple
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
started	VBD	start
working	VBG	work
with	IN	with
the	DT	the
folks	NNS	folk
that	WDT	that
created	VBD	create
that	DT	that
software	NN	software
,	,	,
and	CC	and
we	PP	we
decided	VBD	decide
to	TO	to
pursue	VB	pursue
a	DT	a
crazy	JJ	crazy
idea	NN	idea
.	SENT	.
We	PP	we
thought	VBD	think
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
cool	VBP	cool
that	IN	that
we	PP	we
can	MD	can
use	VB	use
software	NN	software
to	TO	to
visualize	VB	visualize
tiny	JJ	tiny
motions	NNS	motion
like	IN	like
this	DT	this
,	,	,
and	CC	and
you	PP	you
can	MD	can
almost	RB	almost
think	VB	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
way	NN	way
to	TO	to
extend	VB	extend
our	PP$	our
sense	NN	sense
of	IN	of
touch	NN	touch
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
we	PP	we
could	MD	could
do	VB	do
the	DT	the
same	JJ	same
thing	NN	thing
with	IN	with
our	PP$	our
ability	NN	ability
to	TO	to
hear	VB	hear
?	SENT	?
What	WP	what
if	IN	if
we	PP	we
could	MD	could
use	VB	use
video	NN	video
to	TO	to
capture	VB	capture
the	DT	the
vibrations	NN	vibrations
of	IN	of
sound	NN	sound
,	,	,
which	WDT	which
are	VBP	be
just	RB	just
another	DT	another
kind	NN	kind
of	IN	of
motion	NN	motion
,	,	,
and	CC	and
turn	VB	turn
everything	NN	everything
that	IN	that
we	PP	we
see	VBP	see
into	IN	into
a	DT	a
microphone	NN	microphone
?	SENT	?
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
strange	JJ	strange
idea	NN	idea
,	,	,
so	RB	so
let	VB	let
me	PP	me
try	VB	try
to	TO	to
put	VB	put
it	PP	it
in	IN	in
perspective	NN	perspective
for	IN	for
you	PP	you
.	SENT	.
Traditional	JJ	traditional
microphones	NNS	microphone
work	VBP	work
by	IN	by
converting	VBG	convert
the	DT	the
motion	NN	motion
of	IN	of
an	DT	an
internal	JJ	internal
diaphragm	NN	diaphragm
into	IN	into
an	DT	an
electrical	JJ	electrical
signal	NN	signal
,	,	,
and	CC	and
that	IN	that
diaphragm	NN	diaphragm
is	VBZ	be
designed	VBN	design
to	TO	to
move	VB	move
readily	RB	readily
with	IN	with
