Walk	VB	walk
around	RB	around
for	IN	for
four	CD	four
months	NNS	month
with	IN	with
three	CD	three
wishes	NNS	wish
,	,	,
and	CC	and
all	PDT	all
the	DT	the
ideas	NNS	idea
will	MD	will
start	VB	start
to	TO	to
percolate	VB	percolate
up	RP	up
.	SENT	.
I	PP	I
think	VBP	think
everybody	NN	everybody
should	MD	should
do	VB	do
it	PP	it
â	NP	<unknown>
think	VBP	think
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
three	CD	three
wishes	NNS	wish
.	SENT	.
And	CC	and
what	WP	what
would	MD	would
you	PP	you
do	VB	do
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
great	JJ	great
exercise	NN	exercise
to	TO	to
really	RB	really
drill	VB	drill
down	RP	down
to	TO	to
the	DT	the
things	NNS	thing
that	WDT	that
you	PP	you
feel	VBP	feel
are	VBP	be
important	JJ	important
,	,	,
and	CC	and
really	RB	really
reflect	VB	reflect
on	IN	on
the	DT	the
world	NN	world
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
thinking	VBG	think
that	IN	that
,	,	,
can	MD	can
an	DT	an
individual	NN	individual
actually	RB	actually
do	VBP	do
something	NN	something
,	,	,
or	CC	or
come	VB	come
up	RP	up
with	IN	with
something	NN	something
,	,	,
that	WDT	that
may	MD	may
actually	RB	actually
get	VB	get
some	DT	some
traction	NN	traction
out	IN	out
there	RB	there
and	CC	and
make	VB	make
a	DT	a
difference	NN	difference
?	SENT	?
Inspired	VBN	inspire
by	IN	by
nature	NN	nature
â	NP	<unknown>
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
theme	NN	theme
here	RB	here
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
,	,	,
quite	RB	quite
frankly	RB	frankly
,	,	,
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
started	VBD	start
.	SENT	.
I	PP	I
became	VBD	become
very	RB	very
interested	JJ	interested
in	IN	in
the	DT	the
landscape	NN	landscape
as	IN	as
a	DT	a
Canadian	JJ	Canadian
.	SENT	.
We	PP	we
have	VBP	have
this	DT	this
Great	NP	Great
North	NP	North
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
pretty	RB	pretty
small	JJ	small
population	NN	population
,	,	,
and	CC	and
my	PP$	my
father	NN	father
was	VBD	be
an	DT	an
avid	JJ	avid
outdoorsman	NN	outdoorsman
.	SENT	.
So	RB	so
I	PP	I
really	RB	really
had	VBD	have
a	DT	a
chance	NN	chance
to	TO	to
experience	VB	experience
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
could	MD	could
never	RB	never
really	RB	really
understand	VB	understand
exactly	RB	exactly
what	WP	what
it	PP	it
was	VBD	be
,	,	,
or	CC	or
how	WRB	how
it	PP	it
was	VBD	be
informing	VBG	inform
me	PP	me
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
telling	VBG	tell
me	PP	me
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
this	DT	this
transient	JJ	transient
thing	NN	thing
that	RB	that
'	POS	'
s	NN	S
happening	NN	happening
,	,	,
and	CC	and
that	IN	that
the	DT	the
nature	NN	nature
that	IN	that
you	PP	you
see	VBP	see
out	RB	out
there	RB	there
â	NP	<unknown>
the	DT	the
untouched	JJ	untouched
shorelines	NNS	shoreline
,	,	,
the	DT	the
untouched	JJ	untouched
forest	NN	forest
that	IN	that
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
see	VB	see
â	NP	<unknown>
really	RB	really
bring	VB	bring
in	IN	in
a	DT	a
sense	NN	sense
of	IN	of
that	DT	that
geological	JJ	geological
time	NN	time
,	,	,
that	IN	that
this	DT	this
has	VBZ	have
gone	VBN	go
on	RP	on
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
experiencing	VBG	experience
it	PP	it
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
And	CC	and
that	IN	that
,	,	,
to	TO	to
me	PP	me
,	,	,
was	VBD	be
a	DT	a
reference	NN	reference
point	NN	point
that	IN	that
I	PP	I
think	VBP	think
I	PP	I
needed	VBN	need
to	TO	to
have	VB	have
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
make	VB	make
the	DT	the
work	NN	work
that	IN	that
I	PP	I
did	VBD	do
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
go	VB	go
out	RP	out
,	,	,
and	CC	and
I	PP	I
did	VBD	do
this	DT	this
picture	NN	picture
of	IN	of
grasses	NNS	grass
coming	VBG	come
through	IN	through
in	IN	in
the	DT	the
spring	NN	spring
,	,	,
along	IN	along
a	DT	a
roadside	NN	roadside
.	SENT	.
This	DT	this
rebirth	NN	rebirth
of	IN	of
grass	NN	grass
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
went	VBD	go
out	RP	out
for	IN	for
years	NNS	year
