What	WP	what
'	POS	'
s	NN	S
the	DT	the
fastest	JJS	fast
growing	VBG	grow
threat	NN	threat
to	TO	to
Americans	NPS	Americans
'	POS	'
health	NN	health
?	SENT	?
Cancer	NN	cancer
?	SENT	?
Heart	NN	heart
attacks	NNS	attack
?	SENT	?
Diabetes	NN	diabetes
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
actually	RB	actually
none	NN	none
of	IN	of
these	DT	these
;	:	;
it	PP	it
'	POS	'
s	JJ	<unknown>
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
disease	NN	disease
.	SENT	.
Every	DT	every
67	CD	@card@
seconds	NNS	second
,	,	,
someone	NN	someone
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
diagnosed	VBN	diagnose
with	IN	with
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
.	SENT	.
As	IN	as
the	DT	the
number	NN	number
of	IN	of
Alzheimer	NP	Alzheimer
'	POS	'
s	JJ	<unknown>
patients	NNS	patient
triples	NNS	triple
by	IN	by
the	DT	the
year	NN	year
2050	CD	@card@
,	,	,
caring	VBG	care
for	IN	for
them	PP	them
,	,	,
as	RB	as
well	RB	well
as	IN	as
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
aging	VBG	age
population	NN	population
,	,	,
will	MD	will
become	VB	become
an	DT	an
overwhelming	JJ	overwhelming
societal	JJ	societal
challenge	NN	challenge
.	SENT	.
My	PP$	my
family	NN	family
has	VBZ	have
experienced	VBN	experience
firsthand	RB	firsthand
the	DT	the
struggles	NNS	struggle
of	IN	of
caring	VBG	care
for	IN	for
an	DT	an
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
patient	NN	patient
.	SENT	.
Growing	VBG	grow
up	RP	up
in	IN	in
a	DT	a
family	NN	family
with	IN	with
three	CD	three
generations	NNS	generation
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
been	VBN	be
very	RB	very
close	JJ	close
to	TO	to
my	PP$	my
grandfather	NN	grandfather
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
four	CD	four
years	NNS	year
old	JJ	old
,	,	,
my	PP$	my
grandfather	NN	grandfather
and	CC	and
I	PP	I
were	VBD	be
walking	VBG	walk
in	IN	in
a	DT	a
park	NN	park
in	IN	in
Japan	NP	Japan
when	WRB	when
he	PP	he
suddenly	RB	suddenly
got	VBD	get
lost	VBN	lose
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
scariest	JJS	scary
moments	NNS	moment
I	PP	I
'	POS	'
ve	NN	ve
ever	RB	ever
experienced	VBN	experience
in	IN	in
my	PP$	my
life	NN	life
,	,	,
and	CC	and
it	PP	it
was	VBD	be
also	RB	also
the	DT	the
first	JJ	first
instance	NN	instance
that	WDT	that
informed	VBD	inform
us	PP	us
that	IN	that
my	PP$	my
grandfather	NN	grandfather
had	VBD	have
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
disease	NN	disease
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
12	CD	@card@
years	NNS	year
,	,	,
his	PP$	his
condition	NN	condition
got	VBD	get
worse	JJR	bad
and	CC	and
worse	JJR	bad
,	,	,
and	CC	and
his	PP$	his
wandering	NN	wandering
in	IN	in
particular	JJ	particular
caused	VBN	cause
my	PP$	my
family	NN	family
a	DT	a
lot	NN	lot
of	IN	of
stress	NN	stress
.	SENT	.
My	PP$	my
aunt	NN	aunt
,	,	,
his	PP$	his
primary	JJ	primary
caregiver	NN	caregiver
,	,	,
really	RB	really
struggled	VBN	struggle
to	TO	to
stay	VB	stay
awake	RB	awake
at	IN	at
night	NN	night
to	TO	to
keep	VB	keep
an	DT	an
eye	NN	eye
on	IN	on
him	PP	him
,	,	,
and	CC	and
even	RB	even
then	RB	then
often	RB	often
failed	VBN	fail
to	TO	to
catch	VB	catch
him	PP	him
leaving	VBG	leave
the	DT	the
bed	NN	bed
.	SENT	.
I	PP	I
became	VBD	become
really	RB	really
concerned	JJ	concerned
about	IN	about
my	PP$	my
aunt	NN	aunt
'	POS	'
s	NN	S
well-being	NN	well-being
as	RB	as
well	RB	well
as	IN	as
my	PP$	my
grandfather	NN	grandfather
'	POS	'
s	NN	S
safety	NN	safety
.	SENT	.
I	PP	I
searched	VBD	search
extensively	RB	extensively
for	IN	for
a	DT	a
solution	NN	solution
that	WDT	that
could	MD	could
help	VB	help
my	PP$	my
family	NN	family
'	POS	'
s	NN	S
problems	NNS	problem
,	,	,
but	CC	but
couldn	NN	<unknown>
'	POS	'
t	NN	t
