Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
I	PP	I
moved	VBD	move
to	TO	to
America	NP	America
12	CD	@card@
years	NNS	year
ago	RB	ago
with	IN	with
my	PP$	my
wife	NN	wife
Terry	NP	Terry
and	CC	and
our	PP$	our
two	CD	two
kids	NNS	kid
.	SENT	.
Actually	RB	actually
,	,	,
truthfully	RB	truthfully
,	,	,
we	PP	we
moved	VBD	move
to	TO	to
Los	NP	Los
Angeles	NP	Angeles
â	NP	<unknown>
thinking	VBG	think
we	PP	we
were	VBD	be
moving	VBG	move
to	TO	to
America	NP	America
,	,	,
but	CC	but
anyway	RB	anyway
â	NP	<unknown>
It	PP	it
'	POS	'
s	NN	S
a	DT	a
short	JJ	short
plane	NN	plane
ride	NN	ride
from	IN	from
Los	NP	Los
Angeles	NP	Angeles
to	TO	to
America	NP	America
.	SENT	.
I	PP	I
got	VBD	get
here	RB	here
12	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
when	WRB	when
I	PP	I
got	VBD	get
here	RB	here
,	,	,
I	PP	I
was	VBD	be
told	VBN	tell
various	JJ	various
things	NNS	thing
,	,	,
like	VB	like
,	,	,
"	``	"
Americans	NPS	Americans
don	NN	don
'	POS	'
t	NN	t
get	VB	get
irony	NN	irony
.	SENT	.
"	''	"
Have	VB	have
you	PP	you
come	VBN	come
across	IN	across
this	DT	this
idea	NN	idea
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
traveled	VBD	travel
the	DT	the
whole	JJ	whole
length	NN	length
and	CC	and
breadth	NN	breadth
of	IN	of
this	DT	this
country	NN	country
.	SENT	.
I	PP	I
have	VBP	have
found	VBN	find
no	DT	no
evidence	NN	evidence
that	IN	that
Americans	NPS	Americans
don	NN	don
'	POS	'
t	NN	t
get	VB	get
irony	NN	irony
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
those	DT	those
cultural	JJ	cultural
myths	NNS	myth
,	,	,
like	VB	like
,	,	,
"	''	"
The	DT	the
British	NPS	British
are	VBP	be
reserved	VBN	reserve
.	SENT	.
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
people	NNS	people
think	VBP	think
this	DT	this
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
invaded	VBD	invade
every	DT	every
country	NN	country
we	PP	we
'	POS	'
ve	NN	ve
encountered	VBD	encounter
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
Americans	NPS	Americans
don	NN	don
'	POS	'
t	NN	t
get	VBP	get
irony	NN	irony
,	,	,
but	CC	but
I	PP	I
just	RB	just
want	VBP	want
you	PP	you
to	TO	to
know	VB	know
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
what	WDT	what
people	NNS	people
are	VBP	be
saying	VBG	say
about	IN	about
you	PP	you
behind	IN	behind
your	PP$	your
back	NN	back
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
so	RB	so
when	WRB	when
you	PP	you
leave	VBP	leave
living	VBG	live
rooms	NNS	room
in	IN	in
Europe	NP	Europe
,	,	,
people	NNS	people
say	VBP	say
,	,	,
thankfully	RB	thankfully
,	,	,
nobody	NN	nobody
was	VBD	be
ironic	JJ	ironic
in	IN	in
your	PP$	your
presence	NN	presence
.	SENT	.
But	CC	but
I	PP	I
knew	VBD	know
that	IN	that
Americans	NPS	Americans
get	VBP	get
irony	NN	irony
when	WRB	when
I	PP	I
came	VBD	come
across	IN	across
that	DT	that
legislation	NN	legislation
,	,	,
"	''	"
No	DT	no
Child	NN	child
Left	VBN	leave
Behind	IN	behind
.	SENT	.
"	''	"
Because	IN	because
whoever	WP	whoever
thought	VBD	think
of	IN	of
that	DT	that
title	NN	title
gets	VBZ	get
irony	NN	irony
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
they	PP	they
?	SENT	?
Because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
leaving	VBG	leave
millions	NNS	million
of	IN	of
children	NNS	child
behind	RB	behind
.	SENT	.
Now	RB	now
I	PP	I
can	MD	can
see	VB	see
that	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
very	RB	very
attractive	JJ	attractive
name	NN	name
for	IN	for
legislation	NN	legislation
:	:	:
"	``	"
Millions	NNS	million
of	IN	of
Children	NNS	child
Left	VBN	leave
Behind	IN	behind
.	SENT	.
"	``	"
I	PP	I
can	MD	can
see	VB	see
that	DT	that
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
plan	NN	plan
?	SENT	?
We	PP	we
propose	VBP	propose
to	TO	to
leave	VB	leave
millions	NNS	million
of	IN	of
children	NNS	child
behind	RB	behind
,	,	,
and	CC	and
here	RB	here
'	POS	'
s	NN	S
how	WRB	how
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
work	VB	work
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
working	VBG	work
beautifully	RB	beautifully
.	SENT	.
In	IN	in
some	DT	some
parts	NNS	part
of	IN	of
the	DT	the
country	NN	country
,	,	,
60	CD	@card@
percent	NN	percent
of	IN	of
kids	NNS	kid
drop	VBP	drop
out	RP	out
of	IN	of
high	JJ	high
school	NN	school
.	SENT	.
In	IN	in
the	DT	the
Native	JJ	native
American	JJ	American
communities	NNS	community
,	,	,
it	PP	it
'	POS	'
s	NN	S
80	CD	@card@
percent	NN	percent
of	IN	of
kids	NNS	kid
.	SENT	.
If	IN	if
we	PP	we
halved	VBD	halve
that	DT	that
number	NN	number
,	,	,
one	PP	one
estimate	VBP	estimate
is	VBZ	be
it	PP	it
would	MD	would
create	VB	create
a	DT	a
net	JJ	net
gain	NN	gain
to	TO	to
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
economy	NN	economy
over	IN	over
10	CD	@card@
years	NNS	year
,	,	,
of	IN	of
nearly	RB	nearly
a	DT	a
trillion	CD	trillion
dollars	NNS	dollar
.	SENT	.
From	IN	from
an	DT	an
economic	JJ	economic
point	NN	point
of	IN	of
view	NN	view
,	,	,
this	DT	this
is	VBZ	be
good	JJ	good
math	NN	math
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
,	,	,
that	IN	that
we	PP	we
should	MD	should
do	VB	do
this	DT	this
?	SENT	?
It	PP	it
actually	RB	actually
costs	VBZ	cost
an	DT	an
enormous	JJ	enormous
amount	NN	amount
to	TO	to
mop	VB	mop
up	RP	up
the	DT	the
damage	NN	damage
from	IN	from
the	DT	the
dropout	NN	dropout
crisis	NN	crisis
.	SENT	.
But	CC	but
the	DT	the
dropout	NN	dropout
crisis	NN	crisis
is	VBZ	be
just	RB	just
the	DT	the
tip	NN	tip
of	IN	of
an	DT	an
iceberg	NN	iceberg
.	SENT	.
What	WP	what
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
count	NN	count
are	VBP	be
all	RB	all
the	DT	the
kids	NNS	kid
who	WP	who
are	VBP	be
in	IN	in
school	NN	school
but	CC	but
being	VBG	be
disengaged	VBN	disengage
from	IN	from
it	PP	it
,	,	,
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
enjoy	VBP	enjoy
it	PP	it
,	,	,
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
get	VB	get
any	DT	any
real	JJ	real
benefit	NN	benefit
from	IN	from
it	PP	it
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
is	VBZ	be
not	RB	not
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
spending	VBG	spend
enough	JJ	enough
money	NN	money
.	SENT	.
America	NP	America
spends	VBZ	spend
more	JJR	more
money	NN	money
on	IN	on
education	NN	education
than	IN	than
most	JJS	most
other	JJ	other
countries	NNS	country
.	SENT	.
Class	NN	class
sizes	NNS	size
are	VBP	be
smaller	JJR	small
than	IN	than
in	IN	in
many	JJ	many
countries	NNS	country
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
initiatives	NNS	initiative
every	DT	every
year	NN	year
to	TO	to
try	VB	try
and	CC	and
improve	VB	improve
education	NN	education
.	SENT	.
The	DT	the
trouble	NN	trouble
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
going	VBG	go
in	IN	in
the	DT	the
wrong	JJ	wrong
direction	NN	direction
.	SENT	.
There	EX	there
are	VBP	be
three	CD	three
principles	NNS	principle
on	IN	on
which	WDT	which
human	JJ	human
life	NN	life
flourishes	NNS	flourish
,	,	,
and	CC	and
they	PP	they
are	VBP	be
contradicted	VBN	contradict
by	IN	by
the	DT	the
culture	NN	culture
of	IN	of
education	NN	education
under	IN	under
which	WDT	which
most	JJS	most
teachers	NNS	teacher
have	VBP	have
to	TO	to
labor	NN	labor
and	CC	and
most	JJS	most
students	NNS	student
have	VBP	have
to	TO	to
