Marisa	NP	Marisa
Franco	NP	Franco
:	:	:
Now	RB	now
,	,	,
as	IN	as
an	DT	an
expert	NN	expert
on	IN	on
friendship	NN	friendship
,	,	,
I	PP	I
'	POS	'
m	NN	m
up	RB	up
against	IN	against
a	DT	a
lot	NN	lot
because	IN	because
of	IN	of
the	DT	the
hierarchy	NN	hierarchy
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
cultures	NNS	culture
place	NN	place
on	IN	on
love	NN	love
,	,	,
right	RB	right
?	SENT	?
With	IN	with
familial	JJ	familial
love	NN	love
at	IN	at
the	DT	the
top	NN	top
,	,	,
with	IN	with
romantic	JJ	romantic
love	NN	love
at	IN	at
the	DT	the
top	NN	top
,	,	,
and	CC	and
with	IN	with
platonic	JJ	Platonic
love	NN	love
,	,	,
friendship	NN	friendship
love	NN	love
,	,	,
really	RB	really
at	IN	at
the	DT	the
bottom	NN	bottom
.	SENT	.
And	CC	and
with	IN	with
so	RB	so
many	JJ	many
countries	NNS	country
,	,	,
people	NNS	people
feeling	VBG	feel
so	RB	so
lonely	JJ	lonely
and	CC	and
so	RB	so
disconnected	VBN	disconnect
,	,	,
I	PP	I
believe	VBP	believe
that	IN	that
if	IN	if
we	PP	we
leave	VBP	leave
friendship	NN	friendship
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
this	DT	this
hierarchy	NN	hierarchy
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
there	EX	there
'	''	'
s	NN	S
gold	NN	gold
at	IN	at
our	PP$	our
feet	NNS	foot
that	IN	that
we	PP	we
'	POS	'
re	NN	re
treating	VBG	treat
as	IN	as
concrete	NN	concrete
.	SENT	.
And	CC	and
so	RB	so
why	WRB	why
are	VBP	be
friendships	NNS	friendship
so	RB	so
key	JJ	key
?	SENT	?
Well	RB	well
,	,	,
our	PP$	our
bodies	NNS	body
have	VBP	have
always	RB	always
known	VBN	know
that	IN	that
we	PP	we
need	VBP	need
an	DT	an
entire	JJ	entire
community	NN	community
to	TO	to
feel	VB	feel
whole	JJ	whole
.	SENT	.
And	CC	and
just	RB	just
being	VBG	be
around	RB	around
a	DT	a
spouse	NN	spouse
,	,	,
for	IN	for
example	NN	example
,	,	,
only	RB	only
surfaces	VBZ	surface
one	CD	one
side	NN	side
of	IN	of
ourselves	PP	ourselves
.	SENT	.
So	RB	so
maybe	RB	maybe
the	DT	the
part	NN	part
of	IN	of
me	PP	me
that	WDT	that
likes	VBZ	like
to	TO	to
garden	VB	garden
or	CC	or
do	VB	do
yoga	NN	yoga
will	MD	will
begin	VB	begin
to	TO	to
wither	VB	wither
away	RP	away
if	IN	if
my	PP$	my
spouse	NN	spouse
,	,	,
for	IN	for
example	NN	example
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
these	DT	these
activities	NNS	activity
.	SENT	.
But	CC	but
then	RB	then
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
around	IN	around
a	DT	a
friend	NN	friend
,	,	,
I	PP	I
can	MD	can
garden	VB	garden
and	CC	and
plant	VB	plant
my	PP$	my
pothos	NNS	<unknown>
with	IN	with
them	PP	them
or	CC	or
around	IN	around
another	DT	another
friend	NN	friend
that	IN	that
I	PP	I
can	MD	can
[	SYM	[
do	VBP	do
]	SYM	]
downward	JJ	downward
facing	VBG	face
dog	NN	dog
with	IN	with
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
my	PP$	my
entire	JJ	entire
identity	NN	identity
,	,	,
accordion	NN	accordion
outward	RB	outward
,	,	,
unfold	VB	unfold
and	CC	and
fan	VB	fan
out	RP	out
.	SENT	.
And	CC	and
I	PP	I
experience	VBP	experience
the	DT	the
full	JJ	full
richness	NN	richness
and	CC	and
complexities	NNS	complexity
of	IN	of
who	WP	who
I	PP	I
am	VBP	be
when	WRB	when
I	PP	I
have	VBP	have
an	DT	an
entire	JJ	entire
community	NN	community
to	TO	to
bring	VB	bring
that	IN	that
out	RB	out
in	IN	in
me	PP	me
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
friendship	NN	friendship
is	VBZ	be
really	RB	really
important	JJ	important
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
two	CD	two
reasons	NNS	reason
why	WRB	why
we	PP	we
tend	VBP	tend
to	TO	to
really	RB	really
devalue	VB	devalue
it	PP	it
.	SENT	.
One	CD	one
reason	NN	reason
is	VBZ	be
because	IN	because
we	PP	we
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
make	VB	make
friends	NNS	friend
.	SENT	.
So	RB	so
luckily	RB	luckily
,	,	,
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
help	VB	help
you	PP	you
with	IN	with
that	IN	that
a	DT	a
little	JJ	little
bit	NN	bit
today	NN	today
.	SENT	.
But	CC	but
the	DT	the
other	JJ	other
reason	NN	reason
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
something	NN	something
I	PP	I
like	VBP	like
to	TO	to
call	VB	call
the	DT	the
"	``	"
paradox	NN	paradox
of	IN	of
people	NNS	people
.	SENT	.
"	''	"
That	DT	that
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
we	PP	we
need	VBP	need
people	NNS	people
,	,	,
they	PP	they
make	VBP	make
us	PP	us
feel	VBP	feel
healthy	JJ	healthy
,	,	,
they	PP	they
make	VBP	make
us	PP	us
feel	VBP	feel
connected	VBN	connect
,	,	,
they	PP	they
make	VBP	make
us	PP	us
feel	VBP	feel
like	IN	like
our	PP$	our
very	JJ	very
selves	NNS	self
,	,	,
right	RB	right
?	SENT	?
But	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
people	NNS	people
are	VBP	be
really	RB	really
scary	JJ	scary
.	SENT	.
They	PP	they
can	MD	can
dismiss	VB	dismiss
us	PP	us
,	,	,
they	PP	they
can	MD	can
reject	VB	reject
us	PP	us
,	,	,
they	PP	they
can	MD	can
actively	RB	actively
harm	VB	harm
us	PP	us
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
sort	NN	sort
of	IN	of
dilemma	NN	dilemma
that	IN	that
we	PP	we
face	VBP	face
,	,	,
the	DT	the
sort	NN	sort
of	IN	of
entity	NN	entity
that	IN	that
we	PP	we
need	VBP	need
the	DT	the
most	JJS	most
is	VBZ	be
also	RB	also
the	DT	the
entity	NN	entity
that	WDT	that
can	MD	can
harm	VB	harm
us	PP	us
the	DT	the
most	JJS	most
.	SENT	.
And	CC	and
how	WRB	how
we	PP	we
walk	VBP	walk
across	IN	across
this	DT	this
tightrope	NN	tightrope
handling	VBG	handle
this	DT	this
paradox	NN	paradox
of	IN	of
people	NNS	people
says	VBZ	say
a	DT	a
lot	NN	lot
about	IN	about
our	PP$	our
ability	NN	ability
to	TO	to
make	VB	make
and	CC	and
keep	VB	keep
friends	NNS	friend
.	SENT	.
Because	IN	because
if	IN	if
we	PP	we
find	VBP	find
ourselves	PP	ourselves
stuck	VBD	stick
in	IN	in
the	DT	the
place	NN	place
where	WRB	where
we	PP	we
see	VBP	see
people	NNS	people
as	RB	as
--	:	--
we	PP	we
mistrust	VBP	mistrust
people	NNS	people
,	,	,
or	CC	or
we	PP	we
see	VBP	see
people	NNS	people
as	IN	as
potentially	RB	potentially
rejecting	VBG	reject
us	PP	us
and	CC	and
harming	VBG	harm
us	PP	us
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
hard	JJ	hard
to	TO	to
foster	VB	foster
connection	NN	connection
.	SENT	.
And	CC	and
this	DT	this
really	RB	really
materialized	VBN	materialize
for	IN	for
me	PP	me
one	CD	one
day	NN	day
when	WRB	when
I	PP	I
had	VBD	have
bought	VBN	buy
an	DT	an
apartment	NN	apartment
,	,	,
and	CC	and
I	PP	I
was	VBD	be
really	RB	really
excited	VBN	excite
to	TO	to
make	VB	make
friends	NNS	friend
with	IN	with
my	PP$	my
neighbors	NNS	neighbor
because	IN	because
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
here	RB	here
for	IN	for
a	DT	a
while	NN	while
.	SENT	.
"	``	"
And	CC	and
I	PP	I
see	VBP	see
a	DT	a
couple	NN	couple
of	IN	of
my	PP$	my
neighbors	NNS	neighbor
in	IN	in
the	DT	the
hallway	NN	hallway
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
walking	VBG	walk
home	NN	home
into	IN	into
my	PP$	my
apartment	NN	apartment
with	IN	with
my	PP$	my
ex	FW	ex
at	IN	at
the	DT	the
time	NN	time
who	WP	who
was	VBD	be
living	VBG	live
with	IN	with
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
walk	VBP	walk
right	RB	right
past	VB	past
them	PP	them
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
paradox	NN	paradox
of	IN	of
people	NNS	people
,	,	,
I	PP	I
'	POS	'
m	NN	m
scared	VBN	scare
of	IN	of
them	PP	them
,	,	,
they	PP	they
might	MD	might
reject	VB	reject
me	PP	me
.	SENT	.
They	PP	they
might	MD	might
see	VB	see
me	PP	me
as	RB	as
weird	JJ	weird
if	IN	if
I	PP	I
try	VBP	try
to	TO	to
introduce	VB	introduce
myself	PP	myself
.	SENT	.
So	RB	so
I	PP	I
scurry	VB	scurry
into	IN	into
my	PP$	my
apartment	NN	apartment
and	CC	and
my	PP$	my
ex	FW	ex
,	,	,
he	PP	he
pushes	VBZ	push
me	PP	me
back	RB	back
into	IN	into
the	DT	the
hallway	NN	hallway
to	TO	to
talk	VB	talk
to	TO	to
my	PP$	my
neighbors	NNS	neighbor
and	CC	and
says	VBZ	say
to	TO	to
me	PP	me
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	''	"
You	PP	you
'	''	'
re	IN	re
writing	VBG	write
this	DT	this
book	NN	book
on	IN	on
friends	NNS	friend
.	SENT	.
What	WP	what
would	MD	would
you	PP	you
tell	VB	tell
other	JJ	other
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
your	PP$	your
situation	NN	situation
?	SENT	?
"	''	"
And	CC	and
so	RB	so
as	IN	as
I	PP	I
'	POS	'
m	NN	m
sort	NN	sort
of	IN	of
stumbling	VBG	stumble
back	RB	back
into	IN	into
the	DT	the
hallway	NN	hallway
,	,	,
I	PP	I
'	POS	'
m	NN	m
thinking	NN	thinking
about	IN	about
a	DT	a
few	JJ	few
things	NNS	thing
that	IN	that
I	PP	I
have	VBP	have
learned	VBN	learn
through	IN	through
studying	VBG	study
friendship	NN	friendship
so	RB	so
intensely	RB	intensely
.	SENT	.
And	CC	and
so	RB	so
two	CD	two
observations	NNS	observation
that	IN	that
I	PP	I
have	VBP	have
on	IN	on
friendship	NN	friendship
and	CC	and
two	CD	two
takeaways	NNS	takeaway
for	IN	for
what	WP	what
we	PP	we
can	MD	can
do	VB	do
to	TO	to
make	VB	make
and	CC	and
keep	VB	keep
friends	NNS	friend
.	SENT	.
First	JJ	first
observation	NN	observation
,	,	,
friendship	NN	friendship
does	VBZ	do
not	RB	not
happen	VB	happen
organically	RB	organically
in	IN	in
adulthood	NN	adulthood
,	,	,
right	RB	right
?	SENT	?
And	CC	and
in	IN	in
