Hello	UH	hello
,	,	,
everyone	NN	everyone
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
funny	JJ	funny
,	,	,
because	IN	because
I	PP	I
did	VBD	do
write	VB	write
that	IN	that
humans	NNS	human
will	MD	will
become	VB	become
digital	JJ	digital
,	,	,
but	CC	but
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
it	PP	it
will	MD	will
happen	VB	happen
so	RB	so
fast	RB	fast
and	CC	and
that	IN	that
it	PP	it
will	MD	will
happen	VB	happen
to	TO	to
me	PP	me
.	SENT	.
But	CC	but
here	RB	here
I	PP	I
am	VBP	be
,	,	,
as	IN	as
a	DT	a
digital	JJ	digital
avatar	NN	avatar
,	,	,
and	CC	and
here	RB	here
you	PP	you
are	VBP	be
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
start	VBP	start
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
with	IN	with
a	DT	a
question	NN	question
.	SENT	.
How	WRB	how
many	JJ	many
fascists	NNS	fascist
are	VBP	be
there	RB	there
in	IN	in
the	DT	the
audience	NN	audience
today	NN	today
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
difficult	JJ	difficult
to	TO	to
say	VB	say
,	,	,
because	IN	because
we	PP	we
'	POS	'
ve	NNS	<unknown>
forgotten	VBN	forget
what	WP	what
fascism	NN	fascism
is	VBZ	be
.	SENT	.
People	NNS	people
now	RB	now
use	VBP	use
the	DT	the
term	NN	term
"	``	"
fascist	JJ	fascist
"	''	"
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
general-purpose	JJ	general-purpose
abuse	NN	abuse
.	SENT	.
Or	CC	or
they	PP	they
confuse	VBP	confuse
fascism	NN	fascism
with	IN	with
nationalism	NN	nationalism
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
take	VBP	take
a	DT	a
few	JJ	few
