Yes	UH	yes
,	,	,
it	PP	it
'	POS	'
s	NN	S
dark	NN	dark
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
wondering	VBG	wonder
how	WRB	how
long	JJ	long
we	PP	we
can	MD	can
all	RB	all
stand	VB	stand
it	PP	it
without	IN	without
picking	VBG	pick
up	RP	up
our	PP$	our
phone	NN	phone
and	CC	and
turning	VBG	turn
the	DT	the
flashlights	NNS	flashlight
on	RB	on
.	SENT	.
Seconds	NNS	second
?	SENT	?
Minutes	NNS	minute
?	SENT	?
A	DT	a
whole	JJ	whole
hour	NN	hour
?	SENT	?
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
my	PP$	my
whole	JJ	whole
speech	NN	speech
in	IN	in
the	DT	the
dark	NN	dark
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
something	NN	something
I	NP	I
'	POS	'
m	NN	m
used	VBD	use
to	TO	to
.	SENT	.
For	IN	for
more	JJR	more
than	IN	than
10	CD	@card@
years	NNS	year
,	,	,
I	PP	I
and	CC	and
two	CD	two
million	CD	million
people	NNS	people
back	RB	back
home	RB	home
have	VBP	have
been	VBN	be
living	VBG	live
in	IN	in
darkness	NN	darkness
,	,	,
locked	VBN	lock
between	IN	between
two	CD	two
borders	NNS	border
that	WDT	that
are	VBP	be
nearly	RB	nearly
impossible	JJ	impossible
to	TO	to
leave	VB	leave
,	,	,
literally	RB	literally
,	,	,
in	IN	in
an	DT	an
area	NN	area
that	WDT	that
spans	VBZ	span
25	CD	@card@
miles	NNS	mile
long	RB	long
and	CC	and
about	RB	about
five	CD	five
miles	NNS	mile
wide	JJ	wide
.	SENT	.
I	PP	I
am	VBP	be
Palestinian	JJ	Palestinian
,	,	,
and	CC	and
I	PP	I
am	VBP	be
from	IN	from
Gaza	NP	Gaza
.	SENT	.
I	PP	I
grew	VBD	grow
up	RP	up
there	RB	there
and	CC	and
I	PP	I
still	RB	still
live	VBP	live
there	RB	there
.	SENT	.
In	IN	in
