Every	DT	every
day	NN	day
we	PP	we
face	VBP	face
issues	NNS	issue
like	IN	like
climate	NN	climate
change	NN	change
or	CC	or
the	DT	the
safety	NN	safety
of	IN	of
vaccines	NNS	vaccine
where	WRB	where
we	PP	we
have	VBP	have
to	TO	to
answer	VB	answer
questions	NNS	question
whose	WP$	whose
answers	NNS	answer
rely	VBP	rely
heavily	RB	heavily
on	IN	on
scientific	JJ	scientific
information	NN	information
.	SENT	.
Scientists	NNS	scientist
tell	VBP	tell
us	PP	us
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
warming	VBG	warm
.	SENT	.
Scientists	NNS	scientist
tell	VBP	tell
us	PP	us
that	IN	that
vaccines	NNS	vaccine
are	VBP	be
safe	JJ	safe
.	SENT	.
But	CC	but
how	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
if	IN	if
they	PP	they
are	VBP	be
right	JJ	right
?	SENT	?
Why	WRB	why
should	MD	should
be	VB	be
believe	VB	believe
the	DT	the
science	NN	science
?	SENT	?
The	DT	the
fact	NN	fact
is	VBZ	be
,	,	,
many	JJ	many
of	IN	of
us	PP	us
actually	RB	actually
don	VBP	don
'	POS	'
t	NN	t
believe	VBP	believe
the	DT	the
science	NN	science
.	SENT	.
Public	JJ	public
opinion	NN	opinion
polls	NNS	poll
consistently	RB	consistently
show	VBP	show
that	IN	that
significant	JJ	significant
proportions	NNS	proportion
of	IN	of
the	DT	the
American	JJ	American
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
believe	VBP	believe
the	DT	the
climate	NN	climate
is	VBZ	be
warming	VBG	warm
due	JJ	due
to	TO	to
human	JJ	human
activities	NNS	activity
,	,	,
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
that	IN	that
there	EX	there
is	VBZ	be
evolution	NN	evolution
by	IN	by
natural	JJ	natural
selection	NN	selection
,	,	,
and	CC	and
aren	NNS	<unknown>
'	POS	'
t	NN	t
persuaded	VBD	persuade
by	IN	by
the	DT	the
safety	NN	safety
of	IN	of
vaccines	NNS	vaccine
.	SENT	.
So	RB	so
why	WRB	why
should	MD	should
we	PP	we
believe	VB	believe
the	DT	the
science	NN	science
?	SENT	?
Well	RB	well
,	,	,
scientists	NNS	scientist
don	NN	don
'	POS	'
t	NN	t
like	IN	like
talking	VBG	talk
about	IN	about
science	NN	science
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
belief	NN	belief
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
they	PP	they
would	MD	would
contrast	VB	contrast
science	NN	science
with	IN	with
faith	NN	faith
,	,	,
and	CC	and
they	PP	they
would	MD	would
say	VB	say
belief	NN	belief
is	VBZ	be
the	DT	the
domain	NN	domain
of	IN	of
faith	NN	faith
.	SENT	.
And	CC	and
faith	NN	faith
is	VBZ	be
a	DT	a
separate	JJ	separate
thing	NN	thing
apart	RB	apart
and	CC	and
distinct	JJ	distinct
from	IN	from
science	NN	science
.	SENT	.
Indeed	RB	indeed
they	PP	they
would	MD	would
say	VB	say
religion	NN	religion
is	VBZ	be
based	VBN	base
on	IN	on
faith	NN	faith
or	CC	or
maybe	RB	maybe
the	DT	the
calculus	NN	calculus
of	IN	of
Pascal	NP	Pascal
'	POS	'
s	NN	S
wager	NN	wager
.	SENT	.
Blaise	NP	Blaise
Pascal	NP	Pascal
was	VBD	be
a	DT	a
17th-century	JJ	17th-century
mathematician	NN	mathematician
who	WP	who
tried	VBD	try
to	TO	to
bring	VB	bring
scientific	JJ	scientific
reasoning	NN	reasoning
to	TO	to
the	DT	the
question	NN	question
of	IN	of
whether	IN	whether
or	CC	or
not	RB	not
he	PP	he
should	MD	should
believe	VB	believe
in	IN	in
God	NP	God
,	,	,
and	CC	and
his	PP$	his
wager	NN	wager
went	VBD	go
like	IN	like
this	DT	this
:	:	:
Well	UH	well
,	,	,
if	IN	if
God	NP	God
doesn	NP	<unknown>
'	POS	'
t	NN	t
exist	VBP	exist
but	CC	but
I	PP	I
decide	VBP	decide
to	TO	to
believe	VB	believe
in	IN	in
him	PP	him
nothing	NN	nothing
much	RB	much
is	VBZ	be
really	RB	really
lost	VBN	lose
.	SENT	.
Maybe	RB	maybe
a	DT	a
few	JJ	few
hours	NNS	hour
on	IN	on
Sunday	NP	Sunday
.	SENT	.
But	CC	but
if	IN	if
he	PP	he
does	VBZ	do
exist	VB	exist
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
believe	VBP	believe
in	IN	in
him	PP	him
,	,	,
then	RB	then
