So	IN	so
the	DT	the
machine	NN	machine
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
you	PP	you
about	RB	about
is	VBZ	be
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
greatest	JJS	great
machine	NN	machine
that	WDT	that
never	RB	never
was	VBD	be
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
machine	NN	machine
that	WDT	that
was	VBD	be
never	RB	never
built	VBN	build
,	,	,
and	CC	and
yet	RB	yet
,	,	,
it	PP	it
will	MD	will
be	VB	be
built	VBN	build
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
machine	NN	machine
that	WDT	that
was	VBD	be
designed	VBN	design
long	RB	long
before	IN	before
anyone	NN	anyone
thought	VBN	think
about	IN	about
computers	NNS	computer
.	SENT	.
If	IN	if
you	PP	you
know	VBP	know
anything	NN	anything
about	IN	about
the	DT	the
history	NN	history
of	IN	of
computers	NNS	computer
,	,	,
you	PP	you
will	MD	will
know	VB	know
that	IN	that
in	IN	in
the	DT	the
'	''	'
30s	NNS	30s
and	CC	and
the	NP	the
'	POS	'
40s	JJ	<unknown>
,	,	,
simple	JJ	simple
computers	NNS	computer
were	VBD	be
created	VBN	create
that	WDT	that
started	VBD	start
the	DT	the
computer	NN	computer
revolution	NN	revolution
we	PP	we
have	VBP	have
today	NN	today
,	,	,
and	CC	and
you	PP	you
would	MD	would
be	VB	be
correct	JJ	correct
,	,	,
except	IN	except
for	IN	for
you	PP	you
'	''	'
d	SYM	d
have	VB	have
the	DT	the
wrong	JJ	wrong
century	NN	century
.	SENT	.
The	DT	the
first	JJ	first
computer	NN	computer
was	VBD	be
really	RB	really
designed	VBN	design
in	IN	in
the	DT	the
1830s	NP	<unknown>
and	CC	and
1840s	NP	<unknown>
,	,	,
not	RB	not
the	DT	the
1930s	NNS	1930s
and	CC	and
1940s	NNS	1940s
.	SENT	.
It	PP	it
was	VBD	be
designed	VBN	design
,	,	,
and	CC	and
parts	NNS	part
of	IN	of
it	PP	it
were	VBD	be
prototyped	JJ	<unknown>
,	,	,
and	CC	and
the	DT	the
bits	NNS	bit
of	IN	of
it	PP	it
that	WDT	that
were	VBD	be
built	VBN	build
are	VBP	be
here	RB	here
in	IN	in
South	NP	South
Kensington	NP	Kensington
.	SENT	.
That	DT	that
machine	NN	machine
was	VBD	be
built	VBN	build
by	IN	by
this	DT	this
guy	NN	guy
,	,	,
Charles	NP	Charles
Babbage	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
have	VBP	have
a	DT	a
great	JJ	great
affinity	NN	affinity
for	IN	for
Charles	NP	Charles
Babbage	NP	<unknown>
because	IN	because
his	PP$	his
hair	NN	hair
is	VBZ	be
always	RB	always
completely	RB	completely
unkempt	JJ	unkempt
like	IN	like
this	DT	this
in	IN	in
every	DT	every
single	JJ	single
picture	NN	picture
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
very	RB	very
wealthy	JJ	wealthy
man	NN	man
,	,	,
and	CC	and
a	DT	a
sort	NN	sort
of	IN	of
,	,	,
part	NN	part
of	IN	of
the	DT	the
aristocracy	NN	aristocracy
of	IN	of
Britain	NP	Britain
,	,	,
and	CC	and
on	IN	on
a	DT	a
Saturday	NP	Saturday
night	NN	night
in	IN	in
Marylebone	NP	<unknown>
,	,	,
were	VBD	be
you	PP	you
part	NN	part
of	IN	of
the	DT	the
intelligentsia	NN	intelligentsia
of	IN	of
that	DT	that
period	NN	period
,	,	,
you	PP	you
would	MD	would
have	VB	have
been	VBN	be
invited	VBN	invite
round	NN	round
to	TO	to
his	PP$	his
house	NN	house
for	IN	for
a	DT	a
soiree	NN	soiree
—	:	-
and	CC	and
he	PP	he
invited	VBD	invite
everybody	NN	everybody
:	:	:
kings	NNS	king
,	,	,
the	DT	the
Duke	NP	Duke
of	IN	of
Wellington	NP	Wellington
,	,	,
many	JJ	many
,	,	,
many	JJ	many
famous	JJ	famous
people	NNS	people
—	:	-
and	CC	and
he	PP	he
would	MD	would
have	VB	have
shown	VBN	show
you	PP	you
one	CD	one
of	IN	of
his	PP$	his
mechanical	JJ	mechanical
machines	NNS	machine
.	SENT	.
I	PP	I
really	RB	really
miss	VBP	miss
that	DT	that
era	NN	era
,	,	,
you	PP	you
know	VBP	know
,	,	,
where	WRB	where
you	PP	you
could	MD	could
go	VB	go
around	RP	around
for	IN	for
a	DT	a
soiree	NN	soiree
and	CC	and
see	VB	see
a	DT	a
mechanical	JJ	mechanical
computer	NN	computer
get	VB	get
demonstrated	VBN	demonstrate
to	TO	to
you	PP	you
.	SENT	.
But	CC	but
Babbage	NP	<unknown>
,	,	,
Babbage	NP	<unknown>
himself	PP	himself
was	VBD	be
born	VBN	bear
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
18th	JJ	18th
century	NN	century
,	,	,
and	CC	and
was	VBD	be
a	DT	a
fairly	RB	fairly
famous	JJ	famous
mathematician	NN	mathematician
.	SENT	.
He	PP	he
held	VBD	hold
the	DT	the
post	NN	post
that	IN	that
Newton	NP	Newton
held	VBD	hold
at	IN	at
Cambridge	NP	Cambridge
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
recently	RB	recently
held	VBN	hold
by	IN	by
Stephen	NP	Stephen
Hawking	NP	Hawking
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
less	RBR	less
well	RB	well
known	VBN	know
than	IN	than
either	CC	either
of	IN	of
them	PP	them
because	IN	because
he	PP	he
got	VBD	get
this	DT	this
idea	NN	idea
to	TO	to
make	VB	make
mechanical	JJ	mechanical
computing	NN	computing
devices	NNS	device
and	CC	and
never	RB	never
made	VBD	make
any	DT	any
of	IN	of
them	PP	them
.	SENT	.
The	DT	the
reason	NN	reason
he	PP	he
never	RB	never
made	VBD	make
any	DT	any
of	IN	of
them	PP	them
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
classic	JJ	classic
nerd	NN	nerd
.	SENT	.
Every	DT	every
time	NN	time
he	PP	he
had	VBD	have
a	DT	a
good	JJ	good
idea	NN	idea
,	,	,
he	PP	he
'	POS	'
d	NN	d
think	VBP	think
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
brilliant	JJ	brilliant
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
start	VB	start
building	NN	building
that	IN	that
one	CD	one
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
spend	VBP	spend
a	DT	a
fortune	NN	fortune
on	IN	on
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
better	JJR	good
idea	NN	idea
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
work	VB	work
on	IN	on
this	DT	this
one	CD	one
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
one	CD	one
.	SENT	.
"	``	"
He	PP	he
did	VBD	do
this	DT	this
until	IN	until
Sir	NP	Sir
Robert	NP	Robert
Peel	NP	Peel
,	,	,
then	RB	then
Prime	NP	Prime
Minister	NP	Minister
,	,	,
basically	RB	basically
kicked	VBD	kick
him	PP	him
out	RP	out
of	IN	of
Number	NP	Number
10	CD	@card@
Downing	NP	Downing
Street	NP	Street
,	,	,
and	CC	and
kicking	VBG	kick
