My	PP$	my
talk	NN	talk
is	VBZ	be
"	``	"
Flapping	VBG	flap
Birds	NNS	bird
and	CC	and
Space	NN	space
Telescopes	NNS	telescope
.	SENT	.
"	``	"
And	CC	and
you	PP	you
would	MD	would
think	VB	think
that	WDT	that
should	MD	should
have	VB	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
one	CD	one
another	DT	another
,	,	,
but	CC	but
I	PP	I
hope	VBP	hope
by	IN	by
the	DT	the
end	NN	end
of	IN	of
these	DT	these
18	CD	@card@
minutes	NNS	minute
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
relation	NN	relation
.	SENT	.
It	PP	it
ties	VBZ	tie
to	TO	to
origami	NN	origami
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
start	VB	start
.	SENT	.
What	WP	what
is	VBZ	be
origami	NN	origami
?	SENT	?
Most	JJS	most
people	NNS	people
think	VBP	think
they	PP	they
know	VBP	know
what	WP	what
origami	NN	origami
is	VBZ	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
this	NN	this
:	:	:
flapping	VBG	flap
birds	NNS	bird
,	,	,
toys	NNS	toy
,	,	,
cootie	NN	cootie
catchers	NNS	catcher
,	,	,
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
what	WP	what
origami	NN	origami
used	VBN	use
to	TO	to
be	VB	be
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
become	VBP	become
something	NN	something
else	RB	else
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
become	VBP	become
an	DT	an
art	NN	art
form	NN	form
,	,	,
a	DT	a
form	NN	form
of	IN	of
sculpture	NN	sculpture
.	SENT	.
The	DT	the
common	JJ	common
theme	NN	theme
—	:	-
what	WP	what
makes	VBZ	make
it	PP	it
origami	NN	origami
—	:	-
is	VBZ	be
folding	VBG	fold
is	VBZ	be
how	WRB	how
we	PP	we
create	VBP	create
the	DT	the
form	NN	form
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
old	JJ	old
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
plate	NN	plate
from	IN	from
1797	CD	@card@
.	SENT	.
It	PP	it
shows	VBZ	show
these	DT	these
women	NNS	woman
playing	VBG	play
with	IN	with
these	DT	these
toys	NNS	toy
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
close	RB	close
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
shape	NN	shape
,	,	,
called	VBD	call
a	DT	a
crane	NN	crane
.	SENT	.
Every	DT	every
Japanese	JJ	Japanese
kid	NN	kid
learns	VBZ	learn
how	WRB	how
to	TO	to
fold	VB	fold
that	DT	that
crane	NN	crane
.	SENT	.
So	IN	so
this	DT	this
art	NN	art
has	VBZ	have
been	VBN	be
around	RB	around
for	IN	for
hundreds	NNS	hundred
of	IN	of
years	NNS	year
,	,	,
and	CC	and
you	PP	you
would	MD	would
think	VB	think
something	NN	something
that	RB	that
'	POS	'
s	RB	<unknown>
been	VBN	be
around	IN	around
that	DT	that
long	JJ	long
—	:	-
so	RB	so
restrictive	JJ	restrictive
,	,	,
folding	VBG	fold
only	RB	only
—	:	-
everything	NN	everything
that	WDT	that
could	MD	could
be	VB	be
done	VBN	do
has	VBZ	have
been	VBN	be
done	VBN	do
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
.	SENT	.
And	CC	and
that	WDT	that
might	MD	might
have	VB	have
been	VBN	be
the	DT	the
case	NN	case
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
twentieth	JJ	twentieth
century	NN	century
,	,	,
a	DT	a
Japanese	JJ	Japanese
folder	NN	folder
named	VBN	name
Yoshizawa	NP	Yoshizawa
came	VBD	come
along	RP	along
,	,	,
and	CC	and
he	PP	he
created	VBD	create
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
new	JJ	new
designs	NNS	design
.	SENT	.
But	CC	but
even	RB	even
more	RBR	more
importantly	RB	importantly
,	,	,
he	PP	he
created	VBD	create
a	DT	a
language	NN	language
,	,	,
a	DT	a
way	NN	way
we	PP	we
could	MD	could
communicate	VB	communicate
,	,	,
a	DT	a
code	NN	code
of	IN	of
dots	NNS	dot
,	,	,
dashes	NNS	dash
and	CC	and
arrows	NNS	arrow
.	SENT	.
Harkening	VBG	harken
back	RB	back
to	TO	to
Susan	NP	Susan
Blackmore	NP	Blackmore
'	POS	'
s	NN	S
talk	NN	talk
,	,	,
we	PP	we
now	RB	now
have	VBP	have
a	DT	a
means	NN	means
of	IN	of
transmitting	VBG	transmit
information	NN	information
with	IN	with
heredity	NN	heredity
and	CC	and
selection	NN	selection
,	,	,
and	CC	and
we	PP	we
know	VBP	know
where	WRB	where
that	DT	that
leads	NNS	lead
.	SENT	.
And	CC	and
where	WRB	where
it	PP	it
has	VBZ	have
led	VBN	lead
in	IN	in
origami	NN	origami
is	VBZ	be
to	TO	to
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
origami	NN	origami
figure	NN	figure
—	:	-
one	CD	one
sheet	NN	sheet
,	,	,
no	DT	no
cuts	NNS	cut
,	,	,
folding	VBG	fold
only	RB	only
,	,	,
hundreds	NNS	hundred
of	IN	of
folds	NNS	fold
.	SENT	.
This	DT	this
,	,	,
too	RB	too
,	,	,
is	VBZ	be
origami	NN	origami
,	,	,
and	CC	and
this	DT	this
shows	VBZ	show
where	WRB	where
we	PP	we
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
in	IN	in
the	DT	the
modern	JJ	modern
world	NN	world
.	SENT	.
Naturalism	NN	naturalism
.	SENT	.
Detail	NN	detail
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
horns	NNS	horn
,	,	,
antlers	NNS	antler
—	:	-
even	RB	even
,	,	,
if	IN	if
you	PP	you
look	VBP	look
close	JJ	close
,	,	,
cloven	JJ	cloven
hooves	NNS	hoof
.	SENT	.
And	CC	and
it	PP	it
raises	VBZ	raise
a	DT	a
question	NN	question
:	:	:
what	WP	what
changed	VBD	change
?	SENT	?
And	CC	and
what	WP	what
changed	VBN	change
is	VBZ	be
something	NN	something
you	PP	you
might	MD	might
not	RB	not
have	VB	have
expected	VBN	expect
in	IN	in
an	DT	an
art	NN	art
,	,	,
which	WDT	which
is	VBZ	be
math	NN	math
.	SENT	.
That	DT	that
is	VBZ	be
,	,	,
people	NNS	people
applied	VBD	apply
mathematical	JJ	mathematical
principles	NNS	principle
to	TO	to
the	DT	the
art	NN	art
,	,	,
to	TO	to
discover	VB	discover
the	DT	the
underlying	VBG	underlie
laws	NNS	law
.	SENT	.
And	CC	and
that	DT	that
leads	VBZ	lead
to	TO	to
a	DT	a
very	RB	very
powerful	JJ	powerful
tool	NN	tool
.	SENT	.
The	DT	the
secret	NN	secret
to	TO	to
productivity	NN	productivity
in	IN	in
so	RB	so
many	JJ	many
fields	NNS	field
—	:	-
and	CC	and
in	IN	in
origami	NN	origami
—	:	-
is	VBZ	be
letting	VBG	let
dead	JJ	dead
people	NNS	people
do	VBP	do
your	PP$	your
work	NN	work
for	IN	for
you	PP	you
.	SENT	.
Because	IN	because
what	WP	what
you	PP	you
can	MD	can
do	VB	do
is	VBZ	be
take	VB	take
your	PP$	your
problem	NN	problem
,	,	,
and	CC	and
turn	VB	turn
it	PP	it
into	IN	into
a	DT	a
problem	NN	problem
that	IN	that
someone	NN	someone
else	RB	else
has	VBZ	have
solved	VBN	solve
,	,	,
and	CC	and
use	VB	use
their	PP$	their
solutions	NNS	solution
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
how	WRB	how
we	PP	we
did	VBD	do
that	IN	that
in	IN	in
origami	NN	origami
.	SENT	.
Origami	NN	origami
revolves	VBZ	revolve
around	RB	around
crease	VB	crease
patterns	NNS	pattern
.	SENT	.
The	DT	the
crease	NN	crease
pattern	NN	pattern
shown	VBN	show
here	RB	here
is	VBZ	be
the	DT	the
underlying	VBG	underlie
blueprint	NN	blueprint
for	IN	for
an	DT	an
origami	NN	origami
figure	NN	figure
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
just	RB	just
draw	VB	draw
them	PP	them
arbitrarily	RB	arbitrarily
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
obey	VB	obey
four	CD	four
simple	JJ	simple
laws	NNS	law
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
very	RB	very
simple	JJ	simple
,	,	,
easy	JJ	easy
to	TO	to
understand	VB	understand
.	SENT	.
The	DT	the
first	JJ	first
law	NN	law
is	VBZ	be
two-colorability	NN	two-colorability
.	SENT	.
You	PP	you
can	MD	can
color	VB	color
any	DT	any
crease	NN	crease
pattern	NN	pattern
with	IN	with
just	RB	just
two	CD	two
colors	NNS	color
without	IN	without
ever	RB	ever
having	VBG	have
the	DT	the
same	JJ	same
color	NN	color
meeting	NN	meeting
.	SENT	.
The	DT	the
directions	NNS	direction
of	IN	of
the	DT	the
folds	NNS	fold
at	IN	at
any	DT	any
vertex	NN	vertex
—	:	-
the	DT	the
number	NN	number
of	IN	of
mountain	NN	mountain
folds	NNS	fold
,	,	,
the	DT	the
number	NN	number
of	IN	of
valley	NN	valley
folds	NNS	fold
—	:	-
always	RB	always
differs	VBZ	differ
by	IN	by
two	CD	two
.	SENT	.
Two	CD	two
more	JJR	more
or	CC	or
two	CD	two
less	JJR	less
.	SENT	.
Nothing	NN	nothing
else	RB	else
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
angles	NNS	angle
around	IN	around
the	DT	the
fold	NN	fold
,	,	,
you	PP	you
find	VBP	find
that	IN	that
if	IN	if
you	PP	you
number	NN	number
the	DT	the
angles	NNS	angle
in	IN	in
a	DT	a
circle	NN	circle
,	,	,
all	PDT	all
the	DT	the
even-numbered	JJ	even-numbered
angles	NNS	angle
add	VBP	add
up	RP	up
to	TO	to
a	DT	a
straight	JJ	straight
line	NN	line
,	,	,
all	PDT	all
the	DT	the
odd-numbered	JJ	odd-numbered
angles	NNS	angle
add	VBP	add
up	RP	up
to	TO	to
a	DT	a
straight	JJ	straight
line	NN	line
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
how	WRB	how
the	DT	the
layers	NNS	layer
stack	VBP	stack
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
that	IN	that
no	DT	no
matter	NN	matter
how	WRB	how
you	PP	you
stack	VBP	stack
folds	NNS	fold
and	CC	and
sheets	NNS	sheet
,	,	,
a	DT	a
sheet	NN	sheet
can	MD	can
never	RB	never
penetrate	VB	penetrate
a	DT	a
fold	NN	fold
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
four	CD	four
simple	JJ	simple
laws	NNS	law
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
all	RB	all
you	PP	you
need	VBP	need
in	IN	in
origami	NN	origami
.	SENT	.
All	RB	all
of	IN	of
origami	NN	origami
comes	VBZ	come
from	IN	from
that	DT	that
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
d	NN	d
think	VBP	think
,	,	,
"	``	"
Can	MD	can
four	CD	four
simple	JJ	simple
laws	NNS	law
give	VBP	give
rise	NN	rise
to	TO	to
that	DT	that
kind	NN	kind
of	IN	of
complexity	NN	complexity
?	SENT	?
"	''	"
But	CC	but
indeed	RB	indeed
,	,	,
the	DT	the
laws	NNS	law
of	IN	of
quantum	NN	quantum
mechanics	NNS	mechanic
can	MD	can
be	VB	be
written	VBN	write
down	RP	down
on	IN	on
a	DT	a
napkin	NN	napkin
,	,	,
and	CC	and
yet	RB	yet
they	PP	they
govern	VBP	govern
all	RB	all
of	IN	of
chemistry	NN	chemistry
,	,	,
all	RB	all
of	IN	of
life	NN	life
,	,	,
all	RB	all
of	IN	of
history	NN	history
.	SENT	.
If	IN	if
we	PP	we
obey	VBP	obey
these	DT	these
laws	NNS	law
,	,	,
we	PP	we
can	MD	can
do	VB	do
amazing	JJ	amazing
things	NNS	thing
.	SENT	.
So	RB	so
in	IN	in
origami	NN	origami
,	,	,
to	TO	to
obey	VB	obey
these	DT	these
laws	NNS	law
,	,	,
we	PP	we
can	MD	can
take	VB	take
simple	JJ	simple
patterns	NNS	pattern
—	:	-
like	IN	like
this	DT	this
repeating	JJ	repeating
pattern	NN	pattern
of	IN	of
folds	NNS	fold
,	,	,
called	VBN	call
textures	NNS	texture
—	:	-
and	CC	and
by	IN	by
itself	PP	itself
it	PP	it
'	POS	'
s	NN	S
nothing	NN	nothing
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
follow	VBP	follow
the	DT	the
laws	NNS	law
of	IN	of
origami	NN	origami
,	,	,
we	PP	we
can	MD	can
put	VB	put
these	DT	these
patterns	NNS	pattern
into	IN	into
another	DT	another
fold	NN	fold
that	IN	that
itself	PP	itself
might	MD	might
be	VB	be
something	NN	something
very	RB	very
,	,	,
very	RB	very
simple	JJ	simple
,	,	,
but	CC	but
when	WRB	when
we	PP	we
put	VBP	put
it	PP	it
together	RB	together
,	,	,
we	PP	we
get	VBP	get
something	NN	something
a	DT	a
little	RB	little
different	JJ	different
.	SENT	.
This	DT	this
fish	NN	fish
,	,	,
400	CD	@card@
scales	NNS	scale
—	:	-
again	RB	again
,	,	,
it	PP	it
is	VBZ	be
one	CD	one
uncut	JJ	uncut
square	NN	square
,	,	,
only	RB	only
folding	VBG	fold
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
fold	VB	fold
400	CD	@card@
scales	NNS	scale
,	,	,
you	PP	you
can	MD	can
back	VB	back
off	RP	off
and	CC	and
just	RB	just
do	VBP	do
a	DT	a
few	JJ	few
