Good	JJ	good
evening	NN	evening
.	SENT	.
We	PP	we
are	VBP	be
in	IN	in
this	DT	this
wonderful	JJ	wonderful
open-air	JJ	open-air
amphitheater	NN	amphitheater
and	CC	and
we	PP	we
are	VBP	be
enjoying	VBG	enjoy
ourselves	PP	ourselves
in	IN	in
that	DT	that
mild	JJ	mild
evening	NN	evening
temperature	NN	temperature
tonight	NN	tonight
,	,	,
but	CC	but
when	WRB	when
Qatar	NP	Qatar
will	MD	will
host	VB	host
the	DT	the
football	NN	football
World	NP	World
Cup	NP	Cup
10	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
,	,	,
2022	CD	@card@
,	,	,
we	PP	we
already	RB	already
heard	VBD	hear
it	PP	it
will	MD	will
be	VB	be
in	IN	in
the	DT	the
hot	JJ	hot
,	,	,
very	RB	very
hot	JJ	hot
and	CC	and
sunny	JJ	sunny
summer	NN	summer
months	NNS	month
of	IN	of
June	NP	June
and	CC	and
July	NP	July
.	SENT	.
And	CC	and
when	WRB	when
Qatar	NP	Qatar
has	VBZ	have
been	VBN	be
assigned	VBN	assign
to	TO	to
the	DT	the
World	NP	World
Cup	NP	Cup
all	RB	all
,	,	,
many	JJ	many
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
have	VBP	have
been	VBN	be
wondering	VBG	wonder
,	,	,
how	WRB	how
would	MD	would
it	PP	it
be	VB	be
possible	JJ	possible
that	IN	that
football	NN	football
players	NNS	player
show	VBP	show
spectacular	JJ	spectacular
football	NN	football
,	,	,
run	VBN	run
around	RP	around
in	IN	in
this	DT	this
desert	NN	desert
climate	NN	climate
?	SENT	?
How	WRB	how
would	MD	would
it	PP	it
be	VB	be
possible	JJ	possible
that	IN	that
spectators	NNS	spectator
sit	VBP	sit
,	,	,
enjoy	VBP	enjoy
themselves	PP	themselves
in	IN	in
open-air	JJ	open-air
stadia	NN	stadia
in	IN	in
this	DT	this
hot	JJ	hot
environment	NN	environment
?	SENT	?
Together	RB	together
with	IN	with
the	DT	the
architects	NNS	architect
of	IN	of
Albert	NP	Albert
Speer	NP	Speer
&	CC	&
Partner	NN	partner
,	,	,
our	PP$	our
engineers	NNS	engineer
from	IN	from
Transsolar	NP	Transsolar
have	VBP	have
been	VBN	be
supporting	VBG	support
,	,	,
have	VBP	have
been	VBN	be
developing	VBG	develop
open-air	JJ	open-air
stadia	NN	stadia
based	VBN	base
on	IN	on
100	CD	@card@
percent	NN	percent
solar	JJ	solar
power	NN	power
,	,	,
on	IN	on
100	CD	@card@
percent	NN	percent
solar	JJ	solar
cooling	NN	cooling
.	SENT	.
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
about	IN	about
that	DT	that
,	,	,
but	CC	but
let	VB	let
me	PP	me
start	VB	start
with	IN	with
comfort	NN	comfort
.	SENT	.
Let	VB	let
me	PP	me
start	VB	start
with	IN	with
the	DT	the
aspect	NN	aspect
of	IN	of
comfort	NN	comfort
,	,	,
because	IN	because
many	JJ	many
people	NNS	people
are	VBP	be
confusing	VBG	confuse
ambient	JJ	ambient
temperature	NN	temperature
with	IN	with
thermal	JJ	thermal
comfort	NN	comfort
.	SENT	.
We	PP	we
are	VBP	be
used	VBN	use
to	TO	to
looking	VBG	look
at	IN	at
charts	NNS	chart
like	IN	like
that	DT	that
,	,	,
and	CC	and
you	PP	you
see	VBP	see
this	DT	this
red	JJ	red
line	NN	line
showing	VBG	show
the	DT	the
air	NN	air
temperature	NN	temperature
in	IN	in
June	NP	June
and	CC	and
July	NP	July
,	,	,
and	CC	and
yes	UH	yes
,	,	,
that	WDT	that
'	POS	'
s	NN	S
right	NN	right
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
picking	VBG	pick
up	RP	up
to	TO	to
45	CD	@card@
degrees	NNS	degree
C	NP	C
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
very	RB	very
hot	JJ	hot
.	SENT	.
But	CC	but
air	NN	air
temperature	NN	temperature
is	VBZ	be
not	RB	not
the	DT	the
full	JJ	full
set	NN	set
of	IN	of
climatic	JJ	climatic
parameters	NNS	parameter
which	WDT	which
define	VBP	define
comfort	NN	comfort
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
analysis	NN	analysis
a	DT	a
colleague	NN	colleague
of	IN	of
mine	PP	mine
did	VBD	do
looking	VBG	look
on	IN	on
different	JJ	different
football	NN	football
,	,	,
World	NP	World
Cups	NNS	cup
,	,	,
Olympic	NP	Olympic
Games	NPS	Games
around	IN	around
the	DT	the
world	NN	world
,	,	,
looking	VBG	look
on	IN	on
the	DT	the
comfort	NN	comfort
and	CC	and
analyzing	VBG	analyze
the	DT	the
comfort	NN	comfort
people	NNS	people
have	VBP	have
perceived	VBN	perceive
at	IN	at
these	DT	these
different	JJ	different
sport	NN	sport
activities	NNS	activity
,	,	,
and	CC	and
let	VB	let
me	PP	me
start	VB	start
with	IN	with
Mexico	NP	Mexico
.	SENT	.
Mexico	NP	Mexico
temperature	NN	temperature
has	VBZ	have
been	VBN	be
,	,	,
air	NN	air
temperature	NN	temperature
has	VBZ	have
been	VBN	be
something	NN	something
between	IN	between
15	CD	@card@
,	,	,
up	RB	up
to	TO	to
30	CD	@card@
degrees	NNS	degree
C	NP	C
,	,	,
and	CC	and
people	NNS	people
enjoyed	VBD	enjoy
themselves	PP	themselves
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
comfortable	JJ	comfortable
game	NN	game
in	IN	in
