OK	UH	OK
,	,	,
so	RB	so
,	,	,
confession	NN	confession
:	:	:
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
been	VBN	be
weirdly	RB	weirdly
obsessed	VBN	obsess
with	IN	with
advertising	NN	advertising
.	SENT	.
I	PP	I
remember	VBP	remember
watching	VBG	watch
Saturday	NP	Saturday
morning	NN	morning
cartoons	NNS	cartoon
,	,	,
paying	VBG	pay
more	JJR	more
attention	NN	attention
to	TO	to
the	DT	the
commercials	NNS	commercial
than	IN	than
to	TO	to
the	DT	the
shows	NNS	show
,	,	,
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
they	PP	they
were	VBD	be
trying	VBG	try
to	TO	to
get	VB	get
inside	IN	inside
my	PP$	my
head	NN	head
.	SENT	.
Ultimately	RB	ultimately
,	,	,
that	WDT	that
led	VBD	lead
me	PP	me
to	TO	to
my	PP$	my
dream	NN	dream
job	NN	job
.	SENT	.
I	PP	I
became	VBD	become
a	DT	a
partner	NN	partner
at	IN	at
a	DT	a
big	JJ	big
New	NP	New
York	NP	York
ad	NN	ad
agency	NN	agency
.	SENT	.
But	CC	but
then	RB	then
,	,	,
all	DT	all
of	IN	of
that	DT	that
suddenly	RB	suddenly
changed	VBN	change
on	IN	on
February	NP	February
23	CD	@card@
,	,	,
1997	CD	@card@
,	,	,
when	WRB	when
my	PP$	my
little	JJ	little
brother	NN	brother
Matt	NP	Matt
was	VBD	be
shot	VBN	shoot
in	IN	in
the	DT	the
head	NN	head
in	IN	in
a	DT	a
shooting	NN	shooting
that	WDT	that
happened	VBD	happen
on	IN	on
the	DT	the
observation	NN	observation
deck	NN	deck
of	IN	of
the	DT	the
Empire	NP	Empire
State	NP	State
Building	NP	Building
.	SENT	.
Suddenly	RB	suddenly
,	,	,
my	PP$	my
family	NN	family
was	VBD	be
thrown	VBN	throw
into	IN	into
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
nightmare	NN	nightmare
,	,	,
being	VBG	be
told	VBN	tell
that	IN	that
my	PP$	my
brother	NN	brother
was	VBD	be
going	VBG	go
to	TO	to
die	VB	die
,	,	,
actually	RB	actually
being	VBG	be
given	VBN	give
the	DT	the
opportunity	NN	opportunity
to	TO	to
say	VB	say
goodbye	NN	goodbye
to	TO	to
him	PP	him
,	,	,
then	RB	then
several	JJ	several
emergency	NN	emergency
brain	NN	brain
surgeries	NNS	surgery
and	CC	and
now	RB	now
what	WP	what
'	POS	'
s	NN	S
amounted	VBD	amount
,	,	,
for	IN	for
Matt	NP	Matt
,	,	,
to	TO	to
a	DT	a
lifetime	NN	lifetime
spent	VBD	spend
courageously	RB	courageously
recovering	VBG	recover
from	IN	from
a	DT	a
traumatic	JJ	traumatic
brain	NN	brain
injury	NN	injury
.	SENT	.
He	PP	he
is	VBZ	be
definitely	RB	definitely
my	PP$	my
hero	NN	hero
.	SENT	.
But	CC	but
as	RB	as
much	RB	much
as	RB	as
—	:	-
yeah	RB	yeah
,	,	,
deserves	VBZ	deserve
it	PP	it
—	:	-
But	CC	but
as	RB	as
much	RB	much
as	IN	as
this	DT	this
tragedy	NN	tragedy
was	VBD	be
a	DT	a
nightmare	NN	nightmare
for	IN	for
my	PP$	my
family	NN	family
,	,	,
I	PP	I
often	RB	often
think	VBP	think
about	RB	about
how	WRB	how
much	JJ	much
worse	JJR	bad
it	PP	it
could	MD	could
have	VB	have
been	VBN	be
;	:	;
in	IN	in
fact	NN	fact
,	,	,
how	WRB	how
much	JJ	much
worse	JJR	bad
it	PP	it
is	VBZ	be
for	IN	for
the	DT	the
90	CD	@card@
families	NNS	family
every	DT	every
day	NN	day
who	WP	who
aren	NP	Aren
'	POS	'
t	NN	t
as	IN	as
fortunate	JJ	fortunate
,	,	,
who	WP	who
lose	VBP	lose
loved	VBN	love
ones	NNS	one
—	:	-
brothers	NNS	brother
,	,	,
sisters	NNS	sister
,	,	,
sons	NNS	son
,	,	,
daughters	NNS	daughter
,	,	,
parents	NNS	parent
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
all	RB	all
make	VB	make
national	JJ	national
headlines	NNS	headline
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
most	JJS	most
of	IN	of
them	PP	them
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
They	PP	they
go	VBP	go
largely	RB	largely
unnoticed	JJ	unnoticed
,	,	,
in	IN	in
a	DT	a
nation	NN	nation
that	RB	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
come	VBN	come
to	TO	to
accept	VB	accept
a	DT	a
disgraceful	JJ	disgraceful
national	JJ	national
epidemic	NN	epidemic
as	IN	as
some	DT	some
kind	NN	kind
of	IN	of
new	JJ	new
normal	JJ	normal
.	SENT	.
So	RB	so
I	PP	I
quit	VBD	quit
my	PP$	my
job	NN	job
in	IN	in
advertising	NN	advertising
to	TO	to
try	VB	try
and	CC	and
do	VB	do
something	NN	something
about	IN	about
this	DT	this
disgraceful	JJ	disgraceful
national	JJ	national
epidemic	NN	epidemic
,	,	,
because	IN	because
I	PP	I
came	VBD	come
to	TO	to
realize	VB	realize
that	IN	that
the	DT	the
challenges	NNS	challenge
to	TO	to
preventing	VBG	prevent
gun	NN	gun
violence	NN	violence
are	VBP	be
actually	RB	actually
the	DT	the
same	JJ	same
ones	NNS	one
that	WDT	that
made	VBD	make
me	PP	me
love	VBP	love
advertising	NN	advertising
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
try	VB	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
engage	VB	engage
people	NNS	people
.	SENT	.
Only	RB	only
instead	RB	instead
of	IN	of
doing	VBG	do
it	PP	it
to	TO	to
sell	VB	sell
products	NNS	product
,	,	,
doing	VBG	do
it	PP	it
to	TO	to
save	VB	save
lives	NNS	life
.	SENT	.
And	CC	and
that	DT	that
comes	VBZ	come
down	RP	down
to	TO	to
finding	VBG	find
common	JJ	common
ground	NN	ground
,	,	,
where	WRB	where
what	WP	what
I	PP	I
want	VBP	want
overlaps	VBZ	overlap
with	IN	with
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
And	CC	and
you	PP	you
might	MD	might
be	VB	be
surprised	VBN	surprise
to	TO	to
learn	VB	learn
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
gun	VB	gun
violence	NN	violence
,	,	,
just	RB	just
how	WRB	how
much	JJ	much
common	JJ	common
ground	NN	ground
there	EX	there
is	VBZ	be
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
look	NN	look
,	,	,
for	IN	for
example	NN	example
,	,	,
at	IN	at
people	NNS	people
who	WP	who
love	VBP	love
to	TO	to
hunt	VB	hunt
,	,	,
a	DT	a
sport	NN	sport
enjoyed	VBN	enjoy
by	IN	by
millions	NNS	million
across	IN	across
the	DT	the
US	NP	US
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
proud	JJ	proud
tradition	NN	tradition
.	SENT	.
Families	NNS	family
.	SENT	.
In	IN	in
some	DT	some
places	NNS	place
