Why	WRB	why
are	VBP	be
transgender	NN	transgender
people	NNS	people
suddenly	RB	suddenly
everywhere	RB	everywhere
?	SENT	?
As	IN	as
a	DT	a
trans	NNS	<unknown>
activist	NN	activist
,	,	,
I	PP	I
get	VBP	get
this	DT	this
question	NN	question
a	DT	a
lot	NN	lot
.	SENT	.
Keep	VB	keep
in	IN	in
mind	NN	mind
,	,	,
less	JJR	less
than	IN	than
one	CD	one
percent	NN	percent
of	IN	of
American	JJ	American
adults	NNS	adult
openly	RB	openly
identify	VBP	identify
as	IN	as
trans	NNS	<unknown>
.	SENT	.
According	VBG	accord
to	TO	to
a	DT	a
recent	JJ	recent
GLAAD	NP	<unknown>
survey	NN	survey
,	,	,
about	RB	about
16	CD	@card@
percent	NN	percent
of	IN	of
non-trans	NP	non-trans
Americans	NPS	Americans
claim	VBP	claim
to	TO	to
know	VB	know
a	DT	a
trans	NNS	<unknown>
person	NN	person
in	IN	in
real	JJ	real
life	NN	life
.	SENT	.
So	RB	so
for	IN	for
the	DT	the
other	JJ	other
84	CD	@card@
percent	NN	percent
,	,	,
this	DT	this
may	MD	may
seem	VB	seem
like	IN	like
a	DT	a
new	JJ	new
topic	NN	topic
.	SENT	.
But	CC	but
trans	NNS	<unknown>
people	NNS	people
are	VBP	be
not	RB	not
new	JJ	new
.	SENT	.
Gender	NN	gender
variance	NN	variance
is	VBZ	be
older	JJR	old
than	IN	than
you	PP	you
think	VBP	think
,	,	,
and	CC	and
trans	NNS	<unknown>
people	NNS	people
are	VBP	be
part	NN	part
of	IN	of
that	DT	that
legacy	NN	legacy
.	SENT	.
From	IN	from
central	JJ	central
Africa	NP	Africa
to	TO	to
South	NP	South
America	NP	America
to	TO	to
the	DT	the
Pacific	NP	Pacific
Islands	NP	Islands
and	CC	and
beyond	RB	beyond
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
populations	NNS	population
who	WP	who
recognize	VBP	recognize
multiple	JJ	multiple
genders	NNS	gender
,	,	,
and	CC	and
they	PP	they
go	VBP	go
way	NN	way
back	RB	back
.	SENT	.
The	DT	the
hijra	NN	<unknown>
of	IN	of
India	NP	India
and	CC	and
Pakistan	NP	Pakistan
,	,	,
for	IN	for
example	NN	example
,	,	,
have	VBP	have
been	VBN	be
cited	VBN	cite
as	RB	as
far	RB	far
back	RB	back
as	IN	as
2	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
in	IN	in
the	DT	the
Kama	NP	Kama
Sutra	NN	sutra
.	SENT	.
Indigenous	JJ	indigenous
American	JJ	American
nations	NNS	nation
each	DT	each
have	VBP	have
their	PP$	their
own	JJ	own
terms	NNS	term
,	,	,
but	CC	but
most	JJS	most
share	NN	share
the	DT	the
umbrella	NN	umbrella
term	NN	term
"	''	"
two-spirit	NN	two-spirit
.	SENT	.
"	''	"
They	PP	they
saw	VBD	see
gender-variant	JJ	gender-variant
people	NNS	people
as	IN	as
shamans	NNS	shaman
and	CC	and
healers	NNS	healer
in	IN	in
their	PP$	their
communities	NNS	community
,	,	,
and	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
the	DT	the
spread	NN	spread
of	IN	of
colonialism	NN	colonialism
that	IN	that
they	PP	they
were	VBD	be
taught	VBN	teach
to	TO	to
think	VB	think
otherwise	RB	otherwise
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
researching	VBG	research
trans	NNS	<unknown>
history	NN	history
,	,	,
we	PP	we
look	VBP	look
for	IN	for
both	DT	both
trans	NNS	<unknown>
people	NNS	people
and	CC	and
trans	NNS	<unknown>
practices	NNS	practice
.	SENT	.
Take	VB	take
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
women	NNS	woman
who	WP	who
presented	VBD	present
as	IN	as
men	NNS	man
so	IN	so
they	PP	they
could	MD	could
fight	VB	fight
in	IN	in
the	DT	the
US	NP	US
Civil	NP	Civil
War	NP	War
.	SENT	.
After	IN	after
the	DT	the
war	NN	war
,	,	,
most	JJS	most
resumed	VBD	resume
their	PP$	their
lives	NNS	life
as	IN	as
women	NNS	woman
,	,	,
but	CC	but
some	DT	some
,	,	,
like	IN	like
Albert	NP	Albert
Cashier	NN	cashier
,	,	,
continued	VBD	continue
to	TO	to
live	VB	live
as	IN	as
men	NNS	man
.	SENT	.
Albert	NP	Albert
was	VBD	be
eventually	RB	eventually
confined	VBN	confine
to	TO	to
an	DT	an
asylum	NN	asylum
and	CC	and
forced	VBN	force
to	TO	to
wear	VB	wear
a	DT	a
dress	NN	dress
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
his	PP$	his
life	NN	life
.	SENT	.
Around	IN	around
1895	CD	@card@
,	,	,
a	DT	a
group	NN	group
of	IN	of
self-described	VBN	self-describe
androgynes	NNS	androgyne
formed	VBD	form
the	DT	the
Cercle	NP	<unknown>
Hermaphroditos	NP	<unknown>
.	SENT	.
Their	PP$	their
mission	NN	mission
was	VBD	be
to	TO	to
unite	VB	unite
for	IN	for
defense	NN	defense
against	IN	against
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
bitter	JJ	bitter
persecution	NN	persecution
.	SENT	.
And	CC	and
in	IN	in
doing	VBG	do
that	IN	that
,	,	,
they	PP	they
became	VBD	become
one	CD	one
of	IN	of
the	DT	the
earliest	JJS	early
trans	NNS	<unknown>
support	VBP	support
groups	NNS	group
.	SENT	.
By	IN	by
the	NP	the
'	POS	'
40s	JJ	<unknown>
and	NP	and
'	POS	'
50s	NP	50s
,	,	,
medical	JJ	medical
researchers	NNS	researcher
were	VBD	be
starting	VBG	start
to	TO	to
study	VB	study
trans	NNS	<unknown>
medicine	NN	medicine
,	,	,
but	CC	but
they	PP	they
were	VBD	be
aided	VBN	aid
by	IN	by
their	PP$	their
trans	NNS	<unknown>
patients	NNS	patient
,	,	,
like	IN	like
Louise	NP	Louise
Lawrence	NP	Lawrence
,	,	,
a	DT	a
trans	NNS	<unknown>
woman	NN	woman
who	WP	who
had	VBD	have
corresponded	VBN	correspond
extensively	RB	extensively
with	IN	with
people	NNS	people
who	WP	who
had	VBD	have
been	VBN	be
arrested	VBN	arrest
for	IN	for
public	JJ	public
cross-dressing	NN	cross-dressing
.	SENT	.
She	PP	she
