Thank	VB	thank
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
dogs	NNS	dog
,	,	,
but	CC	but
more	RBR	more
specifically	RB	specifically
,	,	,
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	IN	about
bad	JJ	bad
dogs	NNS	dog
,	,	,
and	CC	and
why	WRB	why
I	PP	I
love	VBP	love
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
conservation	NN	conservation
biologist	NN	biologist
,	,	,
meaning	VBG	mean
I	PP	I
study	VB	study
weird	JJ	weird
species	NNS	specie
and	CC	and
try	VBP	try
to	TO	to
count	VB	count
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
also	RB	also
a	DT	a
trainer	NN	trainer
of	IN	of
detection	NN	detection
dogs	NNS	dog
,	,	,
and	CC	and
where	WRB	where
those	DT	those
two	CD	two
worlds	NNS	world
meet	VBP	meet
is	VBZ	be
where	WRB	where
I	PP	I
live	VBP	live
,	,	,
and	CC	and
where	WRB	where
I	PP	I
work	VBP	work
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
dogs	NNS	dog
that	WDT	that
we	PP	we
get	VBP	get
for	IN	for
this	DT	this
kind	NN	kind
of	IN	of
work	NN	work
,	,	,
we	PP	we
scour	VBP	scour
shelters	NNS	shelter
for	IN	for
because	IN	because
these	DT	these
are	VBP	be
bad	JJ	bad
dogs	NNS	dog
,	,	,
and	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
make	VB	make
great	JJ	great
pets	NNS	pet
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
these	DT	these
dogs	NNS	dog
.	SENT	.
You	PP	you
go	VBP	go
to	TO	to
your	PP$	your
friend	NN	friend
'	POS	'
s	NN	S
barbecue	NN	barbecue
,	,	,
and	CC	and
that	DT	that
dog	NN	dog
comes	VBZ	come
up	RP	up
,	,	,
and	CC	and
she	PP	she
is	VBZ	be
so	RB	so
happy	JJ	happy
to	TO	to
see	VB	see
you	PP	you
she	PP	she
pees	VBZ	pee
on	IN	on
your	PP$	your
feet	NNS	foot
,	,	,
and	CC	and
she	PP	she
drops	VBZ	drop
this	DT	this
big	JJ	big
,	,	,
slabbery	JJ	slabbery
ball	NN	ball
in	IN	in
your	PP$	your
lap	NN	lap
,	,	,
and	CC	and
you	PP	you
just	RB	just
throw	VBP	throw
it	PP	it
to	TO	to
try	VB	try
to	TO	to
get	VB	get
as	IN	as
much	JJ	much
distance	NN	distance
between	IN	between
yourself	PP	yourself
and	CC	and
this	DT	this
dog	NN	dog
as	IN	as
possible	JJ	possible
,	,	,
and	CC	and
it	PP	it
comes	VBZ	come
back	RB	back
,	,	,
and	CC	and
then	RB	then
by	IN	by
950th	NN	<unknown>
throw	VBP	throw
you	PP	you
'	''	'
re	IN	re
just	RB	just
thinking	VBG	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
just	RB	just
why	WRB	why
didn	NP	<unknown>
'	POS	'
t	NN	t
they	PP	they
get	VBP	get
rid	JJ	rid
of	IN	of
this	DT	this
dog	NN	dog
?	SENT	?
"	''	"
And	CC	and
often	RB	often
they	PP	they
do	VBP	do
.	SENT	.
They	PP	they
end	VBP	end
up	RP	up
in	IN	in
shelters	NNS	shelter
because	IN	because
they	PP	they
often	RB	often
have	VBP	have
this	DT	this
overwhelming	JJ	overwhelming
desire	NN	desire
to	TO	to
bring	VB	bring
you	PP	you
things	NNS	thing
.	SENT	.
They	PP	they
think	VBP	think
that	IN	that
you	PP	you
'	POS	'
re	NN	re
really	RB	really
enjoying	VBG	enjoy
this	DT	this
.	SENT	.
The	DT	the
dog	NN	dog
is	VBZ	be
so	RB	so
happy	JJ	happy
,	,	,
thinking	VBG	think
that	IN	that
you	PP	you
'	POS	'
re	NN	re
all	RB	all
enjoying	VBG	enjoy
this	DT	this
game	NN	game
because	IN	because
you	PP	you
'	POS	'
re	NN	re
throwing	VBG	throw
something	NN	something
and	CC	and
it	PP	it
'	POS	'
s	NN	S
bringing	VBG	bring
it	PP	it
to	TO	to
you	PP	you
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
telling	VBG	tell
you	PP	you
where	WRB	where
this	DT	this
thing	NN	thing
is	VBZ	be
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
asked	VBD	ask
them	PP	them
to	TO	to
do	VB	do
over	IN	over
the	DT	the
evolution	NN	evolution
of	IN	of
time	NN	time
,	,	,
our	PP$	our
companionship	NN	companionship
with	IN	with
dogs	NNS	dog
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
asked	VBD	ask
them	PP	them
to	TO	to
bring	VB	bring
us	PP	us
stuff	NN	stuff
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
a	DT	a
great	JJ	great
job	NN	job
.	SENT	.
They	PP	they
bring	VB	bring
us	PP	us
our	PP$	our
livestock	NN	livestock
,	,	,
and	CC	and
they	PP	they
bring	VBP	bring
us	PP	us
food	NN	food
and	CC	and
game	NN	game
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
species	NN	species
on	IN	on
the	DT	the
planet	NN	planet
that	WDT	that
can	MD	can
be	VB	be
bothered	VBN	bother
to	TO	to
bring	VB	bring
us	PP	us
stuff	NN	stuff
and	CC	and
bothered	VBD	bother
to	TO	to
tell	VB	tell
us	PP	us
what	WP	what
they	PP	they
know	VBP	know
.	SENT	.
I	PP	I
mean	VBP	mean
you	PP	you
can	MD	can
ask	VB	ask
a	DT	a
camel	NN	camel
or	CC	or
a	DT	a
bear	NN	bear
,	,	,
or	CC	or
you	PP	you
can	MD	can
ask	VB	ask
your	PP$	your
cat	NN	cat
,	,	,
and	CC	and
you	PP	you
get	VBP	get
nothing	NN	nothing
.	SENT	.
But	CC	but
dogs	NNS	dog
love	VBP	love
telling	VBG	tell
you	PP	you
what	WP	what
they	PP	they
know	VBP	know
.	SENT	.
And	CC	and
the	DT	the
ones	NNS	one
that	WDT	that
really	RB	really
really	RB	really
really	RB	really
love	VB	love
this	DT	this
,	,	,
they	PP	they
are	VBP	be
over	IN	over
the	DT	the
top	NN	top
,	,	,
they	PP	they
have	VBP	have
this	DT	this
unbelievable	JJ	unbelievable
energy	NN	energy
,	,	,
just	RB	just
unrelenting	JJ	unrelenting
go	NN	go
and	CC	and
drive	NN	drive
.	SENT	.
And	CC	and
we	PP	we
categorize	VBP	categorize
that	IN	that
often	RB	often
as	IN	as
just	RB	just
a	DT	a
reject	NN	reject
dog	NN	dog
.	SENT	.
It	PP	it
is	VBZ	be
just	RB	just
too	RB	too
much	RB	much
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
destructive	JJ	destructive
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
of	IN	of
