Hi	UH	hi
,	,	,
kids	NNS	kid
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
71	CD	@card@
.	SENT	.
My	PP$	my
husband	NN	husband
is	VBZ	be
76	CD	@card@
.	SENT	.
My	PP$	my
parents	NNS	parent
are	VBP	be
in	IN	in
their	PP$	their
late	JJ	late
90s	NNS	<unknown>
,	,	,
and	CC	and
Olivia	NP	Olivia
,	,	,
the	DT	the
dog	NN	dog
,	,	,
is	VBZ	be
16	CD	@card@
.	SENT	.
So	IN	so
let	NN	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
aging	VBG	age
.	SENT	.
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
how	WRB	how
I	PP	I
feel	VBP	feel
when	WRB	when
I	PP	I
see	VBP	see
my	PP$	my
wrinkles	NNS	wrinkle
in	IN	in
the	DT	the
mirror	NN	mirror
and	CC	and
I	PP	I
realize	VBP	realize
that	IN	that
some	DT	some
parts	NNS	part
of	IN	of
me	PP	me
have	VBP	have
dropped	VBN	drop
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
find	VB	find
them	PP	them
down	RP	down
there	RB	there
.	SENT	.
Mary	NP	Mary
Oliver	NP	Oliver
says	VBZ	say
in	IN	in
one	CD	one
of	IN	of
her	PP$	her
poems	NNS	poem
,	,	,
"	``	"
Tell	VB	tell
me	PP	me
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
that	IN	that
you	PP	you
plan	VBP	plan
to	TO	to
do	VB	do
with	IN	with
your	PP$	your
one	CD	one
wild	JJ	wild
and	CC	and
precious	JJ	precious
life	NN	life
?	SENT	?
"	``	"
Me	PP	me
,	,	,
I	PP	I
intend	VBP	intend
to	TO	to
live	VB	live
passionately	RB	passionately
.	SENT	.
When	WRB	when
do	VBP	do
we	PP	we
start	VBP	start
aging	VBG	age
?	SENT	?
Society	NP	Society
decides	VBZ	decide
when	WRB	when
we	PP	we
are	VBP	be
old	JJ	old
,	,	,
usually	RB	usually
around	IN	around
65	CD	@card@
,	,	,
when	WRB	when
we	PP	we
get	VBP	get
Medicare	NP	Medicare
,	,	,
but	CC	but
we	PP	we
really	RB	really
start	VBP	start
aging	VBG	age
at	IN	at
birth	NN	birth
.	SENT	.
We	PP	we
are	VBP	be
aging	VBG	age
right	RB	right
now	RB	now
,	,	,
and	CC	and
we	PP	we
all	RB	all
experience	VBP	experience
it	PP	it
differently	RB	differently
.	SENT	.
We	PP	we
all	RB	all
feel	VBP	feel
younger	JJR	young
than	IN	than
our	PP$	our
real	JJ	real
age	NN	age
,	,	,
because	IN	because
the	DT	the
spirit	NN	spirit
never	RB	never
ages	VBZ	age
.	SENT	.
I	PP	I
am	VBP	be
still	RB	still
17	CD	@card@
.	SENT	.
Sophia	NP	Sophia
Loren	NP	Loren
.	SENT	.
Look	VB	look
at	IN	at
her	PP	her
.	SENT	.
She	PP	she
says	VBZ	say
that	DT	that
everything	NN	everything
you	PP	you
see	VBP	see
she	PP	she
owes	VBZ	owe
to	TO	to
spaghetti	NNS	spaghetti
.	SENT	.
I	PP	I
tried	VBD	try
it	PP	it
and	CC	and
gained	VBD	gain
10	CD	@card@
pounds	NNS	pound
in	IN	in
the	DT	the
wrong	JJ	wrong
places	NNS	place
.	SENT	.
But	CC	but
attitude	NN	attitude
,	,	,
aging	NN	aging
is	VBZ	be
also	RB	also
attitude	NN	attitude
and	CC	and
health	NN	health
.	SENT	.
But	CC	but
my	PP$	my
real	JJ	real
mentor	NN	mentor
in	IN	in
this	DT	this
journey	NN	journey
of	IN	of
aging	NN	aging
is	VBZ	be
Olga	NP	Olga
Murray	NP	Murray
.	SENT	.
This	DT	this
California	NP	California
girl	NN	girl
at	IN	at
60	CD	@card@
started	VBD	start
working	VBG	work
in	IN	in
Nepal	NP	Nepal
to	TO	to
save	VB	save
young	JJ	young
girls	NNS	girl
from	IN	from
domestic	JJ	domestic
