Let	NP	Let
'	POS	'
s	NNS	<unknown>
talk	VBP	talk
about	RB	about
how	WRB	how
the	DT	the
narrative	NN	narrative
of	IN	of
Africa	NP	Africa
is	VBZ	be
being	VBG	be
told	VBN	tell
,	,	,
and	CC	and
who	WP	who
is	VBZ	be
doing	VBG	do
the	DT	the
telling	VBG	tell
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
the	DT	the
selection	NN	selection
of	IN	of
work	NN	work
by	IN	by
contemporary	JJ	contemporary
artists	NNS	artist
from	IN	from
Africa	NP	Africa
and	CC	and
its	PP$	its
diaspora	NN	Diaspora
.	SENT	.
I	PP	I
love	VBP	love
this	DT	this
art	NN	art
.	SENT	.
I	PP	I
find	VBP	find
it	PP	it
beautiful	JJ	beautiful
and	CC	and
inspiring	JJ	inspiring
and	CC	and
thrilling	JJ	thrilling
,	,	,
and	CC	and
I	PP	I
really	RB	really
hope	VBP	hope
I	PP	I
am	VBP	be
able	JJ	able
to	TO	to
pique	VB	pique
your	PP$	your
interest	NN	interest
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
something	NN	something
about	IN	about
myself	PP	myself
and	CC	and
why	WRB	why
art	NN	art
matters	VBZ	matter
to	TO	to
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
daughter	NN	daughter
of	IN	of
an	DT	an
artist	NN	artist
,	,	,
so	IN	so
that	WDT	that
means	VBZ	mean
that	IN	that
growing	VBG	grow
up	RP	up
,	,	,
I	PP	I
had	VBD	have
the	DT	the
chance	NN	chance
to	TO	to
see	VB	see
my	PP$	my
father	NN	father
do	VBP	do
artwork	NN	artwork
in	IN	in
his	PP$	his
studio	NN	studio
.	SENT	.
My	PP$	my
home	NN	home
was	VBD	be
surrounded	VBN	surround
by	IN	by
art	NN	art
,	,	,
and	CC	and
I	PP	I
had	VBD	have
an	DT	an
early	JJ	early
art	NN	art
education	NN	education
,	,	,
being	VBG	be
dragged	VBN	drag
to	TO	to
museums	NNS	museum
and	CC	and
exhibitions	NNS	exhibition
over	IN	over
the	DT	the
summer	NN	summer
holidays	NNS	holiday
.	SENT	.
What	WP	what
I	PP	I
did	VBD	do
not	RB	not
understand	VB	understand
,	,	,
really	RB	really
,	,	,
at	IN	at
the	DT	the
time	NN	time
,	,	,
is	VBZ	be
that	IN	that
this	DT	this
also	RB	also
gave	VBD	give
me	PP	me
an	DT	an
early	JJ	early
understanding	NN	understanding
about	IN	about
why	WRB	why
art	NN	art
is	VBZ	be
important	JJ	important
,	,	,
how	WRB	how
to	TO	to
look	VB	look
at	IN	at
it	PP	it
,	,	,
how	WRB	how
to	TO	to
understand	VB	understand
it	PP	it
,	,	,
but	CC	but
also	RB	also
how	WRB	how
to	TO	to
love	VB	love
it	PP	it
.	SENT	.
So	IN	so
art	NN	art
matters	NNS	matter
to	TO	to
me	PP	me
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
,	,	,
and	CC	and
not	RB	not
only	RB	only
because	IN	because
it	PP	it
'	POS	'
s	JJ	<unknown>
beautiful	JJ	beautiful
and	CC	and
inspiring	JJ	inspiring
and	CC	and
thrilling	JJ	thrilling
,	,	,
but	CC	but
because	IN	because
art	NN	art
tells	VBZ	tell
powerful	JJ	powerful
stories	NNS	story
.	SENT	.
All	PDT	all
these	DT	these
artists	NNS	artist
have	VBP	have
stories	NNS	story
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
African	JJ	African
,	,	,
stories	NNS	story
that	WDT	that
tell	VBP	tell
you	PP	you
and	CC	and
touches	NNS	touch
about	IN	about
our	PP$	our
African	JJ	African
identity	NN	identity
,	,	,
but	CC	but
also	RB	also
stories	NNS	story
that	WDT	that
tell	VBP	tell
us	PP	us
about	IN	about
who	WP	who
we	PP	we
are	VBP	be
as	IN	as
Africans	NNS	African
,	,	,
but	CC	but
also	RB	also
stories	NNS	story
that	WDT	that
tell	VBP	tell
us	PP	us
about	IN	about
our	PP$	our
complex	JJ	complex
history	NN	history
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
art	NN	art
tell	VB	tell
you	PP	you
powerful	JJ	powerful
stories	NNS	story
?	SENT	?
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
this	DT	this
series	NN	series
by	IN	by
Senegalese	JJ	Senegalese
artist	NN	artist
Omar	NP	Omar
Victor	NP	Victor
Diop	NP	Diop
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
series	NN	series
of	IN	of
self-portraits	NNS	self-portrait
,	,	,
and	CC	and
the	DT	the
artist	NN	artist
in	IN	in
this	DT	this
particular	JJ	particular
series	NN	series
is	VBZ	be
focusing	VBG	focus
on	IN	on
the	DT	the
representation	NN	representation
of	IN	of
Africans	NNS	African
in	IN	in
art	NN	art
history	NN	history
between	IN	between
the	DT	the
15th	JJ	15th
to	TO	to
the	DT	the
19th	JJ	19th
century	NN	century
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
how	WRB	how
,	,	,
with	IN	with
one	CD	one
image	NN	image
,	,	,
Diop	NP	Diop
is	VBZ	be
able	JJ	able
to	TO	to
touch	VB	touch
on	IN	on
our	PP$	our
African	JJ	African
identity	NN	identity
,	,	,
on	IN	on
the	DT	the
politics	NNS	politics
of	IN	of
representation	NN	representation
,	,	,
but	CC	but
also	RB	also
on	IN	on
our	PP$	our
social	JJ	social
value	NN	value
system	NN	system
.	SENT	.
In	IN	in
this	DT	this
particular	JJ	particular
self-portrait	NN	self-portrait
,	,	,
Diop	NP	Diop
is	VBZ	be
actually	RB	actually
referencing	VBG	reference
another	DT	another
portrait	NN	portrait
by	IN	by
Anne-Louis	NP	Anne-Louis
Girodet	NP	<unknown>
.	SENT	.
This	DT	this
picture	NN	picture
is	VBZ	be
doing	VBG	do
a	DT	a
portrait	NN	portrait
of	IN	of
Jean-Baptiste	NP	Jean-Baptiste
Belley	NP	Belley
.	SENT	.
Jean-Baptiste	NP	Jean-Baptiste
Belley	NP	Belley
was	VBD	be
a	DT	a
native	NN	native
of	IN	of
Senegal	NP	Senegal
,	,	,
a	DT	a
former	JJ	former
slave	NN	slave
of	IN	of
Haiti	NP	Haiti
,	,	,
but	CC	but
during	IN	during
his	PP$	his
lifetime	NN	lifetime
,	,	,
he	PP	he
also	RB	also
was	VBD	be
elected	VBN	elect
to	TO	to
represent	VB	represent
the	DT	the
colony	NN	colony
at	IN	at
the	DT	the
third	JJ	third
government	NN	government
of	IN	of
the	DT	the
French	JJ	French
Revolution	NN	revolution
,	,	,
and	CC	and
he	PP	he
advocated	VBD	advocate
strongly	RB	strongly
for	IN	for
the	DT	the
abolition	NN	abolition
of	IN	of
slavery	NN	slavery
.	SENT	.
What	WP	what
is	VBZ	be
very	RB	very
smart	JJ	smart
and	CC	and
clever	JJ	clever
about	IN	about
Diop	NP	Diop
here	RB	here
is	VBZ	be
that	IN	that
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
back	RB	back
to	TO	to
history	NN	history
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
reclaiming	VBG	reclaim
this	DT	this
figure	NN	figure
by	IN	by
restaging	VBG	restage
this	DT	this
beautiful	JJ	beautiful
royal	JJ	royal
blue	JJ	blue
uniform	NN	uniform
,	,	,
where	WRB	where
he	PP	he
is	VBZ	be
restaging	VBG	restage
also	RB	also
the	DT	the
pose	NN	pose
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
doing	VBG	do
that	IN	that
to	TO	to
actually	RB	actually
underline	VB	underline
the	DT	the
issues	NNS	issue
that	WDT	that
are	VBP	be
still	RB	still
impacting	VBG	impact
individuals	NNS	individual
of	IN	of
color	NN	color
today	NN	today
.	SENT	.
There	EX	there
was	VBD	be
nothing	NN	nothing
special	JJ	special
about	IN	about
this	DT	this
very	RB	very
typical	JJ	typical
political	JJ	political
portrait	NN	portrait
of	IN	of
the	DT	the
time	NN	time
,	,	,
except	IN	except
that	IN	that
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
an	DT	an
individual	NN	individual
of	IN	of
color	NN	color
,	,	,
in	IN	in
that	DT	that
case	NN	case
,	,	,
Jean-Baptiste	NP	Jean-Baptiste
Belley	NP	Belley
,	,	,
was	VBD	be
actually	RB	actually
named	VBN	name
and	CC	and
acknowledged	VBN	acknowledge
in	IN	in
a	DT	a
painting	NN	painting
.	SENT	.
What	WP	what
Diop	NP	Diop
is	VBZ	be
adding	VBG	add
to	TO	to
this	DT	this
picture	NN	picture
is	VBZ	be
this	DT	this
crucial	JJ	crucial
element	NN	element
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
football	NN	football
under	IN	under
his	PP$	his
arm	NN	arm
,	,	,
and	CC	and
by	IN	by
doing	VBG	do
that	IN	that
,	,	,
Diop	NP	Diop
is	VBZ	be
actually	RB	actually
touching	VBG	touch
at	IN	at
our	PP$	our
hero	NN	hero
worship	NN	worship
culture	NN	culture
of	IN	of
African	JJ	African
football	NN	football
stars	NNS	star
,	,	,
who	WP	who
unfortunately	RB	unfortunately
,	,	,
despite	IN	despite
their	PP$	their
fame	NN	fame
,	,	,
their	PP$	their
immense	JJ	immense
talent	NN	talent
,	,	,
and	CC	and
their	PP$	their
royalty	NN	royalty
status	NN	status
,	,	,
they	PP	they
are	VBP	be
still	RB	still
invisible	JJ	invisible
.	SENT	.
Diop	NP	Diop
is	VBZ	be
asking	VBG	ask
us	PP	us
to	TO	to
dig	VB	dig
deeper	JJR	deep
,	,	,
to	TO	to
go	VB	go
beyond	IN	beyond
history	NN	history
and	CC	and
what	WP	what
has	VBZ	have
been	VBN	be
written	VBN	write
,	,	,
and	CC	and
,	,	,
basically	RB	basically
,	,	,
see	VBP	see
how	WRB	how
it	PP	it
still	RB	still
influences	VBZ	influence
and	CC	and
impacts	VBZ	impact
us	PP	us
in	IN	in
the	DT	the
present	NN	present
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
this	DT	this
other	JJ	other
beautiful	JJ	beautiful
series	NN	series
called	VBN	call
"	``	"
Kesh	NP	<unknown>
Angels	NPS	Angels
,	,	,
"	''	"
by	IN	by
artist	NN	artist
Hassan	NP	Hassan
Hajjaj	NP	<unknown>
.	SENT	.
So	RB	so
in	IN	in
this	DT	this
particular	JJ	particular
series	NN	series
,	,	,
the	DT	the
artist	NN	artist
is	VBZ	be
really	RB	really
pushing	VBG	push
on	IN	on
the	DT	the
boundaries	NNS	boundary
of	IN	of
stereotype	NN	stereotype
and	CC	and
clich��	NN	<unknown>
.	SENT	.
Hassan	NP	Hassan
Hajjaj	NP	<unknown>
is	VBZ	be
a	DT	a
friend	NN	friend
,	,	,
and	CC	and
honestly	RB	honestly
,	,	,
I	PP	I
admire	VBP	admire
him	PP	him
dearly	RB	dearly
,	,	,
but	CC	but
this	DT	this
particular	JJ	particular
series	NN	series
is	VBZ	be
talking	VBG	talk
to	TO	to
me	PP	me
directly	RB	directly
as	IN	as
a	DT	a
Muslim	JJ	Muslim
woman	NN	woman
.	SENT	.
I	PP	I
experience	VBP	experience
this	DT	this
all	PDT	all
the	DT	the
time	NN	time
,	,	,
where	WRB	where
,	,	,
you	PP	you
know	VBP	know
,	,	,
people	NNS	people
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
expectations	NNS	expectation
,	,	,
religious	JJ	religious
ones	NNS	one
and	CC	and
cultural	JJ	cultural
ones	NNS	one
,	,	,
but	CC	but
what	WP	what
I	PP	I
love	VBP	love
about	IN	about
this	DT	this
artist	NN	artist
is	VBZ	be
that	IN	that
he	PP	he
'	POS	'
s	NNS	<unknown>
putting	VBG	put
all	PDT	all
this	DT	this
on	IN	on
its	PP$	its
head	NN	head
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
actually	RB	actually
challenging	VBG	challenge
every	DT	every
representation	NN	representation
of	IN	of
Muslim	NP	Muslim
,	,	,
Arabic	NP	Arabic
women	NNS	woman
that	IN	that
there	EX	there
is	VBZ	be
.	SENT	.
Hassan	NP	Hassan
Hajjaj	NP	<unknown>
is	VBZ	be
a	DT	a
child	NN	child
of	IN	of
the	DT	the
diaspora	NN	Diaspora
.	SENT	.
He	PP	he
grew	VBD	grow
up	RP	up
in	IN	in
Morocco	NP	Morocco
amongst	IN	amongst
bright	JJ	bright
logo	NN	logo
goods	NNS	good
,	,	,
you	PP	you
know	VBP	know
,	,	,
counterfeit	JJ	counterfeit
originals	NNS	original
being	VBG	be
sold	VBN	sell
at	IN	at
the	DT	the
souks	NNS	<unknown>
.	SENT	.
So	RB	so
to	TO	to
see	VB	see
those	DT	those
symbols	NNS	symbol
representing	VBG	represent
in	IN	in
his	PP$	his
work	NN	work
a	DT	a
celebration	NN	celebration
of	IN	of
the	DT	the
global	JJ	global
culture	NN	culture
,	,	,
a	DT	a
critic	NN	critic
