Baratunde	NP	Baratunde
Thurston	NP	Thurston
:	:	:
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
with	IN	with
this	DT	this
word	NN	word
,	,	,
citizen	NN	citizen
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
both	CC	both
been	VBN	be
doing	VBG	do
work	NN	work
around	IN	around
tapping	VBG	tap
into	IN	into
the	DT	the
power	NN	power
of	IN	of
the	DT	the
people	NNS	people
,	,	,
the	DT	the
power	NN	power
within	IN	within
people	NNS	people
.	SENT	.
And	CC	and
context	NN	context
for	IN	for
me	PP	me
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
co-creator	NN	co-creator
and	CC	and
producer	NN	producer
and	CC	and
partial	JJ	partial
voice	NN	voice
of	IN	of
this	DT	this
media	NNS	medium
movement	NN	movement
called	VBD	call
How	WRB	how
to	TO	to
Citizen	NP	Citizen
,	,	,
where	WRB	where
we	PP	we
take	VBP	take
citizen	NN	citizen
to	TO	to
be	VB	be
a	DT	a
verb	NN	verb
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
you	PP	you
do	VBP	do
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
four	CD	four
basic	JJ	basic
principles	NNS	principle
behind	IN	behind
it	PP	it
.	SENT	.
To	TO	to
citizen	NN	citizen
is	VBZ	be
to	TO	to
show	VB	show
up	RP	up
and	CC	and
assume	VB	assume
you	PP	you
have	VBP	have
a	DT	a
role	NN	role
to	TO	to
play	VB	play
.	SENT	.
To	TO	to
citizen	NN	citizen
is	VBZ	be
to	TO	to
understand	VB	understand
power	NN	power
and	CC	and
be	VB	be
literate	JJ	literate
in	IN	in
it	PP	it
,	,	,
as	IN	as
Eric	NP	Eric
Liu	NP	Liu
would	MD	would
say	VB	say
.	SENT	.
To	TO	to
citizen	NN	citizen
is	VBZ	be
to	TO	to
commit	VB	commit
to	TO	to
the	DT	the
collective	JJ	collective
self	NN	self
,	,	,
not	RB	not
just	RB	just
the	DT	the
individual	JJ	individual
self	NN	self
and	CC	and
thus	RB	thus
we	PP	we
can	MD	can
still	RB	still
be	VB	be
selfish	JJ	selfish
.	SENT	.
We	PP	we
just	RB	just
have	VB	have
to	TO	to
expand	VB	expand
the	DT	the
self	NN	self
circle	NN	circle
.	SENT	.
And	CC	and
finally	RB	finally
to	TO	to
citizen	NN	citizen
is	VBZ	be
to	TO	to
invest	VB	invest
in	IN	in
relationships	NNS	relationship
,	,	,
with	IN	with
yourself	PP	yourself
,	,	,
with	IN	with
others	NNS	other
and	CC	and
with	IN	with
the	DT	the
planet	NN	planet
around	IN	around
us	PP	us
,	,	,
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
separation	NN	separation
among	IN	among
all	PDT	all
those	DT	those
things	NNS	thing
.	SENT	.
And	CC	and
for	IN	for
us	PP	us
and	CC	and
for	IN	for
me	PP	me
,	,	,
this	DT	this
was	VBD	be
born	VBN	bear
in	IN	in
part	NN	part
out	RP	out
of	IN	of
a	DT	a
lack	NN	lack
of	IN	of
invitation	NN	invitation
to	TO	to
do	VB	do
more	JJR	more
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
people	NNS	people
,	,	,
give	VB	give
me	PP	me
your	PP$	your
money	NN	money
,	,	,
vote	NN	vote
for	IN	for
me	PP	me
