Back	RB	back
in	IN	in
2018	CD	@card@
,	,	,
I	PP	I
was	VBD	be
visiting	VBG	visit
the	DT	the
city	NN	city
of	IN	of
Nusaybin	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
close	JJ	close
to	TO	to
the	DT	the
border	NN	border
of	IN	of
Syria	NP	Syria
,	,	,
almost	RB	almost
on	IN	on
the	DT	the
border	NN	border
.	SENT	.
And	CC	and
this	DT	this
city	NN	city
has	VBZ	have
been	VBN	be
the	DT	the
center	NN	center
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
conflicts	NNS	conflict
between	IN	between
the	DT	the
Turkish	JJ	Turkish
government	NN	government
and	CC	and
the	DT	the
Kurdish	JJ	Kurdish
militia	NN	militia
in	IN	in
north	JJ	north
Syria	NP	Syria
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
visiting	VBG	visit
that	DT	that
area	NN	area
and	CC	and
suddenly	RB	suddenly
,	,	,
like	IN	like
50	CD	@card@
children	NNS	child
,	,	,
they	PP	they
gathered	VBD	gather
,	,	,
and	CC	and
they	PP	they
saw	VBD	see
me	PP	me
and	CC	and
they	PP	they
want	VBP	want
to	TO	to
talk	VB	talk
English	JJ	English
.	SENT	.
So	RB	so
I	PP	I
asked	VBD	ask
them	PP	them
one	CD	one
by	IN	by
one	CD	one
to	TO	to
sing	VB	sing
a	DT	a
song	NN	song
,	,	,
and	CC	and
I	PP	I
started	VBD	start
recording	VBG	record
it	PP	it
.	SENT	.
And	CC	and
at	IN	at
first	RB	first
they	PP	they
were	VBD	be
very	RB	very
shy	JJ	shy
and	CC	and
just	RB	just
hesitating	VBG	hesitate
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
was	VBD	be
a	DT	a
fight	NN	fight
over	IN	over
who	WP	who
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
sing	VB	sing
.	SENT	.
And	CC	and
this	DT	this
got	VBD	get
to	TO	to
a	DT	a
moment	NN	moment
that	IN	that
there	EX	there
were	VBD	be
like	JJ	like
,	,	,
literally	RB	literally
tanks	NNS	tank
roaming	VBG	roam
around	RP	around
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
So	RB	so
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
in	IN	in
the	DT	the
car	NN	car
because	IN	because
I	PP	I
'	POS	'
m	NN	m
an	DT	an
American	JJ	American
citizen	NN	citizen
and	CC	and
that	WDT	that
could	MD	could
create	VB	create
a	DT	a
lot	NN	lot
of	IN	of
issues	NNS	issue
.	SENT	.
And	CC	and
while	IN	while
we	PP	we
were	VBD	be
driving	VBG	drive
away	RB	away
,	,	,
I	PP	I
remember	VBP	remember
like	IN	like
100	CD	@card@
children	NNS	child
were	VBD	be
running	VBG	run
after	IN	after
the	DT	the
car	NN	car
,	,	,
and	CC	and
they	PP	they
were	VBD	be
just	RB	just
saying	VBG	say
,	,	,
the	DT	the
one	CD	one
next	JJ	next
to	TO	to
the	DT	the
window	NN	window
was	VBD	be
shouting	VBG	shout
,	,	,
"	''	"
One	CD	one
more	JJR	more
song	NN	song
,	,	,
one	CD	one
more	JJR	more
song	NN	song
.	SENT	.
"	``	"
So	RB	so
I	PP	I
realized	VBD	realize
that	IN	that
I	NP	I
'	POS	'
m	NN	m
blessed	VBN	bless
in	IN	in
the	DT	the
West	NN	west
with	IN	with
all	PDT	all
these	DT	these
beautiful	JJ	beautiful
friends	NNS	friend
and	CC	and
connections	NNS	connection
and	CC	and
the	DT	the
work	NN	work
that	IN	that
I	NP	I
'	POS	'
m	NN	m
doing	VBG	do
.	SENT	.
But	CC	but
it	PP	it
seems	VBZ	seem
like	IN	like
this	DT	this
place	NN	place
needs	VBZ	need
me	PP	me
more	JJR	more
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Sahba	NP	<unknown>
Aminikia	NP	Aminikia
,	,	,
and	CC	and
I	PP	I
am	VBP	be
an	DT	an
Iranian-American	NP	Iranian-American
composer	NN	composer
.	SENT	.
I	PP	I
