Hawa	NP	Hawa
Abdi	NP	Abdi
:	:	:
Many	JJ	many
people	NNS	people
â	NP	<unknown>
20	CD	@card@
years	NNS	year
for	IN	for
Somalia	NP	Somalia
â	NP	<unknown>
[	SYM	[
were	VBD	be
]	SYM	]
fighting	VBG	fight
.	SENT	.
So	RB	so
there	EX	there
was	VBD	be
no	DT	no
job	NN	job
,	,	,
no	DT	no
food	NN	food
.	SENT	.
Children	NNS	child
,	,	,
most	JJS	most
of	IN	of
them	PP	them
,	,	,
became	VBD	become
very	RB	very
malnourished	JJ	malnourished
,	,	,
like	IN	like
this	DT	this
.	SENT	.
Deqo	NP	<unknown>
Mohamed	NP	Mohamed
:	:	:
So	RB	so
as	IN	as
you	PP	you
know	VBP	know
,	,	,
always	RB	always
in	IN	in
a	DT	a
civil	JJ	civil
war	NN	war
,	,	,
the	DT	the
ones	NNS	one
affected	VBD	affect
most	RBS	most
[	SYM	[
are	VBP	be
]	SYM	]
the	DT	the
women	NNS	woman
and	CC	and
children	NNS	child
.	SENT	.
So	IN	so
our	PP$	our
patients	NNS	patient
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
in	IN	in
our	PP$	our
backyard	NN	backyard
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
home	NN	home
.	SENT	.
We	PP	we
welcome	VBP	welcome
them	PP	them
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
camp	NN	camp
that	IN	that
we	PP	we
have	VBP	have
in	IN	in
now	RB	now
90	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
,	,	,
where	WRB	where
75	CD	@card@
percent	NN	percent
of	IN	of
them	PP	them
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
.	SENT	.
Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
And	CC	and
this	DT	this
is	VBZ	be
your	PP$	your
hospital	NN	hospital
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
inside	NN	inside
.	SENT	.
HA	NP	ha
:	:	:
We	PP	we
are	VBP	be
doing	VBG	do
C-sections	NNS	C-section
and	CC	and
different	JJ	different
operations	NNS	operation
because	IN	because
people	NNS	people
need	VBP	need
some	DT	some
help	NN	help
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
government	NN	government
to	TO	to
protect	VB	protect
them	PP	them
.	SENT	.
DM	NP	DM
:	:	:
Every	DT	every
morning	NN	morning
we	PP	we
have	VBP	have
about	RB	about
400	CD	@card@
patients	NNS	patient
,	,	,
maybe	RB	maybe
more	JJR	more
or	CC	or
less	JJR	less
.	SENT	.
But	CC	but
sometimes	RB	sometimes
we	PP	we
are	VBP	be
only	RB	only
five	CD	five
doctors	NNS	doctor
and	CC	and
16	CD	@card@
nurses	NNS	nurse
,	,	,
and	CC	and
we	PP	we
are	VBP	be
physically	RB	physically
getting	VBG	get
exhausted	VBN	exhaust
to	TO	to
see	VB	see
all	DT	all
of	IN	of
them	PP	them
.	SENT	.
But	CC	but
we	PP	we
take	VBP	take
the	DT	the
severe	JJ	severe
ones	NNS	one
,	,	,
and	CC	and
we	PP	we
reschedule	VBP	reschedule
the	DT	the
other	JJ	other
ones	NNS	one
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
It	PP	it
is	VBZ	be
very	RB	very
tough	JJ	tough
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
women	NNS	woman
who	WP	who
are	VBP	be
carrying	VBG	carry
the	DT	the
children	NNS	child
;	:	;
it	PP	it
'	POS	'
s	NN	S
the	DT	the
women	NNS	woman
who	WP	who
come	VBP	come
into	IN	into
the	DT	the
hospitals	NNS	hospital
;	:	;
it	PP	it
'	POS	'
s	NN	S
the	DT	the
women	NNS	woman
[	SYM	[
are	VBP	be
]	SYM	]
building	VBG	build
the	DT	the
houses	NNS	house
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
their	PP$	their
house	NN	house
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
school	NN	school
.	SENT	.
This	DT	this
is	VBZ	be
