Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
You	PP	you
have	VBP	have
brought	VBN	bring
us	PP	us
images	NNS	image
from	IN	from
the	DT	the
Yemen	NP	Yemen
Times	NP	Times
.	SENT	.
And	CC	and
take	VB	take
us	PP	us
through	IN	through
those	DT	those
,	,	,
and	CC	and
introduce	VB	introduce
us	PP	us
to	TO	to
another	DT	another
Yemen	NP	Yemen
.	SENT	.
Nadia	NP	Nadia
Al-Sakkaf	NP	<unknown>
:	:	:
Well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
glad	JJ	glad
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
share	VB	share
with	IN	with
you	PP	you
all	PDT	all
some	DT	some
of	IN	of
the	DT	the
pictures	NNS	picture
that	WDT	that
are	VBP	be
happening	VBG	happen
today	NN	today
in	IN	in
Yemen	NP	Yemen
.	SENT	.
This	DT	this
picture	NN	picture
shows	VBZ	show
a	DT	a
revolution	NN	revolution
started	VBD	start
by	IN	by
women	NNS	woman
,	,	,
and	CC	and
it	PP	it
shows	VBZ	show
women	NNS	woman
and	CC	and
men	NNS	man
leading	VBG	lead
a	DT	a
mixed	JJ	mixed
protest	NN	protest
.	SENT	.
The	DT	the
other	JJ	other
picture	NN	picture
is	VBZ	be
the	DT	the
popularity	NN	popularity
of	IN	of
the	DT	the
real	JJ	real
need	NN	need
for	IN	for
change	NN	change
.	SENT	.
So	IN	so
many	JJ	many
people	NNS	people
are	VBP	be
there	RB	there
.	SENT	.
The	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
upspring	NN	upspring
.	SENT	.
This	DT	this
picture	NN	picture
shows	VBZ	show
that	IN	that
the	DT	the
revolution	NN	revolution
has	VBZ	have
allowed	VBN	allow
opportunities	NNS	opportunity
for	IN	for
training	NN	training
,	,	,
for	IN	for
education	NN	education
.	SENT	.
These	DT	these
women	NNS	woman
are	VBP	be
learning	VBG	learn
about	IN	about
first	JJ	first
aid	NN	aid
and	CC	and
their	PP$	their
rights	NNS	right
according	VBG	accord
to	TO	to
the	DT	the
constitution	NN	constitution
.	SENT	.
I	PP	I
love	VBP	love
this	DT	this
picture	NN	picture
.	SENT	.
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
show	VB	show
that	IN	that
over	IN	over
60	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Yemeni	JJ	Yemeni
population	NN	population
are	VBP	be
15	CD	@card@
years	NNS	year
and	CC	and
below	RB	below
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
excluded	VBN	exclude
from	IN	from
decision-making	NN	decision-making
,	,	,
and	CC	and
now	RB	now
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
forefront	NN	forefront
of	IN	of
the	DT	the
news	NN	news
,	,	,
raising	VBG	raise
the	DT	the
flag	NN	flag
.	SENT	.
English	NP	English
—	:	-
you	PP	you
will	MD	will
see	VB	see
,	,	,
this	DT	this
is	VBZ	be
jeans	NNS	jean
and	CC	and
tights	NN	tights
,	,	,
and	CC	and
an	DT	an
English	JJ	English
expression	NN	expression
—	:	-
the	DT	the
ability	NN	ability
to	TO	to
share	NN	share
with	IN	with
the	DT	the
world	NN	world
what	WP	what
is	VBZ	be
going	VBG	go
on	IN	on
in	IN	in
our	PP$	our
own	JJ	own
country	NN	country
.	SENT	.
And	CC	and
expression	NN	expression
also	RB	also
,	,	,
it	PP	it
has	VBZ	have
brought	VBN	bring
talents	NNS	talent
.	SENT	.
Yemenis	NNS	Yemeni
are	VBP	be
using	VBG	use
cartoons	NNS	cartoon
and	CC	and
art	NN	art
,	,	,
paintings	NNS	painting
,	,	,
comics	NNS	comic
,	,	,
to	TO	to
tell	VB	tell
the	DT	the
world	NN	world
and	CC	and
each	DT	each
other	JJ	other
about	IN	about
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
Obviously	RB	obviously
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
the	DT	the
dark	JJ	dark
side	NN	side
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
just	RB	just
one	CD	one
of	IN	of
the	DT	the
less-gruesome	JJ	less-gruesome
pictures	NNS	picture
of	IN	of
the	DT	the
revolution	NN	revolution
and	CC	and
the	DT	the
cost	NN	cost
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
pay	VB	pay
.	SENT	.
The	DT	the
solidarity	NN	solidarity
of	IN	of
millions	NNS	million
of	IN	of
Yemenis	NNS	Yemeni
across	IN	across
the	DT	the
country	NN	country
just	RB	just
demanding	VBG	demand
the	DT	the
one	CD	one
thing	NN	thing
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
lots	NNS	lot
of	IN	of
people	NNS	people
are	VBP	be
saying	VBG	say
that	IN	that
Yemen	NP	Yemen
'	POS	'
s	NN	S
revolution	NN	revolution
is	VBZ	be
going	VBG	go
to	TO	to
break	VB	break
the	DT	the
country	NN	country
.	SENT	.
Is	VBZ	be
it	PP	it
going	VBG	go
to	TO	to
be	VB	be
so	RB	so
many	JJ	many
different	JJ	different
countries	NNS	country
?	SENT	?
Is	VBZ	be
it	PP	it
going	VBG	go
to	TO	to
be	VB	be
another	DT	another
Somalia	NN	Somalia
?	SENT	?
But	CC	but
we	PP	we
want	VBP	want
to	TO	to
tell	VB	tell
the	DT	the
world	NN	world
that	IN	that
,	,	,
no	RB	no
,	,	,
under	IN	under
the	DT	the
one	CD	one
flag	NN	flag
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
still	RB	still
remain	VBP	remain
as	IN	as
Yemeni	JJ	Yemeni
people	NNS	people
.	SENT	.
PM	NN	pm
:	:	:
Thank	VB	thank
you	PP	you
for	IN	for
those	DT	those
images	NNS	image
,	,	,
Nadia	NP	Nadia
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
,	,	,
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
tell	VBP	tell
a	DT	a
different	JJ	different
story	NN	story
than	IN	than
the	DT	the
story	NN	story
of	IN	of
Yemen	NP	Yemen
,	,	,
the	DT	the
one	CD	one
that	WDT	that
is	VBZ	be
often	RB	often
in	IN	in
the	DT	the
news	NN	news
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
you	PP	you
yourself	PP	yourself
defy	VBP	defy
all	PDT	all
those	DT	those
characterizations	NNS	characterization
.	SENT	.
So	IN	so
let	NN	let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
the	DT	the
personal	JJ	personal
story	NN	story
for	IN	for
a	DT	a
moment	NN	moment
.	SENT	.
Your	PP$	your
father	NN	father
is	VBZ	be
murdered	VBN	murder
.	SENT	.
The	DT	the
Yemen	NP	Yemen
Times	NP	Times
already	RB	already
has	VBZ	have
a	DT	a
strong	JJ	strong
reputation	NN	reputation
in	IN	in
Yemen	NP	Yemen
as	IN	as
an	DT	an
independent	JJ	independent
English	JJ	English
language	NN	language
newspaper	NN	newspaper
.	SENT	.
How	WRB	how
did	VBD	do
you	PP	you
then	RB	then
make	VBP	make
the	DT	the
decision	NN	decision
and	CC	and
assume	VB	assume
the	DT	the
responsibilities	NNS	responsibility
of	IN	of
running	VBG	run
a	DT	a
newspaper	NN	newspaper
,	,	,
especially	RB	especially
in	IN	in
such	JJ	such
times	NNS	time
of	IN	of
conflict	NN	conflict
?	SENT	?
NA	TO	na
:	:	:
Well	UH	well
,	,	,
let	VB	let
me	PP	me
first	RB	first
