Kat	NP	Kat
Craig	NP	Craig
:	:	:
Tamana	NP	Tamana
,	,	,
welcome	JJ	welcome
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
wonderful	JJ	wonderful
to	TO	to
have	VB	have
you	PP	you
here	RB	here
today	NN	today
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
joining	VBG	join
us	PP	us
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
talking	VBG	talk
about	IN	about
your	PP$	your
directorial	JJ	directorial
feature	NN	feature
debut	NN	debut
"	''	"
In	IN	in
Her	PP$	her
Hands	NP	Hands
.	SENT	.
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	VB	wait
to	TO	to
hear	VB	hear
all	DT	all
about	IN	about
that	DT	that
process	NN	process
of	IN	of
making	VBG	make
such	PDT	such
a	DT	a
beautiful	JJ	beautiful
film	NN	film
.	SENT	.
But	CC	but
before	IN	before
we	PP	we
start	VBP	start
,	,	,
can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
what	WP	what
it	PP	it
was	VBD	be
like	IN	like
when	WRB	when
you	PP	you
were	VBD	be
younger	JJR	young
in	IN	in
Afghanistan	NP	Afghanistan
,	,	,
what	WP	what
it	PP	it
was	VBD	be
like	IN	like
growing	VBG	grow
up	RP	up
?	SENT	?
Tamana	NP	Tamana
Ayazi	NP	<unknown>
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
lovely	JJ	lovely
to	TO	to
be	VB	be
here	RB	here
with	IN	with
you	PP	you
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
good	JJ	good
memories	NNS	memory
I	PP	I
have	VBP	have
from	IN	from
my	PP$	my
childhood	NN	childhood
[	SYM	[
are	VBP	be
]	SYM	]
being	VBG	be
able	JJ	able
to	TO	to
play	VB	play
soccer	NN	soccer
on	IN	on
the	DT	the
street	NN	street
with	IN	with
boys	NNS	boy
,	,	,
with	IN	with
my	PP$	my
friends	NNS	friend
.	SENT	.
And	CC	and
also	RB	also
I	PP	I
used	VBD	use
to	TO	to
have	VB	have
a	DT	a
bike	NN	bike
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
