Every	DT	every
dog	NN	dog
training	NN	training
book	NN	book
holds	VBZ	hold
out	RP	out
the	DT	the
premise	NN	premise
of	IN	of
the	DT	the
perfect	JJ	perfect
puppy	NN	puppy
or	CC	or
ten	CD	ten
ways	NNS	way
to	TO	to
assure	VB	assure
a	DT	a
good	JJ	good
dog	NN	dog
.	SENT	.
But	CC	but
science	NN	science
tells	VBZ	tell
us	PP	us
that	IN	that
this	DT	this
is	VBZ	be
all	RB	all
wrong	JJ	wrong
.	SENT	.
Your	PP$	your
dog	NN	dog
'	POS	'
s	NN	S
misbehavior	NN	misbehavior
is	VBZ	be
telling	VBG	tell
you	PP	you
one	CD	one
thing	NN	thing
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
they	PP	they
'	''	'
re	IN	re
a	DT	a
bad	JJ	bad
dog	NN	dog
.	SENT	.
What	WP	what
it	PP	it
'	POS	'
s	NN	S
telling	VBG	tell
you	PP	you
is	VBZ	be
how	WRB	how
they	PP	they
experience	VBP	experience
the	DT	the
world	NN	world
differently	RB	differently
from	IN	from
you	PP	you
.	SENT	.
Understanding	VBG	understand
this	DT	this
is	VBZ	be
the	DT	the
key	NN	key
to	TO	to
raising	VBG	raise
a	DT	a
happy	JJ	happy
dog	NN	dog
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
two	CD	two
points	NNS	point
to	TO	to
clarify	VB	clarify
what	WP	what
misbehaviors	NNS	misbehavior
actually	RB	actually
are	VBP	be
.	SENT	.
The	DT	the
first	JJ	first
,	,	,
misbehavior	NN	misbehavior
isn	NN	isn
'	POS	'
t	NN	t
misbehavior	NN	misbehavior
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
communication	NN	communication
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
information	NN	information
gathering	NN	gathering
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
surprise	NN	surprise
,	,	,
it	PP	it
'	POS	'
s	NN	S
excitement	NN	excitement
,	,	,
sometimes	RB	sometimes
it	PP	it
'	POS	'
s	NN	S
boredom	NN	boredom
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
glimpse	NN	glimpse
into	IN	into
the	DT	the
stage	NN	stage
of	IN	of
life	NN	life
they	PP	they
'	POS	'
re	NN	re
in	IN	in
