Hi	UH	hi
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
question	NN	question
for	IN	for
you	PP	you
:	:	:
how	WRB	how
many	JJ	many
people	NNS	people
here	RB	here
would	MD	would
say	VB	say
they	PP	they
can	MD	can
draw	VB	draw
?	SENT	?
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
got	VBD	get
about	IN	about
one	CD	one
or	CC	or
two	CD	two
percent	NN	percent
of	IN	of
the	DT	the
hands	NNS	hand
going	VBG	go
up	RP	up
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
people	NNS	people
think	VBP	think
of	IN	of
spelling	VBG	spell
or	CC	or
singing	VBG	sing
.	SENT	.
They	PP	they
think	VBP	think
,	,	,
"	``	"
You	PP	you
can	MD	can
either	RB	either
do	VB	do
it	PP	it
,	,	,
or	CC	or
you	PP	you
can	MD	can
'	''	'
t	NN	t
.	SENT	.
"	``	"
But	CC	but
I	PP	I
think	VBP	think
you	PP	you
can	MD	can
.	SENT	.
Because	IN	because
when	WRB	when
people	NNS	people
say	VBP	say
they	PP	they
can	MD	can
'	''	'
t	NN	t
draw	NN	draw
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
more	RBR	more
to	TO	to
do	VB	do
with	IN	with
beliefs	NNS	belief
rather	RB	rather
than	IN	than
talent	NN	talent
and	CC	and
ability	NN	ability
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
when	WRB	when
you	PP	you
say	VBP	say
you	PP	you
can	MD	can
'	''	'
t	NN	t
draw	NN	draw
,	,	,
that	WDT	that
'	POS	'
s	NN	S
just	RB	just
an	DT	an
illusion	NN	illusion
,	,	,
and	CC	and
today	RB	today
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
prove	VB	prove
that	IN	that
to	TO	to
you	PP	you
.	SENT	.
When	WRB	when
I	PP	I
say	VBP	say
"	``	"
draw	NN	draw
"	''	"
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
we	PP	we
'	POS	'
re	NN	re
all	RB	all
going	VBG	go
to	TO	to
draw	VB	draw
like	IN	like
Michelangelo	NP	Michelangelo
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
painting	VBG	paint
the	DT	the
Sistine	NP	Sistine
Chapel	NP	Chapel
'	POS	'
s	NN	S
ceiling	NN	ceiling
.	SENT	.
But	CC	but
would	MD	would
you	PP	you
be	VB	be
happy	JJ	happy
if	IN	if
,	,	,
by	IN	by
the	DT	the
end	NN	end
of	IN	of
this	DT	this
session	NN	session
,	,	,
you	PP	you
could	MD	could
draw	VB	draw
pictures	NNS	picture
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
this	DT	this
?	SENT	?
Oh	UH	oh
,	,	,
yes	UH	yes
!	SENT	!
Or	CC	or
even	RB	even
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
this	DT	this
?	SENT	?
Actually	RB	actually
,	,	,
there	EX	there
are	VBP	be
only	RB	only
two	CD	two
things	NNS	thing
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
achieve	VB	achieve
this	DT	this
.	SENT	.
One	PP	one
is	VBZ	be
have	VB	have
an	DT	an
open	JJ	open
mind	NN	mind
.	SENT	.
Are	VBP	be
you	PP	you
up	RP	up
for	IN	for
that	DT	that
?	SENT	?
Yes	UH	yes
!	SENT	!
And	CC	and
two	CD	two
,	,	,
just	RB	just
be	VB	be
prepared	VBN	prepare
to	TO	to
have	VB	have
a	DT	a
go	NN	go
.	SENT	.
So	RB	so
grab	VB	grab
a	DT	a
pen	NN	pen
and	CC	and
a	DT	a
piece	NN	piece
of	IN	of
paper	NN	paper
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
here	RB	here
'	''	'
s	NN	S
how	WRB	how
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
work	VB	work
:	:	:
I—ll	NN	<unknown>
show	VB	show
you	PP	you
the	DT	the
first	JJ	first
cartoon	NN	cartoon
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
,	,	,
so	RB	so
just	RB	just
watch	VB	watch
to	TO	to
begin	VB	begin
with	IN	with
.	SENT	.
Here	RB	here
we	PP	we
go	VBP	go
.	SENT	.
Just	RB	just
watching	VBG	watch
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
our	PP$	our
first	JJ	first
cartoon	NN	cartoon
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
character	NN	character
called	VBN	call
Spike	NP	Spike
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
draw	VB	draw
along	RP	along
with	IN	with
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
draw	VBP	draw
