Hello	UH	hello
.	SENT	.
Let	VB	let
me	PP	me
start	VB	start
by	IN	by
showing	VBG	show
you	PP	you
a	DT	a
construction	NN	construction
site	NN	site
in	IN	in
my	PP$	my
home	NN	home
city	NN	city
of	IN	of
Oslo	NP	Oslo
.	SENT	.
Did	VBD	do
you	PP	you
hear	VBP	hear
something	NN	something
unusual	JJ	unusual
?	SENT	?
Indeed	RB	indeed
,	,	,
the	DT	the
noise	NN	noise
.	SENT	.
The	DT	the
noise	NN	noise
you	PP	you
hear	VBP	hear
was	VBD	be
from	IN	from
the	DT	the
kindergarten	NN	kindergarten
nearby	RB	nearby
,	,	,
not	RB	not
from	IN	from
the	DT	the
machine	NN	machine
noise	NN	noise
.	SENT	.
The	DT	the
machines	NNS	machine
were	VBD	be
electric	JJ	electric
,	,	,
and	CC	and
so	RB	so
were	VBD	be
the	DT	the
trucks	NNS	truck
that	WDT	that
transport	VBP	transport
materials	NNS	material
to	TO	to
and	CC	and
from	IN	from
the	DT	the
site	NN	site
.	SENT	.
As	IN	as
head	NN	head
of	IN	of
the	DT	the
climate	NN	climate
agency	NN	agency
in	IN	in
Oslo	NP	Oslo
,	,	,
the	DT	the
Klosterenga	NP	<unknown>
construction	NN	construction
site	NN	site
is	VBZ	be
a	DT	a
climate	NN	climate
measure	VB	measure
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
about	RB	about
.	SENT	.
The	DT	the
workers	NNS	worker
here	RB	here
are	VBP	be
opening	VBG	open
a	DT	a
stream	NN	stream
that	WDT	that
has	VBZ	have
been	VBN	be
confined	VBN	confine
in	IN	in
pipelines	NNS	pipeline
for	IN	for
more	JJR	more
than	IN	than
120	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
as	IN	as
climate	NN	climate
changes	NNS	change
in	IN	in
Oslo	NN	Oslo
,	,	,
we	PP	we
are	VBP	be
likely	JJ	likely
to	TO	to
experience	VB	experience
more	RBR	more
heavy	JJ	heavy
rain	NN	rain
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
to	TO	to
improve	VB	improve
our	PP$	our
storm	NN	storm
water	NN	water
runoff	NN	runoff
system	NN	system
,	,	,
and	CC	and
opening	NN	opening
creeks	NNS	creek
and	CC	and
rivers	NNS	river
will	MD	will
help	VB	help
the	DT	the
city	NN	city
to	TO	to
become	VB	become
more	RBR	more
resilient	JJ	resilient
and	CC	and
avoid	VB	avoid
flooding	NN	flooding
,	,	,
as	RB	as
well	RB	well
as	IN	as
creating	VBG	create
nicer	JJR	nice
areas	NNS	area
and	CC	and
contributing	VBG	contribute
to	TO	to
biodiversity	NN	biodiversity
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
Klosterenga	NP	<unknown>
is	VBZ	be
close	JJ	close
to	TO	to
being	VBG	be
a	DT	a
zero-emission	NN	zero-emission
construction	NN	construction
site	NN	site
run	VBN	run
by	IN	by
the	DT	the
city	NN	city
of	IN	of
Oslo	NP	Oslo
.	SENT	.
And	CC	and
running	VBG	run
zero-emission	NN	zero-emission
sites	NNS	site
is	VBZ	be
just	RB	just
one	CD	one
example	NN	example
of	IN	of
the	DT	the
Oslo	NP	Oslo
climate	NN	climate
strategy	NN	strategy
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
downtown	JJ	downtown
of	IN	of
Oslo	NP	Oslo
looked	VBD	look
when	WRB	when
I	PP	I
moved	VBD	move
to	TO	to
Oslo	NP	Oslo
in	IN	in
1989	CD	@card@
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
same	JJ	same
area	NN	area
today	NN	today
.	SENT	.
Oslo	NP	Oslo
'	POS	'
s	JJ	<unknown>
climate	NN	climate
measures	NNS	measure
have	VBP	have
given	VBN	give
the	DT	the
city	NN	city
cleaner	JJR	clean
air	NN	air
,	,	,
less	JJR	less
noise	NN	noise
,	,	,
safer	JJR	safe
and	CC	and
more	JJR	more
human-centered	JJ	<unknown>
streets	NNS	street
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
measures	NNS	measure
were	VBD	be
controversial	JJ	controversial
when	WRB	when
first	RB	first
introduced	VBN	introduce
,	,	,
but	CC	but
now	RB	now
a	DT	a
majority	NN	majority
of	IN	of
the	DT	the
population	NN	population
thinks	VBZ	think
--	:	--
even	RB	even
those	DT	those
who	WP	who
are	VBP	be
not	RB	not
that	RB	that
concerned	VBN	concern
about	IN	about
climate	NN	climate
change	NN	change
--	:	--
think	VBP	think
that	IN	that
we	PP	we
are	VBP	be
creating	VBG	create
a	DT	a
better	JJR	good
city	NN	city
.	SENT	.
For	IN	for
too	RB	too
long	JJ	long
,	,	,
discussions	NNS	discussion
about	IN	about
climate	NN	climate
change	NN	change
have	VBP	have
been	VBN	be
about	IN	about
sacrifice	NN	sacrifice
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
climate	NN	climate
solutions	NNS	solution
actually	RB	actually
make	VBP	make
a	DT	a
better	JJR	good
city	NN	city
and	CC	and
a	DT	a
better	JJR	good
quality	NN	quality
of	IN	of
life	NN	life
for	IN	for
everyone	NN	everyone
.	SENT	.
This	DT	this
is	VBZ	be
only	RB	only
the	DT	the
first	JJ	first
of	IN	of
five	CD	five
lessons	NNS	lesson
we	PP	we
have	VBP	have
learned	VBN	learn
on	IN	on
our	PP$	our
journey	NN	journey
to	TO	to
become	VB	become
an	DT	an
emission-free	JJ	<unknown>
city	NN	city
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
these	DT	these
lessons	NNS	lesson
can	MD	can
be	VB	be
applied	VBN	apply
almost	RB	almost
anywhere	RB	anywhere
.	SENT	.
So	RB	so
I	PP	I
like	VBP	like
to	TO	to
share	VB	share
them	PP	them
.	SENT	.
So	IN	so
lesson	NN	lesson
number	NN	number
one	CD	one
,	,	,
confronting	VBG	confront
climate	NN	climate
change	NN	change
is	VBZ	be
about	RB	about
creating	VBG	create
better	JJR	good
cities	NNS	city
