Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
So	RB	so
I	PP	I
was	VBD	be
thinking	VBG	think
about	IN	about
female	JJ	female
friendship	NN	friendship
a	DT	a
lot	NN	lot
,	,	,
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
these	DT	these
two	CD	two
women	NNS	woman
,	,	,
I	PP	I
'	POS	'
m	NN	m
very	RB	very
honored	VBN	honor
to	TO	to
say	VB	say
,	,	,
have	VBP	have
been	VBN	be
my	PP$	my
friends	NNS	friend
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
,	,	,
too	RB	too
.	SENT	.
Jane	NP	Jane
Fonda	NP	Fonda
:	:	:
Yes	UH	yes
we	PP	we
have	VBP	have
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
read	VBP	read
about	RB	about
female	JJ	female
friendship	NN	friendship
is	VBZ	be
something	NN	something
that	IN	that
Cervantes	NP	Cervantes
said	VBD	say
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
can	MD	can
tell	VB	tell
a	DT	a
lot	NN	lot
about	IN	about
someone	NN	someone
,	,	,
"	''	"
in	IN	in
this	DT	this
case	NN	case
a	DT	a
woman	NN	woman
,	,	,
"	''	"
by	IN	by
the	DT	the
company	NN	company
that	IN	that
she	PP	she
keeps	VBZ	keep
.	SENT	.
"	``	"
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
with	IN	with
—	:	-
JF	NP	JF
:	:	:
We	PP	we
'	POS	'
re	NN	re
in	IN	in
big	JJ	big
trouble	NN	trouble
.	SENT	.
Lily	NP	Lily
Tomlin	NP	Tomlin
:	:	:
Hand	VB	hand
me	PP	me
one	CD	one
of	IN	of
those	DT	those
waters	NNS	water
,	,	,
I	PP	I
'	POS	'
m	NN	m
extremely	RB	extremely
dry	JJ	dry
.	SENT	.
JF	NN	JF
:	:	:
You	PP	you
'	POS	'
re	NN	re
taking	VBG	take
up	RP	up
our	PP$	our
time	NN	time
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
very	RB	very
limited	JJ	limited
—	:	-
LT	NP	Lt
:	:	:
Just	RB	just
being	VBG	be
with	IN	with
her	PP	her
sucks	VBZ	suck
the	DT	the
life	NN	life
out	RP	out
of	IN	of
me	PP	me
.	SENT	.
JF	NN	JF
:	:	:
You	PP	you
ain	NN	ain
'	POS	'
t	NN	t
seen	VBN	see
nothing	NN	nothing
yet	RB	yet
.	SENT	.
Anyway	RB	anyway
—	:	-
sorry	JJ	sorry
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
tell	VB	tell
me	PP	me
,	,	,
what	WP	what
do	VBP	do
you	PP	you
look	VBP	look
for	IN	for
in	IN	in
a	DT	a
friend	NN	friend
?	SENT	?
LT	NN	LT
:	:	:
I	PP	I
look	VBP	look
for	IN	for
someone	NN	someone
who	WP	who
has	VBZ	have
a	DT	a
sense	NN	sense
of	IN	of
fun	NN	fun
,	,	,
who	WP	who
'	POS	'
s	NNS	<unknown>
audacious	JJ	audacious
,	,	,
who	WP	who
'	POS	'
s	NNS	<unknown>
forthcoming	JJ	forthcoming
,	,	,
who	WP	who
has	VBZ	have
politics	NNS	politics
,	,	,
who	WP	who
has	VBZ	have
even	RB	even
a	DT	a
small	JJ	small
scrap	NN	scrap
of	IN	of
passion	NN	passion
for	IN	for
the	DT	the
planet	NN	planet
,	,	,
someone	NN	someone
who	WP	who
'	POS	'
s	NNS	<unknown>
decent	JJ	decent
,	,	,
has	VBZ	have
a	DT	a
sense	NN	sense
of	IN	of
justice	NN	justice
and	CC	and
who	WP	who
thinks	VBZ	think
I	PP	I
'	''	'
m	NN	m
worthwhile	JJ	worthwhile
.	SENT	.
JF	NN	JF
:	:	:
You	PP	you
know	VBP	know
,	,	,
I	PP	I
was	VBD	be
thinking	VBG	think
this	DT	this
morning	NN	morning
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VBP	know
what	WP	what
I	PP	I
would	MD	would
do	VB	do
without	IN	without
my	PP$	my
women	NNS	woman
friends	NNS	friend
.	SENT	.
I	PP	I
mean	VBP	mean
it	PP	it
'	''	'
s	NN	S
,	,	,
"	``	"
I	PP	I
have	VBP	have
my	PP$	my
friends	NNS	friend
,	,	,
therefore	RB	therefore
I	PP	I
am	VBP	be
.	SENT	.
"	''	"
LT	NP	Lt
:	:	:
JF	NP	JF
:	:	:
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
I	PP	I
exist	VBP	exist
because	IN	because
I	PP	I
have	VBP	have
my	PP$	my
women	NNS	woman
friends	NNS	friend
.	SENT	.
They	PP	they
—	:	-
You	PP	you
'	POS	'
re	NN	re
one	CD	one
of	IN	of
them	PP	them
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
.	SENT	.
But	CC	but
anyway	RB	anyway
—	:	-
You	PP	you
know	VBP	know
,	,	,
they	PP	they
make	VBP	make
me	PP	me
stronger	JJR	strong
,	,	,
they	PP	they
make	VBP	make
me	PP	me
smarter	RBR	smarter
,	,	,
they	PP	they
make	VBP	make
me	PP	me
braver	JJR	brave
.	SENT	.
They	PP	they
tap	VB	tap
me	PP	me
on	IN	on
the	DT	the
shoulder	NN	shoulder
when	WRB	when
I	PP	I
might	MD	might
be	VB	be
in	IN	in
need	NN	need
of	IN	of
course-correcting	NN	<unknown>
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
a	DT	a
good	JJ	good
deal	NN	deal
younger	JJR	young
than	IN	than
me	PP	me
,	,	,
too	RB	too
.	SENT	.
You	PP	you
know	VBP	know
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
nice	JJ	nice
—	:	-
LT	NP	Lt
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
JF	NP	JF
:	:	:
No	UH	no
,	,	,
I	PP	I
do	VBP	do
,	,	,
I	PP	I
include	VBP	include
you	PP	you
in	IN	in
that	IN	that
,	,	,
because	IN	because
listen	NN	listen
,	,	,
you	PP	you
know	VBP	know
—	:	-
it	PP	it
'	POS	'
s	NN	S
nice	JJ	nice
to	TO	to
have	VB	have
somebody	NN	somebody
still	RB	still
around	RB	around
to	TO	to
play	VB	play
with	IN	with
and	CC	and
learn	VB	learn
from	IN	from
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
getting	VBG	get
toward	IN	toward
the	DT	the
end	NN	end
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
approaching	VBG	approach
—	:	-
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
there	RB	there
sooner	RBR	sooner
than	IN	than
you	PP	you
.	SENT	.
LT	NP	Lt
:	:	:
No	UH	no
,	,	,
I	PP	I
'	POS	'
m	NN	m
glad	JJ	glad
to	TO	to
have	VB	have
you	PP	you
parallel	VB	parallel
aging	VBG	age
alongside	IN	alongside
me	PP	me
.	SENT	.
JF	NN	JF
:	:	:
I	PP	I
'	POS	'
m	NN	m
showing	VBG	show
you	PP	you
the	DT	the
way	NN	way
.	SENT	.
LT	NP	Lt
:	:	:
Well	UH	well
,	,	,
you	PP	you
are	VBP	be
and	CC	and
you	PP	you
have	VBP	have
.	SENT	.
PM	NN	pm
:	:	:
Well	RB	well
,	,	,
as	IN	as
we	PP	we
