Who	WP	who
here	RB	here
,	,	,
a	DT	a
year	NN	year
or	CC	or
two	CD	two
ago	RB	ago
,	,	,
thought	VBD	think
that	IN	that
they	PP	they
'	''	'
d	SYM	d
be	VB	be
living	VBG	live
through	IN	through
a	DT	a
global	JJ	global
pandemic	NN	pandemic
?	SENT	?
A	DT	a
new	JJ	new
virus	NN	virus
that	WDT	that
spread	VBD	spread
across	IN	across
the	DT	the
world	NN	world
and	CC	and
killed	VBN	kill
millions	NNS	million
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
scariest	JJS	scary
things	NNS	thing
about	IN	about
this	DT	this
virus	NN	virus
is	VBZ	be
that	IN	that
when	WRB	when
it	PP	it
broke	VBD	break
out	IN	out
we	PP	we
had	VBD	have
next	JJ	next
to	TO	to
no	DT	no
cures	NNS	cure
or	CC	or
treatments	NNS	treatment
to	TO	to
fight	VB	fight
against	IN	against
COVID-19	NP	<unknown>
.	SENT	.
But	CC	but
viruses	NNS	virus
,	,	,
new	JJ	new
and	CC	and
old	JJ	old
,	,	,
aren	NNS	<unknown>
'	POS	'
t	NN	t
our	PP$	our
only	JJ	only
worries	NNS	worry
.	SENT	.
From	IN	from
infectious	JJ	infectious
bacteria	NNS	bacterium
that	WDT	that
have	VBP	have
become	VBN	become
immune	JJ	immune
to	TO	to
our	PP$	our
antibiotics	NNS	antibiotic
to	TO	to
increased	VBN	increase
rates	NNS	rate
of	IN	of
cancers	NNS	cancer
,	,	,
humanity	NN	humanity
is	VBZ	be
struggling	VBG	struggle
to	TO	to
find	VB	find
solutions	NNS	solution
to	TO	to
our	PP$	our
ever-evolving	JJ	<unknown>
medical	JJ	medical
needs	NNS	need
.	SENT	.
To	TO	to
find	VB	find
our	PP$	our
medicines	NNS	medicine
of	IN	of
the	DT	the
future	NN	future
,	,	,
we	PP	we
'	POS	'
re	NN	re
turning	VBG	turn
to	TO	to
Mother	NP	Mother
Nature	NP	Nature
for	IN	for
help	NN	help
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Sam	NP	Sam
Afoullouss	NN	<unknown>
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
an	DT	an
underwater	JJ	underwater
alchemist	NN	alchemist
.	SENT	.
But	CC	but
instead	RB	instead
of	IN	of
turning	VBG	turn
led	VBN	lead
to	TO	to
gold	NN	gold
,	,	,
I	PP	I
'	POS	'
m	NN	m
turning	VBG	turn
Ireland	NP	Ireland
'	POS	'
s	JJ	<unknown>
hidden	JJ	hidden
treasure	NN	treasure
,	,	,
deep-sea	NN	deep-sea
coral	NN	coral
reefs	NNS	reef
,	,	,
into	IN	into
our	PP$	our
medicines	NNS	medicine
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
For	IN	for
thousands	NNS	thousand
of	IN	of
years	NNS	year
,	,	,
we	PP	we
have	VBP	have
turned	VBN	turn
to	TO	to
natural	JJ	natural
remedies	NNS	remedy
made	VBN	make
from	IN	from
the	DT	the
plants	NNS	plant
and	CC	and
animals	NNS	animal
that	WDT	that
surround	VBP	surround
us	PP	us
to	TO	to
cure	VB	cure
us	PP	us
of	IN	of
our	PP$	our
ailments	NNS	ailment
.	SENT	.
Put	VB	put
your	PP$	your
hand	NN	hand
up	RP	up
if	IN	if
,	,	,
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
cold	NN	cold
or	CC	or
a	DT	a
cough	NN	cough
,	,	,
you	PP	you
use	VBP	use
natural	JJ	natural
treatments	NNS	treatment
like	IN	like
honey	NN	honey
or	CC	or
ginger	NN	ginger
to	TO	to
help	VB	help
relieve	VB	relieve
your	PP$	your
symptoms	NNS	symptom
.	SENT	.
Hot	JJ	hot
whiskeys	NNS	whiskey
?	SENT	?
The	DT	the
reason	NN	reason
