Today	NP	Today
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
the	DT	the
problem	NN	problem
of	IN	of
other	JJ	other
minds	NNS	mind
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	RB	about
is	VBZ	be
not	RB	not
the	DT	the
familiar	JJ	familiar
one	CD	one
from	IN	from
philosophy	NN	philosophy
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
"	``	"
How	WRB	how
can	MD	can
we	PP	we
know	VB	know
whether	IN	whether
other	JJ	other
people	NNS	people
have	VBP	have
minds	NNS	mind
?	SENT	?
"	``	"
That	DT	that
is	VBZ	be
,	,	,
maybe	RB	maybe
you	PP	you
have	VBP	have
a	DT	a
mind	NN	mind
,	,	,
and	CC	and
everyone	NN	everyone
else	RB	else
is	VBZ	be
just	RB	just
a	DT	a
really	RB	really
convincing	JJ	convincing
robot	NN	robot
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
problem	NN	problem
in	IN	in
philosophy	NN	philosophy
,	,	,
but	CC	but
for	IN	for
today	NN	today
'	POS	'
s	NN	S
purposes	VBZ	purpose
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
assume	VB	assume
that	IN	that
many	JJ	many
people	NNS	people
in	IN	in
this	DT	this
audience	NN	audience
have	VB	have
a	DT	a
mind	NN	mind
,	,	,
and	CC	and
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
about	IN	about
this	DT	this
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
second	JJ	second
problem	NN	problem
that	WDT	that
is	VBZ	be
maybe	RB	maybe
even	RB	even
more	RBR	more
familiar	JJ	familiar
to	TO	to
us	PP	us
as	IN	as
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
and	CC	and
spouses	NNS	spouse
and	CC	and
novelists	NNS	novelist
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
"	``	"
Why	WRB	why
is	VBZ	be
it	PP	it
so	RB	so
hard	JJ	hard
to	TO	to
know	VB	know
what	WP	what
somebody	NN	somebody
else	RB	else
wants	VBZ	want
or	CC	or
believes	VBZ	believe
?	SENT	?
"	''	"
Or	CC	or
perhaps	RB	perhaps
,	,	,
more	RBR	more
relevantly	RB	relevantly
,	,	,
"	``	"
Why	WRB	why
is	VBZ	be
it	PP	it
so	RB	so
hard	JJ	hard
to	TO	to
change	VB	change
what	WP	what
somebody	NN	somebody
else	RB	else
wants	VBZ	want
or	CC	or
believes	VBZ	believe
?	SENT	?
"	``	"
I	PP	I
think	VBP	think
novelists	NNS	novelist
put	VB	put
this	DT	this
best	JJS	good
.	SENT	.
Like	IN	like
Philip	NP	Philip
Roth	NP	Roth
,	,	,
who	WP	who
said	VBD	say
,	,	,
"	``	"
And	CC	and
yet	RB	yet
,	,	,
what	WP	what
are	VBP	be
we	PP	we
to	TO	to
do	VB	do
about	IN	about
this	DT	this
terribly	RB	terribly
significant	JJ	significant
business	NN	business
of	IN	of
other	JJ	other
people	NNS	people
?	SENT	?
So	RB	so
ill	RB	ill
equipped	VBN	equip
are	VBP	be
we	PP	we
all	RB	all
,	,	,
to	TO	to
envision	VB	envision
one	PP	one
another	DT	another
'	POS	'
s	JJ	<unknown>
interior	JJ	interior
workings	NNS	working
and	CC	and
invisible	JJ	invisible
aims	NNS	aim
.	SENT	.
"	''	"
So	RB	so
as	IN	as
