Now	RB	now
,	,	,
since	IN	since
this	DT	this
is	VBZ	be
TEDGlobal	NP	TEDGlobal
,	,	,
who	WP	who
can	MD	can
tell	VB	tell
me	PP	me
what	WP	what
this	DT	this
is	VBZ	be
called	VBN	call
in	IN	in
French	NP	French
?	SENT	?
I	PP	I
see	VBP	see
you	PP	you
'	''	'
re	IN	re
all	DT	all
up	RB	up
on	IN	on
the	DT	the
history	NN	history
of	IN	of
hurdy-gurdy	NN	hurdy-gurdy
—	:	-
"	``	"
vielle	NP	Vielle
�	NP	<unknown>
roue	NP	<unknown>
.	SENT	.
"	``	"
And	CC	and
in	IN	in
Spanish	JJ	Spanish
,	,	,
"	''	"
zanfona	NN	<unknown>
.	SENT	.
"	''	"
And	CC	and
in	IN	in
Italian	JJ	Italian
,	,	,
"	''	"
ghironda	NP	ghironda
,	,	,
"	``	"
okay	JJ	okay
?	SENT	?
Hurdy-gurdy	NN	hurdy-gurdy
,	,	,
or	CC	or
wheel	NN	wheel
fiddle	NN	fiddle
.	SENT	.
So	RB	so
,	,	,
these	DT	these
are	VBP	be
the	DT	the
different	JJ	different
kinds	NNS	kind
and	CC	and
shapes	NNS	shape
of	IN	of
the	DT	the
hurdy-gurdy	NN	hurdy-gurdy
.	SENT	.
The	DT	the
hurdy-	NN	<unknown>
gurdy	NN	<unknown>
is	VBZ	be
the	DT	the
only	RB	only
musical	JJ	musical
instrument	NN	instrument
that	WDT	that
uses	VBZ	use
a	DT	a
crank	NN	crank
to	TO	to
turn	VB	turn
a	DT	a
wheel	NN	wheel
to	TO	to
rub	VB	rub
strings	NNS	string
,	,	,
like	IN	like
the	DT	the
bow	NN	bow
of	IN	of
a	DT	a
violin	NN	violin
,	,	,
to	TO	to
produce	VB	produce
music	NN	music
.	SENT	.
It	PP	it
has	VBZ	have
three	CD	three
different	JJ	different
kinds	NNS	kind
of	IN	of
strings	NNS	string
.	SENT	.
The	DT	the
first	JJ	first
string	NN	string
is	VBZ	be
the	DT	the
drone	NN	drone
string	NN	string
,	,	,
which	WDT	which
plays	VBZ	play
a	DT	a
continuous	JJ	continuous
sound	NN	sound
like	IN	like
the	DT	the
bagpipe	NN	bagpipe
.	SENT	.
The	DT	the
second	JJ	second
string	NN	string
is	VBZ	be
a	DT	a
melody	NN	melody
string	NN	string
,	,	,
which	WDT	which
is	VBZ	be
played	VBN	play
with	IN	with
a	DT	a
wooden	JJ	wooden
keyboard	NN	keyboard
tuned	VBN	tune
like	IN	like
a	DT	a
piano	NN	piano
.	SENT	.
And	CC	and
the	DT	the
third	JJ	third
string	NN	string
is	VBZ	be
pretty	RB	pretty
innovative	JJ	innovative
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
the	DT	the
only	JJ	only
instrument	NN	instrument
that	WDT	that
uses	VBZ	use
this	DT	this
kind	NN	kind
of	IN	of
technique	NN	technique
.	SENT	.
It	PP	it
activates	VBZ	activate
what	WP	what
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
buzzing	VBG	buzz
bridge	NN	bridge
,	,	,
or	CC	or
the	DT	the
dog	NN	dog
.	SENT	.
When	WRB	when
I	PP	I
turn	VBP	turn
the	DT	the
crank	NN	crank
and	CC	and
I	PP	I
apply	VBP	apply
pressure	NN	pressure
,	,	,
it	PP	it
makes	VBZ	make
a	DT	a
sound	NN	sound
like	IN	like
a	DT	a
barking	VBG	bark
dog	NN	dog
.	SENT	.
So	RB	so
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
pretty	RB	pretty
innovative	JJ	innovative
,	,	,
if	IN	if
you	PP	you
consider	VBP	consider
that	IN	that
the	DT	the
hurdy-gurdy	NN	hurdy-gurdy
appeared	VBD	appear
about	IN	about
a	DT	a
thousand	CD	thousand
years	NNS	year
ago	RB	ago
and	CC	and
it	PP	it
took	VBD	take
two	CD	two
people	NNS	people
to	TO	to
play	VB	play
it	PP	it
;	:	;
one	CD	one
to	TO	to
turn	VB	turn
the	DT	the
crank	NN	crank
,	,	,
and	CC	and
another	DT	another
person	NN	person
—	:	-
yes	UH	yes
—	:	-
to	TO	to
play	VB	play
the	DT	the
melody	NN	melody
by	IN	by
physically	RB	physically
pulling	VBG	pull
up	RP	up
large	JJ	large
wooden	JJ	wooden
pegs	NNS	peg
.	SENT	.
Luckily	RB	luckily
,	,	,
all	DT	all
of	IN	of
this	DT	this
changed	VBN	change
a	DT	a
couple	NN	couple
of	IN	of
centuries	NNS	century
later	RBR	later
.	SENT	.
So	RB	so
,	,	,
one	CD	one
person	NN	person
could	MD	could
actually	RB	actually
