My	PP$	my
mission	NN	mission
in	IN	in
life	NN	life
since	IN	since
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
was	VBD	be
,	,	,
and	CC	and
is	VBZ	be
,	,	,
to	TO	to
take	VB	take
the	DT	the
rest	NN	rest
of	IN	of
you	PP	you
into	IN	into
space	NN	space
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
during	IN	during
our	PP$	our
lifetime	NN	lifetime
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
take	VB	take
the	DT	the
Earth	NN	earth
,	,	,
take	VB	take
the	DT	the
people	NNS	people
of	IN	of
Earth	NN	earth
and	CC	and
transition	NN	transition
off	RB	off
,	,	,
permanently	RB	permanently
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
exciting	JJ	exciting
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
think	VBP	think
it	PP	it
is	VBZ	be
a	DT	a
moral	JJ	moral
imperative	NN	imperative
that	IN	that
we	PP	we
open	VBP	open
the	DT	the
space	NN	space
frontier	NN	frontier
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
time	NN	time
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
chance	NN	chance
to	TO	to
have	VB	have
planetary	JJ	planetary
redundancy	NN	redundancy
,	,	,
a	DT	a
chance	NN	chance
to	TO	to
,	,	,
if	IN	if
you	PP	you
would	MD	would
,	,	,
back	RB	back
up	IN	up
the	DT	the
biosphere	NN	biosphere
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
space	NN	space
,	,	,
everything	NN	everything
we	PP	we
hold	VBP	hold
of	IN	of
value	NN	value
on	IN	on
this	DT	this
planet	NN	planet
—	:	-
metals	NNS	metal
and	CC	and
minerals	NNS	mineral
and	CC	and
real	JJ	real
estate	NN	estate
and	CC	and
energy	NN	energy
—	:	-
is	VBZ	be
in	IN	in
infinite	JJ	infinite
quantities	NNS	quantity
in	IN	in
space	NN	space
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
Earth	NN	earth
is	VBZ	be
a	DT	a
crumb	NN	crumb
in	IN	in
a	DT	a
supermarket	NN	supermarket
filled	VBN	fill
with	IN	with
resources	NNS	resource
.	SENT	.
The	DT	the
analogy	NN	analogy
for	IN	for
me	PP	me
is	VBZ	be
Alaska	NP	Alaska
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
bought	VBD	buy
Alaska	NP	Alaska
.	SENT	.
We	PP	we
Americans	NPS	Americans
bought	VBD	buy
Alaska	NP	Alaska
in	IN	in
the	DT	the
1850s	NP	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
Seward	NP	Seward
'	POS	'
s	NN	S
folly	NN	folly
.	SENT	.
We	PP	we
valued	VBD	value
it	PP	it
as	IN	as
the	DT	the
number	NN	number
of	IN	of
seal	NN	seal
pelts	NNS	pelt
we	PP	we
could	MD	could
kill	VB	kill
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
discovered	VBD	discover
these	DT	these
things	NNS	thing
—	:	-
gold	NN	gold
and	CC	and
oil	NN	oil
and	CC	and
fishing	NN	fishing
and	CC	and
timber	NN	timber
—	:	-
and	CC	and
it	PP	it
became	VBD	become
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
