Hi	UH	hi
,	,	,
I	PP	I
'	POS	'
m	NN	m
Randy	NP	Randy
Seriguchi	NP	Seriguchi
Jr	NP	Jr
.	SENT	.
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
in	IN	in
teacher	NN	teacher
recruitment	NN	recruitment
for	IN	for
the	DT	the
past	JJ	past
eight	CD	eight
years	NNS	year
in	IN	in
the	DT	the
US	NP	US
.	SENT	.
And	CC	and
here	RB	here
,	,	,
in	IN	in
the	DT	the
richest	JJS	rich
nation	NN	nation
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
world	NN	world
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
a	DT	a
historic	JJ	historic
teacher	NN	teacher
shortage	NN	shortage
.	SENT	.
In	IN	in
a	DT	a
place	NN	place
where	WRB	where
money	NN	money
can	MD	can
solve	VB	solve
most	RBS	most
problems	NNS	problem
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
about	RB	about
how	WRB	how
we	PP	we
respond	VBP	respond
to	TO	to
this	DT	this
economic	JJ	economic
emergency	NN	emergency
,	,	,
and	CC	and
three	CD	three
questions	NNS	question
come	VBN	come
to	TO	to
mind	VB	mind
.	SENT	.
How	WRB	how
much	RB	much
is	VBZ	be
too	RB	too
much	JJ	much
to	TO	to
invest	VB	invest
in	IN	in
teachers	NNS	teacher
?	SENT	?
How	WRB	how
much	RB	much
is	VBZ	be
too	RB	too
little	JJ	little
to	TO	to
invest	VB	invest
in	IN	in
teachers	NNS	teacher
?	SENT	?
And	CC	and
what	WP	what
should	MD	should
any	DT	any
new	JJ	new
investment	NN	investment
in	IN	in
teachers	NNS	teacher
actually	RB	actually
cover	VB	cover
?	SENT	?
More	RBR	more
additional	JJ	additional
context	NN	context
to	TO	to
remember	VB	remember
,	,	,
this	DT	this
teacher	NN	teacher
shortage	NN	shortage
is	VBZ	be
about	RB	about
more	JJR	more
than	IN	than
teachers	NNS	teacher
.	SENT	.
Millions	NNS	million
of	IN	of
students	NNS	student
nationwide	RB	nationwide
are	VBP	be
impacted	VBN	impact
by	IN	by
having	VBG	have
an	DT	an
under-qualified	JJ	under-qualified
or	CC	or
substitute	JJ	substitute
teacher	NN	teacher
guiding	VBG	guide
a	DT	a
full	JJ	full
year	NN	year
of	IN	of
school	NN	school
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
difference	NN	difference
between	IN	between
a	DT	a
teacher	NN	teacher
shortage	NN	shortage
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
,	,	,
a	DT	a
fast-food	NN	fast-food
worker	NN	worker
shortage	NN	shortage
.	SENT	.
McDonald	NP	McDonald
'	POS	'
s	NN	S
may	MD	may
be	VB	be
missing	VBG	miss
a	DT	a
couple	NN	couple
of	IN	of
cashiers	NNS	cashier
up	IN	up
front	NN	front
,	,	,
but	CC	but
burgers	NNS	burger
will	MD	will
still	RB	still
get	VB	get
flipped	VBN	flip
and	CC	and
sold	VBN	sell
.	SENT	.
When	WRB	when
teachers	NNS	teacher
are	VBP	be
missing	VBG	miss
from	IN	from
schools	NNS	school
,	,	,
however	RB	however
,	,	,
children	NNS	child
usually	RB	usually
aren	NP	Aren
'	POS	'
t	NN	t
learning	VBG	learn
up	RP	up
to	TO	to
standards	NNS	standard
.	SENT	.
So	RB	so
as	IN	as
a	DT	a
result	NN	result
,	,	,
the	DT	the
US	NP	US
is	VBZ	be
scoring	VBG	score
26	CD	@card@
out	IN	out
of	IN	of
81	CD	@card@
nations	NNS	nation
on	IN	on
an	DT	an
international	JJ	international
math	NN	math
exam	NN	exam
,	,	,
amongst	IN	amongst
other	JJ	other
disappointing	JJ	disappointing
educational	JJ	educational
outcomes	NNS	outcome
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
cusp	NN	cusp
of	IN	of
artificial	JJ	artificial
intelligence	NN	intelligence
becoming	VBG	become
the	DT	the
fourth	JJ	fourth
industrial	JJ	industrial
revolution	NN	revolution
,	,	,
we	PP	we
have	VBP	have
a	DT	a
long	JJ	long
way	NN	way
to	TO	to
go	VB	go
to	TO	to
ensure	VB	ensure
that	IN	that
we	PP	we
are	VBP	be
adequately	RB	adequately
prepared	VBN	prepare
to	TO	to
participate	VB	participate
in	IN	in
the	DT	the
next	JJ	next
economic	JJ	economic
boom	NN	boom
.	SENT	.
So	RB	so
what	WP	what
can	MD	can
we	PP	we
do	VB	do
about	IN	about
this	DT	this
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
know	VBP	know
that	IN	that
one	CD	one
major	JJ	major
factor	NN	factor
in	IN	in
improving	VBG	improve
student	NN	student
outcomes	NNS	outcome
is	VBZ	be
the	DT	the
effectiveness	NN	effectiveness
of	IN	of
the	DT	the
teacher	NN	teacher
in	IN	in
front	NN	front
of	IN	of
the	DT	the
classroom	NN	classroom
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
a	DT	a
national	JJ	national
teacher	NN	teacher
shortage	NN	shortage
,	,	,
we	PP	we
have	VBP	have
to	TO	to
explore	VB	explore
new	JJ	new
