Many	JJ	many
times	NNS	time
I	PP	I
go	VBP	go
around	IN	around
the	DT	the
world	NN	world
to	TO	to
speak	VB	speak
,	,	,
and	CC	and
people	NNS	people
ask	VBP	ask
me	PP	me
questions	NNS	question
about	IN	about
the	DT	the
challenges	NNS	challenge
,	,	,
my	PP$	my
moments	NNS	moment
,	,	,
some	DT	some
of	IN	of
my	PP$	my
regrets	NNS	regret
.	SENT	.
1998	LS	@card@
:	:	:
A	DT	a
single	JJ	single
mother	NN	mother
of	IN	of
four	CD	four
,	,	,
three	CD	three
months	NNS	month
after	IN	after
the	DT	the
birth	NN	birth
of	IN	of
my	PP$	my
fourth	JJ	fourth
child	NN	child
,	,	,
I	PP	I
went	VBD	go
to	TO	to
do	VB	do
a	DT	a
job	NN	job
as	IN	as
a	DT	a
research	NN	research
assistant	NN	assistant
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
Northern	NP	Northern
Liberia	NP	Liberia
.	SENT	.
And	CC	and
as	IN	as
part	NN	part
of	IN	of
the	DT	the
work	NN	work
,	,	,
the	DT	the
village	NN	village
would	MD	would
give	VB	give
you	PP	you
lodgings	NNS	lodgings
.	SENT	.
And	CC	and
they	PP	they
gave	VBD	give
me	PP	me
lodging	VBG	lodge
with	IN	with
a	DT	a
single	JJ	single
mother	NN	mother
and	CC	and
her	PP$	her
daughter	NN	daughter
.	SENT	.
This	DT	this
girl	NN	girl
happened	VBD	happen
to	TO	to
be	VB	be
the	DT	the
only	JJ	only
girl	NN	girl
in	IN	in
the	DT	the
entire	JJ	entire
village	NN	village
who	WP	who
had	VBD	have
made	VBN	make
it	PP	it
to	TO	to
the	DT	the
ninth	JJ	ninth
grade	NN	grade
.	SENT	.
She	PP	she
was	VBD	be
the	DT	the
laughing	JJ	laughing
stock	NN	stock
of	IN	of
the	DT	the
community	NN	community
.	SENT	.
Her	PP$	her
mother	NN	mother
was	VBD	be
often	RB	often
told	VBN	tell
by	IN	by
other	JJ	other
women	NNS	woman
,	,	,
"	''	"
You	PP	you
and	CC	and
your	PP$	your
child	NN	child
will	MD	will
die	VB	die
poor	JJ	poor
.	SENT	.
"	''	"
After	IN	after
two	CD	two
weeks	NNS	week
of	IN	of
working	VBG	work
in	IN	in
that	DT	that
village	NN	village
,	,	,
it	PP	it
was	VBD	be
time	NN	time
to	TO	to
go	VB	go
back	RB	back
.	SENT	.
The	DT	the
mother	NN	mother
came	VBD	come
to	TO	to
me	PP	me
,	,	,
knelt	VBN	kneel
down	RP	down
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
Leymah	NP	<unknown>
,	,	,
take	VB	take
my	PP$	my
daughter	NN	daughter
.	SENT	.
I	PP	I
wish	VBP	wish
for	IN	for
her	PP	her
to	TO	to
be	VB	be
a	DT	a
nurse	NN	nurse
.	SENT	.
"	``	"
Dirt	NN	dirt
poor	NN	poor
,	,	,
living	VBG	live
in	IN	in
the	DT	the
home	NN	home
with	IN	with
my	PP$	my
parents	NNS	parent
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
afford	VB	afford
to	TO	to
.	SENT	.
With	IN	with
tears	NNS	tear
in	IN	in
my	PP$	my
eyes	NNS	eye
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
No	UH	no
.	SENT	.
"	''	"
Two	CD	two
months	NNS	month
later	RBR	later
,	,	,
I	PP	I
go	VBP	go
to	TO	to
another	DT	another
village	NN	village
on	IN	on
the	DT	the
same	JJ	same
assignment	NN	assignment
and	CC	and
they	PP	they
asked	VBD	ask
me	PP	me
to	TO	to
live	VB	live
with	IN	with
the	DT	the
village	NN	village
chief	NN	chief
.	SENT	.
The	DT	the
women	NNS	woman
'	POS	'
s	NNS	<unknown>
chief	JJ	chief
of	IN	of
the	DT	the
village	NN	village
has	VBZ	have
this	DT	this
little	JJ	little
girl	NN	girl
,	,	,
fair	JJ	fair
color	NN	color
like	IN	like
me	PP	me
,	,	,
totally	RB	totally
dirty	JJ	dirty
.	SENT	.
And	CC	and
all	DT	all
day	NN	day
she	PP	she
walked	VBD	walk
around	RB	around
only	RB	only
in	IN	in
her	PP$	her
underwear	NN	underwear
.	SENT	.
When	WRB	when
I	PP	I
asked	VBD	ask
,	,	,
"	``	"
Who	WP	who
is	VBZ	be
that	RB	that
?	SENT	?
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
That	DT	that
'	POS	'
s	JJ	<unknown>
Wei	NP	Wei
.	SENT	.
The	DT	the
meaning	NN	meaning
of	IN	of
her	PP$	her
name	NN	name
is	VBZ	be
pig	NN	pig
.	SENT	.
Her	PP$	her
mother	NN	mother
died	VBD	die
while	IN	while
giving	VBG	give
birth	NN	birth
to	TO	to
her	PP	her
,	,	,
and	CC	and
no	DT	no
one	CD	one
had	VBD	have
any	DT	any
idea	NN	idea
who	WP	who
her	PP$	her
father	NN	father
was	VBD	be
.	SENT	.
"	''	"
For	IN	for
two	CD	two
weeks	NNS	week
,	,	,
she	PP	she
became	VBD	become
my	PP$	my
companion	NN	companion
,	,	,
slept	VBD	sleep
with	IN	with
me	PP	me
.	SENT	.
I	PP	I
bought	VBD	buy
her	PP$	her
used	VBN	use
clothes	NNS	clothes
and	CC	and
bought	VBD	buy
her	PP$	her
her	PP$	her
first	JJ	first
doll	NN	doll
.	SENT	.
The	DT	the
night	NN	night
before	IN	before
I	PP	I
left	VBD	leave
,	,	,
she	PP	she
came	VBD	come
to	TO	to
the	DT	the
room	NN	room
and	CC	and
said	VBD	say
,	,	,
"	``	"
Leymah	NP	<unknown>
,	,	,
don	NN	don
'	POS	'
t	NN	t
leave	VB	leave
me	PP	me
here	RB	here
.	SENT	.
I	PP	I
wish	VBP	wish
to	TO	to
go	VB	go
with	IN	with
you	PP	you
.	SENT	.
I	PP	I
wish	VBP	wish
to	TO	to
go	VB	go
to	TO	to
school	NN	school
.	SENT	.
"	``	"
Dirt	NN	dirt
poor	NN	poor
,	,	,
no	DT	no
money	NN	money
,	,	,
living	VBG	live
with	IN	with
my	PP$	my
parents	NNS	parent
,	,	,
I	PP	I
again	RB	again
said	VBD	say
,	,	,
"	``	"
No	UH	no
.	SENT	.
"	''	"
Two	CD	two
months	NNS	month
later	RBR	later
,	,	,
both	CC	both
of	IN	of
those	DT	those
villages	NNS	village
fell	VBD	fall
into	IN	into
another	DT	another
war	NN	war
.	SENT	.
Till	IN	till
today	NN	today
,	,	,
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
where	WRB	where
those	DT	those
two	CD	two
girls	NNS	girl
are	VBP	be
.	SENT	.
Fast-forward	JJ	fast-forward
,	,	,
2004	CD	@card@
:	:	:
In	IN	in
the	DT	the
peak	NN	peak
of	IN	of
our	PP$	our
activism	NN	activism
,	,	,
the	DT	the
minister	NN	minister
of	IN	of
Gender	NN	gender
Liberia	NP	Liberia
called	VBD	call
me	PP	me
and	CC	and
said	VBD	say
,	,	,
"	``	"
Leymah	NP	<unknown>
,	,	,
I	PP	I
have	VBP	have
a	DT	a
nine-year-old	JJ	nine-year-old
for	IN	for
you	PP	you
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
bring	VB	bring
her	PP$	her
home	NN	home
because	IN	because
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
safe	JJ	safe
homes	NNS	home
.	SENT	.
"	''	"
The	DT	the
story	NN	story
of	IN	of
this	DT	this
little	JJ	little
girl	NN	girl
:	:	:
She	PP	she
had	VBD	have
been	VBN	be
raped	VBN	rape
by	IN	by
her	PP$	her
paternal	JJ	paternal
grandfather	NN	grandfather
every	DT	every
day	NN	day
for	IN	for
six	CD	six
months	NNS	month
.	SENT	.
She	PP	she
came	VBD	come
to	TO	to
me	PP	me
bloated	JJ	bloated
,	,	,
very	RB	very
pale	JJ	pale
.	SENT	.
Every	DT	every
night	NN	night
I	PP	I
'	POS	'
d	NN	d
come	VBN	come
from	IN	from
work	NN	work
and	CC	and
lie	NN	lie
on	IN	on
the	DT	the
cold	JJ	cold
floor	NN	floor
.	SENT	.
She	NN	she
'	POS	'
d	NN	d
lie	NN	lie
beside	IN	beside
me	PP	me
and	CC	and
say	VBP	say
,	,	,
"	``	"
Auntie	NN	auntie
,	,	,
I	PP	I
wish	VBP	wish
to	TO	to
be	VB	be
well	RB	well
.	SENT	.
I	PP	I
wish	VBP	wish
to	TO	to
go	VB	go
to	TO	to
school	NN	school
.	SENT	.
"	''	"
2010	CD	@card@
:	:	:
A	DT	a
young	JJ	young
woman	NN	woman
stands	NNS	stand
before	IN	before
President	NP	President
Sirleaf	NP	<unknown>
and	CC	and
gives	VBZ	give
her	PP$	her
testimony	NN	testimony
of	IN	of
how	WRB	how
she	PP	she
and	CC	and
her	PP$	her
siblings	NNS	sibling
live	VBP	live
together	RB	together
,	,	,
their	PP$	their
father	NN	father
and	CC	and
mother	NN	mother
died	VBD	die
during	IN	during
the	DT	the
war	NN	war
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
19	CD	@card@
;	:	;
her	PP$	her
dream	NN	dream
is	VBZ	be
to	TO	to
go	VB	go
to	TO	to
college	NN	college
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
support	VB	support
them	PP	them
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
highly	RB	highly
athletic	JJ	athletic
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
happens	VBZ	happen
is	VBZ	be
that	IN	that
she	PP	she
applies	VBZ	apply
for	IN	for
a	DT	a
scholarship	NN	scholarship
.	SENT	.
Full	JJ	full
scholarship	NN	scholarship
.	SENT	.
She	PP	she
gets	VBZ	get
it	PP	it
.	SENT	.
Her	PP$	her
dream	NN	dream
of	IN	of
going	VBG	go
to	TO	to
school	NN	school
,	,	,
her	PP	her
wish	VBP	wish
of	IN	of
being	VBG	be
educated	VBN	educate
,	,	,
is	VBZ	be
finally	RB	finally
here	RB	here
.	SENT	.
She	PP	she
goes	VBZ	go
to	TO	to
school	NN	school
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
.	SENT	.
The	DT	the
director	NN	director
of	IN	of
sports	NNS	sport
who	WP	who
'	POS	'
s	NNS	<unknown>
responsible	JJ	responsible
for	IN	for
getting	VBG	get
her	PP	her
into	IN	into
the	DT	the
program	NN	program
asks	VBZ	ask
her	PP	her
to	TO	to
come	VB	come
out	RP	out
of	IN	of
class	NN	class
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
next	JJ	next
three	CD	three
years	NNS	year
,	,	,
her	PP$	her
fate	NN	fate
will	MD	will
be	VB	be
having	VBG	have
sex	NN	sex
with	IN	with
him	PP	him
every	DT	every
day	NN	day
,	,	,
as	IN	as
a	DT	a
favor	NN	favor
for	IN	for
getting	VBG	get
her	PP	her
in	IN	in
school	NN	school
.	SENT	.
Globally	RB	globally
,	,	,
we	PP	we
have	VBP	have
policies	NNS	policy
,	,	,
international	JJ	international
instruments	NNS	instrument
,	,	,
work	NN	work
leaders	NNS	leader
.	SENT	.
Great	JJ	great
people	NNS	people
have	VBP	have
made	VBN	make
commitments	NNS	commitment
—	:	-
we	PP	we
will	MD	will
protect	VB	protect
our	PP$	our
children	NNS	child
from	IN	from
want	NN	want
and	CC	and
from	IN	from
fear	NN	fear
.	SENT	.
The	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
has	VBZ	have
the	DT	the
Convention	NN	convention
on	IN	on
the	DT	the
Rights	NPS	Rights
of	IN	of
the	DT	the
Child	NN	child
.	SENT	.
Countries	NNS	country
like	IN	like
America	NP	America
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
heard	VBD	hear
things	NNS	thing
like	IN	like
No	DT	no
Child	NN	child
Left	VBN	leave
Behind	IN	behind
.	SENT	.
Other	JJ	other
countries	NNS	country
come	VBN	come
with	IN	with
different	JJ	different
things	NNS	thing
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
Millennium	NN	millennium
Development	NP	Development
called	VBN	call
Three	CD	three
that	WDT	that
focuses	VBZ	focus
on	IN	on
girls	NNS	girl
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
great	JJ	great
works	NNS	work
by	IN	by
great	JJ	great
people	NNS	people
aimed	VBN	aim
at	IN	at
getting	VBG	get
young	JJ	young
people	NNS	people
to	TO	to
where	WRB	where
we	PP	we
want	VBP	want
to	TO	to
get	VB	get
them	PP	them
globally	RB	globally
,	,	,
I	PP	I
think	VBP	think
,	,	,
has	VBZ	have
failed	VBN	fail
.	SENT	.
In	IN	in
Liberia	NP	Liberia
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
teenage	JJ	teenage
pregnancy	NN	pregnancy
rate	NN	rate
is	VBZ	be
three	CD	three
to	TO	to
every	DT	every
10	CD	@card@
girls	NNS	girl
.	SENT	.
Teen	JJ	teen
prostitution	NN	prostitution
is	VBZ	be
at	IN	at
its	PP$	its
peak	NN	peak
.	SENT	.
In	IN	in
one	CD	one
community	NN	community
,	,	,
we	PP	we
'	POS	'
re	NN	re
told	VBD	tell
,	,	,
you	PP	you
wake	VBP	wake
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
see	VB	see
used	VBN	use
condoms	NNS	condom
like	IN	like
used	VBN	use
chewing	VBG	chew
gum	NN	gum
paper	NN	paper
.	SENT	.
Girls	NNS	girl
as	IN	as
young	JJ	young
as	IN	as
12	CD	@card@
being	VBG	be
prostituted	VBN	prostitute
for	IN	for
less	JJR	less
than	IN	than
a	DT	a
dollar	NN	dollar
a	DT	a
night	NN	night
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
disheartening	VBG	dishearten
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
sad	JJ	sad
.	SENT	.
And	CC	and
then	RB	then
someone	NN	someone
asked	VBD	ask
me	PP	me
,	,	,
just	RB	just
before	IN	before
my	PP$	my
TEDTalk	NP	<unknown>
,	,	,
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
,	,	,
"	''	"
So	RB	so
where	WRB	where
is	VBZ	be
the	DT	the
hope	NN	hope
?	SENT	?
"	''	"
Several	JJ	several
years	NNS	year
ago	RB	ago
,	,	,
a	DT	a
few	JJ	few
friends	NNS	friend
of	IN	of
mine	PP	mine
decided	VBD	decide
we	PP	we
needed	VBD	need
to	TO	to
bridge	VB	bridge
the	DT	the
disconnect	VB	disconnect
between	IN	between
our	PP$	our
generation	NN	generation
and	CC	and
the	DT	the
generation	NN	generation
of	IN	of
young	JJ	young
women	NNS	woman
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
to	TO	to
say	VB	say
you	PP	you
have	VBP	have
two	CD	two
Nobel	NP	Nobel
laureates	NNS	laureate
from	IN	from
the	DT	the
Republic	NP	Republic
of	IN	of
Liberia	NP	Liberia
when	WRB	when
your	PP$	your
girls	NNS	girl
'	POS	'
kids	NNS	kid
are	VBP	be
totally	RB	totally
out	RB	out
there	RB	there
and	CC	and
no	DT	no
hope	NN	hope
,	,	,
or	CC	or
seemingly	RB	seemingly
no	DT	no
hope	NN	hope
.	SENT	.
We	PP	we
created	VBD	create
a	DT	a
space	NN	space
called	VBD	call
the	DT	the
Young	JJ	young
Girls	NNS	girl
Transformative	JJ	transformative
Project	NP	Project
.	SENT	.
We	PP	we
go	VBP	go
into	IN	into
rural	JJ	rural
communities	NNS	community
and	CC	and
all	RB	all
we	PP	we
do	VBP	do
,	,	,
like	IN	like
has	VBZ	have
been	VBN	be
done	VBN	do
in	IN	in
this	DT	this
room	NN	room
,	,	,
is	VBZ	be
