My	PP$	my
wildest	JJS	wild
dream	NN	dream
is	VBZ	be
to	TO	to
design	VB	design
artificial	JJ	artificial
intelligence	NN	intelligence
that	WDT	that
is	VBZ	be
our	PP$	our
friend	NN	friend
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
an	DT	an
AI	NN	ai
system	NN	system
that	WDT	that
helps	VBZ	help
us	PP	us
understand	VB	understand
mathematics	NNS	mathematics
,	,	,
you	PP	you
can	MD	can
solve	VB	solve
the	DT	the
economy	NN	economy
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
an	DT	an
AI	NN	ai
system	NN	system
that	WDT	that
can	MD	can
understand	VB	understand
humanitarian	JJ	humanitarian
sciences	NNS	science
,	,	,
we	PP	we
can	MD	can
actually	RB	actually
solve	VB	solve
all	DT	all
of	IN	of
our	PP$	our
conflicts	NNS	conflict
.	SENT	.
I	PP	I
want	VBP	want
this	DT	this
system	NN	system
to	TO	to
,	,	,
given	VBN	give
Einstein	NP	Einstein
'	POS	'
s	NN	S
and	CC	and
Maxwell	NP	Maxwell
'	POS	'
s	NN	S
equations	NNS	equation
,	,	,
take	VB	take
it	PP	it
and	CC	and
solve	VB	solve
new	JJ	new
physics	NNS	physic
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
If	IN	if
you	PP	you
understand	VBP	understand
physics	NNS	physic
,	,	,
you	PP	you
can	MD	can
solve	VB	solve
the	DT	the
energy	NN	energy
problem	NN	problem
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
actually	RB	actually
design	VB	design
ways	NNS	way
for	IN	for
humans	NNS	human
to	TO	to
be	VB	be
the	DT	the
better	JJR	good
versions	NNS	version
of	IN	of
themselves	PP	themselves
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Ramin	NP	Ramin
Hasani	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
cofounder	NP	cofounder
and	CC	and
CEO	NP	CEO
of	IN	of
Liquid	NP	Liquid
AI	VBZ	ai
.	SENT	.
Liquid	JJ	liquid
AI	NN	ai
is	VBZ	be
an	DT	an
AI	NN	ai
company	NN	company
built	VBN	build
on	IN	on
top	NN	top
of	IN	of
a	DT	a
technology	NN	technology
that	IN	that
I	PP	I
invented	VBD	invent
back	RB	back
at	IN	at
MIT	NP	MIT
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
liquid	JJ	liquid
neural	JJ	neural
networks	NNS	network
.	SENT	.
"	``	"
These	DT	these
are	VBP	be
a	DT	a
form	NN	form
of	IN	of
flexible	JJ	flexible
intelligence	NN	intelligence
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
today	NN	today
'	POS	'
s	NNS	<unknown>
AI	VBP	ai
systems	NNS	system
that	WDT	that
are	VBP	be
fixed	VBN	fix
,	,	,
basically	RB	basically
.	SENT	.
So	RB	so
think	VB	think
about	IN	about
your	PP$	your
brain	NN	brain
.	SENT	.
You	PP	you
can	MD	can
change	VB	change
your	PP$	your
thoughts	NNS	thought
.	SENT	.
When	WRB	when
somebody	NN	somebody
talks	VBZ	talk
to	TO	to
you	PP	you
,	,	,
you	PP	you
can	MD	can
completely	RB	completely
change	VB	change
the	DT	the
way	NN	way
you	PP	you
respond	VBP	respond
.	SENT	.
You	PP	you
always	RB	always
have	VBP	have
a	DT	a
mechanism	NN	mechanism
that	IN	that
we	PP	we
call	VBP	call
feedback	NN	feedback
in	IN	in
your	PP$	your
system	NN	system
.	SENT	.
So	RB	so
basically	RB	basically
when	WRB	when
you	PP	you
receive	VBP	receive
information	NN	information
from	IN	from
someone	NN	someone
as	IN	as
an	DT	an
input	NN	input
,	,	,
you	PP	you
basically	RB	basically
process	VBP	process
that	DT	that
information	NN	information
,	,	,
and	CC	and
then	RB	then
you	PP	you
reply	VB	reply
.	SENT	.
For	IN	for
liquid	JJ	liquid
neural	JJ	neural
networks	NNS	network
,	,	,
we	PP	we
simply	RB	simply
got	VBD	get
those	DT	those
feedback	NN	feedback
mechanisms	NNS	mechanism
,	,	,
and	CC	and
we	PP	we
added	VBD	add
that	IN	that
to	TO	to
the	DT	the
system	NN	system
.	SENT	.
So	RB	so
that	DT	that
means	VBZ	mean
it	PP	it
has	VBZ	have
the	DT	the
ability	NN	ability
of	IN	of
thinking	NN	thinking
.	SENT	.
That	DT	that
property	NN	property
is	VBZ	be
inspired	VBN	inspire
by	IN	by
nature	NN	nature
.	SENT	.
We	PP	we
looked	VBD	look
into	IN	into
brains	NNS	brain
of	IN	of
animals	NNS	animal
and	CC	and
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
a	DT	a
very	JJ	very
,	,	,
very	RB	very
tiny	JJ	tiny
worm	NN	worm
called	VBN	call
"	``	"
C	NP	C
.	SENT	.
elegans	NNS	<unknown>
"	``	"
The	DT	the
fascinating	JJ	fascinating
fact	NN	fact
about	IN	about
the	DT	the
brain	NN	brain
of	IN	of
the	DT	the
worm	NN	worm
is	VBZ	be
that	IN	that
it	PP	it
shares	VBZ	share
75	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
genome	NN	genome
that	IN	that
it	PP	it
has	VBZ	have
with	IN	with
humans	NNS	human
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
entire	JJ	entire
genome	NN	genome
mapped	VBD	map
.	SENT	.
So	RB	so
we	PP	we
understand	VBP	understand
a	DT	a
whole	JJ	whole
lot	NN	lot
about	IN	about
the	DT	the
functionality	NN	functionality
of	IN	of
its	PP$	its
nervous	JJ	nervous
system	NN	system
as	IN	as
well	RB	well
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
understand	VBP	understand
the	DT	the
properties	NNS	property
of	IN	of
cells	NNS	cell
in	IN	in
the	DT	the
worm	NN	worm
,	,	,
maybe	RB	maybe
we	PP	we
can	MD	can
build	VB	build
intelligent	JJ	intelligent
systems	NNS	system
that	WDT	that
are	VBP	be
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
worm	NN	worm
and	CC	and
then	RB	then
evolve	VB	evolve
them	PP	them
into	IN	into
systems	NNS	system
that	WDT	that
are	VBP	be
better	JJR	good
than	IN	than
even	JJ	even
humans	NNS	human
.	SENT	.
The	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
are	VBP	be
studying	VBG	study
nature	NN	nature
is	VBZ	be
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
can	MD	can
actually	RB	actually
,	,	,
having	VBG	have
a	DT	a
shortcut	NN	shortcut
through	IN	through
exploring	VBG	explore
all	PDT	all
the	DT	the
possible	JJ	possible
kind	NN	kind
of	IN	of
algorithms	NNS	algorithm
that	IN	that
you	PP	you
can	MD	can
design	VB	design
.	SENT	.
You	PP	you
can	MD	can
look	VB	look
into	IN	into
nature	NN	nature
,	,	,
that	WDT	that
would	MD	would
give	VB	give
you	PP	you
like	VB	like
,	,	,
a	DT	a
shortcut	NN	shortcut
to	TO	to
really	RB	really
faster	RBR	faster
get	VB	get
into	IN	into
efficient	JJ	efficient
algorithms	NNS	algorithm
because	IN	because
nature	NN	nature
has	VBZ	have
done	VBN	do
a	DT	a
lot	NN	lot
of	IN	of
search	NN	search
,	,	,
billions	NNS	billion
of	IN	of
years	NNS	year
of	IN	of
evolution	NN	evolution
,	,	,
right	RB	right
?	SENT	?
So	RB	so
we	PP	we
learned	VBD	learn
so	RB	so
much	RB	much
from	IN	from
those	DT	those
principles	NNS	principle
.	SENT	.
I	PP	I
just	RB	just
brought	VBD	bring
a	DT	a
tiny	JJ	tiny
principle	NN	principle
from	IN	from
the	DT	the
worm	NN	worm
into	IN	into
artificial	JJ	artificial
neural	JJ	neural
networks	NNS	network
.	SENT	.
And	CC	and
now	RB	now
they	PP	they
are	VBP	be
flexible	JJ	flexible
,	,	,
and	CC	and
they	PP	they
can	MD	can
solve	VB	solve
problems	NNS	problem
in	IN	in
an	DT	an
explainable	JJ	explainable
way	NN	way
that	WDT	that
was	VBD	be
not	RB	not
possible	JJ	possible
before	RB	before
.	SENT	.
AI	NN	ai
is	VBZ	be
becoming	VBG	become
very	RB	very
capable	JJ	capable
,	,	,
right	RB	right
?	SENT	?
The	DT	the
reason	NN	reason
why	WRB	why
AI	NN	ai
is	VBZ	be
hard	JJ	hard
to	TO	to
regulate	VB	regulate
is	VBZ	be
because	IN	because
we	PP	we
cannot	MD	can
understand	VB	understand
,	,	,
even	RB	even
the	DT	the
people	NNS	people
who	WP	who
design	VB	design
the	DT	the
systems	NNS	system
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
those	DT	those
systems	NNS	system
.	SENT	.
They	PP	they
are	VBP	be
black	JJ	black
boxes	NNS	box
.	SENT	.
With	IN	with
Liquid	NP	Liquid
,	,	,
because	IN	because
we	PP	we
are	VBP	be
fundamentally	RB	fundamentally
using	VBG	use
mathematics	NNS	mathematics
that	WDT	that
are	VBP	be
understandable	JJ	understandable
,	,	,
we	PP	we
have	VBP	have
tools	NNS	tool
