Do	VB	do
you	PP	you
know	VB	know
that	IN	that
we	PP	we
have	VBP	have
1	CD	@card@
.	SENT	.
4	CD	@card@
million	CD	million
cellular	JJ	cellular
radio	NN	radio
masts	NNS	mast
deployed	VBN	deploy
worldwide	RB	worldwide
?	SENT	?
And	CC	and
these	DT	these
are	VBP	be
base	NN	base
stations	NNS	station
.	SENT	.
And	CC	and
we	PP	we
also	RB	also
have	VBP	have
more	JJR	more
than	IN	than
five	CD	five
billion	NNS	billion
of	IN	of
these	DT	these
devices	NNS	device
here	RB	here
.	SENT	.
These	DT	these
are	VBP	be
cellular	JJ	cellular
mobile	JJ	mobile
phones	NNS	phone
.	SENT	.
And	CC	and
with	IN	with
these	DT	these
mobile	JJ	mobile
phones	NNS	phone
,	,	,
we	PP	we
transmit	VBP	transmit
more	JJR	more
than	IN	than
600	CD	@card@
terabytes	NNS	terabyte
of	IN	of
data	NNS	datum
every	DT	every
month	NN	month
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
6	CD	@card@
with	IN	with
14	CD	@card@
zeroes	VBZ	zero
—	:	-
a	DT	a
very	RB	very
large	JJ	large
number	NN	number
.	SENT	.
And	CC	and
wireless	NN	wireless
communications	NNS	communication
has	VBZ	have
become	VBN	become
a	DT	a
utility	NN	utility
like	IN	like
electricity	NN	electricity
and	CC	and
water	NN	water
.	SENT	.
We	PP	we
use	VBP	use
it	PP	it
everyday	JJ	everyday
.	SENT	.
We	PP	we
use	VBP	use
it	PP	it
in	IN	in
our	PP$	our
everyday	JJ	everyday
lives	NNS	life
now	RB	now
—	:	-
in	IN	in
our	PP$	our
private	JJ	private
lives	NNS	life
,	,	,
in	IN	in
our	PP$	our
business	NN	business
lives	NNS	life
.	SENT	.
And	CC	and
we	PP	we
even	RB	even
have	VB	have
to	TO	to
be	VB	be
asked	VBN	ask
sometimes	RB	sometimes
,	,	,
very	RB	very
kindly	RB	kindly
,	,	,
to	TO	to
switch	VB	switch
off	RP	off
the	DT	the
mobile	JJ	mobile
phone	NN	phone
at	IN	at
events	NNS	event
like	IN	like
this	DT	this
for	IN	for
good	JJ	good
reasons	NNS	reason
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
importance	NN	importance
why	WRB	why
I	PP	I
decided	VBD	decide
to	TO	to
look	VB	look
into	IN	into
the	DT	the
issues	NNS	issue
that	IN	that
this	DT	this
technology	NN	technology
has	VBZ	have
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
so	RB	so
fundamental	JJ	fundamental
to	TO	to
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
issues	NNS	issue
is	VBZ	be
capacity	NN	capacity
.	SENT	.
The	DT	the
way	NN	way
we	PP	we
transmit	VBP	transmit
wireless	NN	wireless
data	NNS	datum
is	VBZ	be
by	IN	by
using	VBG	use
electromagnetic	JJ	electromagnetic
waves	NNS	wave
—	:	-
in	IN	in
particular	JJ	particular
,	,	,
radio	NN	radio
waves	NNS	wave
.	SENT	.
And	CC	and
radio	NN	radio
waves	NNS	wave
are	VBP	be
limited	VBN	limit
.	SENT	.
They	PP	they
are	VBP	be
scarce	JJ	scarce
;	:	;
they	PP	they
are	VBP	be
expensive	JJ	expensive
;	:	;
and	CC	and
we	PP	we
only	RB	only
have	VBP	have
a	DT	a
certain	JJ	certain
range	NN	range
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
limitation	NN	limitation
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
cope	NN	cope
with	IN	with
the	DT	the
demand	NN	demand
of	IN	of
wireless	NN	wireless
data	NNS	datum
transmissions	NNS	transmission
and	CC	and
the	DT	the
number	NN	number
of	IN	of
bytes	NNS	byte
and	CC	and
data	NNS	datum
which	WDT	which
are	VBP	be
transmitted	VBN	transmit
every	DT	every
month	NN	month
.	SENT	.
And	CC	and
we	PP	we
are	VBP	be
simply	RB	simply
running	VBG	run
out	RP	out
of	IN	of
spectrum	NN	spectrum
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
problem	NN	problem
.	SENT	.
That	DT	that
is	VBZ	be
efficiency	NN	efficiency
.	SENT	.
These	DT	these
