Corey	NP	Corey
Hajim	NP	<unknown>
:	:	:
Are	VBP	be
you	PP	you
there	RB	there
?	SENT	?
Ray	NP	Ray
Dalio	NP	<unknown>
:	:	:
Hi	UH	hi
.	SENT	.
CH	NP	CH
:	:	:
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
,	,	,
Ray	NP	Ray
.	SENT	.
RD	NP	RD
:	:	:
Do	VBP	do
you	PP	you
see	VB	see
me	PP	me
?	SENT	?
CH	NP	CH
:	:	:
I	PP	I
see	VBP	see
you	PP	you
.	SENT	.
You	PP	you
look	VBP	look
great	JJ	great
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
,	,	,
we	PP	we
really	RB	really
appreciate	VB	appreciate
it	PP	it
.	SENT	.
RD	NP	RD
:	:	:
My	PP$	my
pleasure	NN	pleasure
.	SENT	.
CH	NP	CH
:	:	:
OK	UH	OK
,	,	,
so	RB	so
lay	VBD	lie
it	PP	it
on	IN	on
us	PP	us
,	,	,
Ray	NP	Ray
,	,	,
how	WRB	how
bad	RB	bad
is	VBZ	be
it	PP	it
,	,	,
how	WRB	how
worried	VBN	worry
should	MD	should
we	PP	we
be	VB	be
?	SENT	?
RD	NP	RD
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
you	PP	you
could	MD	could
look	VB	look
at	IN	at
this	DT	this
like	IN	like
a	DT	a
tsunami	NN	tsunami
that	RB	that
'	POS	'
s	NN	S
hit	NN	hit
--	:	--
the	DT	the
virus	NN	virus
itself	PP	itself
and	CC	and
the	DT	the
social	JJ	social
distancing	NN	distancing
.	SENT	.
And	CC	and
then	RB	then
what	WDT	what
are	VBP	be
the	DT	the
consequences	NNS	consequence
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
wreckage	NN	wreckage
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
you	PP	you
have	VBP	have
to	TO	to
think	VB	think
of	IN	of
that	IN	that
as	IN	as
incomes	NNS	income
and	CC	and
balance	NN	balance
sheets	NNS	sheet
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
So	RB	so
it	PP	it
was	VBD	be
a	DT	a
tremendous	JJ	tremendous
income	NN	income
hit	VBD	hit
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
balance	NN	balance
sheets	NNS	sheet
losses	NNS	loss
.	SENT	.
And	CC	and
who	WP	who
has	VBZ	have
what	WP	what
savings	NNS	saving
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
then	RB	then
how	WRB	how
is	VBZ	be
that	IN	that
dealt	VBN	deal
with	IN	with
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
understand	VB	understand
that	IN	that
,	,	,
you	PP	you
have	VBP	have
to	TO	to
realize	VB	realize
that	IN	that
there	EX	there
are	VBP	be
these	DT	these
holes	NNS	hole
.	SENT	.
These	DT	these
holes	NNS	hole
in	IN	in
income	NN	income
,	,	,
and	CC	and
the	DT	the
holes	NNS	hole
in	IN	in
the	DT	the
balance	NN	balance
sheets	NNS	sheet
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
have	VBP	have
to	TO	to
realize	VB	realize
that	IN	that
there	EX	there
is	VBZ	be
the	DT	the
production	NN	production
of	IN	of
money	NN	money
and	CC	and
credit	NN	credit
.	SENT	.
And	CC	and
who	WP	who
produces	VBZ	produce
that	IN	that
money	NN	money
and	CC	and
credit	NN	credit
.	SENT	.
OK	UH	OK
,	,	,
the	DT	the
money	NN	money
and	CC	and
credit	NN	credit
comes	VBZ	come
in	IN	in
different	JJ	different
flavors	NNS	flavor
.	SENT	.
There	EX	there
is	VBZ	be
US	NP	US
dollar	NN	dollar
money	NN	money
and	CC	and
credit	NN	credit
.	SENT	.
There	EX	there
is	VBZ	be
Euro-dollar	NN	Euro-dollar
money	NN	money
and	CC	and
credit	NN	credit
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
world	NN	world
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
it	PP	it
,	,	,
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
a	DT	a
situation	NN	situation
that	WDT	that
is	VBZ	be
the	DT	the
same	JJ	same
as	IN	as
existed	VBN	exist
,	,	,
really	RB	really
,	,	,
in	IN	in
the	DT	the
1930	CD	@card@
to	TO	to
'	POS	'
45	CD	@card@
period	NN	period
,	,	,
in	IN	in
that	IN	that
now	RB	now
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
the	DT	the
production	NN	production
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
debt	NN	debt
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
borrowing	NN	borrowing
by	IN	by
the	DT	the
government	NN	government
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
zero	CD	zero
interest	NN	interest
rates	NNS	rate
and	CC	and
not	RB	not
the	DT	the
traditional	JJ	traditional
kind	NN	kind
of	IN	of
monetary	JJ	monetary
policy	NN	policy
.	SENT	.
But	CC	but
the	DT	the
producing	VBG	produce
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
and	CC	and
credit	NN	credit
--	:	--
so	RB	so
the	DT	the
Federal	NP	Federal
Reserve	NP	Reserve
is	VBZ	be
buying	VBG	buy
the	DT	the
Treasury	NP	Treasury
'	POS	'
s	NN	S
debt	NN	debt
.	SENT	.
And	CC	and
the	DT	the
Treasury	NP	Treasury
is	VBZ	be
getting	VBG	get
that	DT	that
money	NN	money
to	TO	to
,	,	,
mostly	RB	mostly
,	,	,
Americans	NPS	Americans
,	,	,
in	IN	in
some	DT	some
imperfect	JJ	imperfect
but	CC	but
remarkably	RB	remarkably
large	JJ	large
way	NN	way
.	SENT	.
And	CC	and
the	DT	the
Europeans	NPS	Europeans
are	VBP	be
doing	VBG	do
the	DT	the
same	JJ	same
in	IN	in
their	PP$	their
way	NN	way
.	SENT	.
That	DT	that
bank	NN	bank
is	VBZ	be
a	DT	a
smaller	JJR	small
bank	NN	bank
,	,	,
