Ten	CD	ten
years	NNS	year
ago	RB	ago
exactly	RB	exactly
,	,	,
I	PP	I
was	VBD	be
in	IN	in
Afghanistan	NP	Afghanistan
.	SENT	.
I	PP	I
was	VBD	be
covering	VBG	cover
the	DT	the
war	NN	war
in	IN	in
Afghanistan	NP	Afghanistan
,	,	,
and	CC	and
I	PP	I
witnessed	VBD	witness
,	,	,
as	IN	as
a	DT	a
reporter	NN	reporter
for	IN	for
Al	NP	Al
Jazeera	NP	<unknown>
,	,	,
the	DT	the
amount	NN	amount
of	IN	of
suffering	NN	suffering
and	CC	and
destruction	NN	destruction
that	WDT	that
emerged	VBD	emerge
out	RP	out
of	IN	of
a	DT	a
war	NN	war
like	IN	like
that	DT	that
.	SENT	.
Then	RB	then
,	,	,
two	CD	two
years	NNS	year
later	RBR	later
,	,	,
I	PP	I
covered	VBD	cover
another	DT	another
war	NN	war
â	NP	<unknown>
the	DT	the
war	NN	war
in	IN	in
Iraq	NP	Iraq
.	SENT	.
I	PP	I
was	VBD	be
placed	VBN	place
at	IN	at
the	DT	the
center	NN	center
of	IN	of
that	DT	that
war	NN	war
because	IN	because
I	PP	I
was	VBD	be
covering	VBG	cover
the	DT	the
war	NN	war
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Iraq	NP	Iraq
.	SENT	.
And	CC	and
the	DT	the
war	NN	war
ended	VBN	end
with	IN	with
a	DT	a
regime	NN	regime
change	NN	change
,	,	,
like	IN	like
the	DT	the
one	CD	one
in	IN	in
Afghanistan	NP	Afghanistan
.	SENT	.
And	CC	and
that	DT	that
regime	NN	regime
that	IN	that
we	PP	we
got	VBD	get
rid	VB	rid
of	IN	of
was	VBD	be
actually	RB	actually
a	DT	a
dictatorship	NN	dictatorship
,	,	,
an	DT	an
authoritarian	JJ	authoritarian
regime	NN	regime
,	,	,
that	WDT	that
for	IN	for
decades	NNS	decade
created	VBD	create
a	DT	a
great	JJ	great
sense	NN	sense
of	IN	of
paralysis	NN	paralysis
within	IN	within
the	DT	the
nation	NN	nation
,	,	,
within	IN	within
the	DT	the
people	NNS	people
themselves	PP	themselves
.	SENT	.
However	RB	however
,	,	,
the	DT	the
change	NN	change
that	WDT	that
came	VBD	come
through	IN	through
foreign	JJ	foreign
intervention	NN	intervention
created	VBD	create
even	RB	even
worse	JJR	bad
circumstances	NNS	circumstance
for	IN	for
the	DT	the
people	NNS	people
and	CC	and
deepened	VBD	deepen
the	DT	the
sense	NN	sense
of	IN	of
paralysis	NN	paralysis
and	CC	and
inferiority	NN	inferiority
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
For	IN	for
decades	NNS	decade
,	,	,
we	PP	we
have	VBP	have
lived	VBN	live
under	IN	under
authoritarian	JJ	authoritarian
regimes	NNS	regime
â	NP	<unknown>
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
,	,	,
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
These	DT	these
regimes	NNS	regime
created	VBD	create
something	NN	something
within	IN	within
us	PP	us
during	IN	during
this	DT	this
