Hi	UH	hi
,	,	,
my	PP$	my
name	NN	name
is	VBZ	be
Holly	NP	Holly
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
.	SENT	.
That	DT	that
was	VBD	be
my	PP$	my
voice	NN	voice
,	,	,
but	CC	but
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
sing	VB	sing
that	DT	that
clip	NN	clip
.	SENT	.
I	PP	I
trained	VBD	train
an	DT	an
AI	NN	ai
on	IN	on
my	PP$	my
own	JJ	own
voice	NN	voice
,	,	,
and	CC	and
now	RB	now
she	PP	she
can	MD	can
sing	VB	sing
anything	NN	anything
in	IN	in
multiple	JJ	multiple
languages	NNS	language
.	SENT	.
Her	PP$	her
name	NN	name
is	VBZ	be
Holly+	JJ	<unknown>
,	,	,
and	CC	and
you	PP	you
just	RB	just
heard	VBD	hear
her	PP	her
perform	VB	perform
"	``	"
El	NP	El
Cant	NN	cant
de	NP	de
la	FW	la
Sibilla	NP	Sibilla
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
a	DT	a
traditional	JJ	traditional
song	NN	song
arranged	VBN	arrange
by	IN	by
Maria	NP	Maria
Arnal	NP	<unknown>
in	IN	in
Catalan	NP	Catalan
.	SENT	.
Not	RB	not
a	DT	a
language	NN	language
that	IN	that
I	PP	I
speak	VBP	speak
and	CC	and
not	RB	not
a	DT	a
vocal	JJ	vocal
tradition	NN	tradition
that	IN	that
I	NP	I
'	POS	'
ve	NNS	<unknown>
trained	VBN	train
in	IN	in
.	SENT	.
Those	DT	those
melismatic	JJ	melismatic
runs	NNS	run
are	VBP	be
really	RB	really
difficult	JJ	difficult
to	TO	to
hit	VB	hit
.	SENT	.
To	TO	to
show	VB	show
you	PP	you
Holly+	NP	<unknown>
'	POS	'
s	JJ	<unknown>
full	JJ	full
range	NN	range
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
also	RB	also
play	VBP	play
an	DT	an
example	NN	example
in	IN	in
German	JJ	German
.	SENT	.
This	DT	this
is	VBZ	be
"	``	"
Mack	NP	Mack
the	DT	the
Knife	NP	Knife
"	''	"
by	IN	by
Brecht	NP	Brecht
.	SENT	.
Of	IN	of
course	NN	course
Holly+	NN	<unknown>
can	MD	can
--	:	--
thank	VB	thank
you	PP	you
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
Holly+	NP	<unknown>
can	MD	can
also	RB	also
perform	VB	perform
my	PP$	my
own	JJ	own
music	NN	music
,	,	,
so	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
excerpt	NN	excerpt
from	IN	from
my	PP$	my
own	JJ	own
song	NN	song
,	,	,
"	''	"
Frontier	NP	Frontier
.	SENT	.
"	''	"
Holly+	NP	<unknown>
uses	VBZ	use
a	DT	a
process	NN	process
called	VBD	call
timbre	NN	timbre
transfer	NN	transfer
,	,	,
where	WRB	where
the	DT	the
timbre	NN	timbre
,	,	,
or	CC	or
sound	JJ	sound
quality	NN	quality
of	IN	of
one	CD	one
sound	NN	sound
,	,	,
may	MD	may
be	VB	be
mapped	VBN	map
onto	IN	onto
the	DT	the
performance	NN	performance
of	IN	of
another	DT	another
.	SENT	.
Timbre	NN	timbre
transfer	NN	transfer
is	VBZ	be
done	VBN	do
by	IN	by
creating	VBG	create
a	DT	a
machine-learning	JJ	<unknown>
model	NN	model
of	IN	of
a	DT	a
sound	NN	sound
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
voice	NN	voice
.	SENT	.
So	RB	so
I	PP	I
recorded	VBD	record
a	DT	a
wide	JJ	wide
variety	NN	variety
of	IN	of
phrases	NNS	phrase
in	IN	in
my	PP$	my
entire	JJ	entire
vocal	JJ	vocal
range	NN	range
.	SENT	.
To	TO	to
be	VB	be
clear	JJ	clear
,	,	,
this	DT	this
version	NN	version
of	IN	of
Holly+	NP	<unknown>
is	VBZ	be
reading	VBG	read
notes	NNS	note
from	IN	from
a	DT	a
score	NN	score
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
also	RB	also
play	VBP	play
you	PP	you
an	DT	an
example	NN	example
of	IN	of
her	PP$	her
singing	NN	singing
in	IN	in
Spanish	JJ	Spanish
,	,	,
"	''	"
Bésame	NP	<unknown>
Mucho	NP	<unknown>
"	''	"
by	IN	by
Velázquez	NP	<unknown>
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
speak	VBP	speak
Spanish	JJ	Spanish
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
so	RB	so
.	SENT	.
Teaching	VBG	teach
an	DT	an
AI	VBP	ai
the	DT	the
sonic	JJ	sonic
properties	NNS	property
of	IN	of
one	CD	one
sound	NN	sound
in	IN	in
order	NN	order
to	TO	to
generate	VB	generate
an	DT	an
entirely	RB	entirely
