Thank	VB	thank
you	PP	you
so	RB	so
much	JJ	much
everyone	NN	everyone
from	IN	from
TED	VB	ted
,	,	,
and	CC	and
Chris	NP	Chris
and	CC	and
Amy	NP	Amy
in	IN	in
particular	JJ	particular
.	SENT	.
I	PP	I
cannot	MD	can
believe	VB	believe
I	PP	I
'	POS	'
m	NN	m
here	RB	here
.	SENT	.
I	PP	I
have	VBP	have
not	RB	not
slept	VBN	sleep
in	IN	in
weeks	NNS	week
.	SENT	.
Neil	NP	Neil
and	CC	and
I	PP	I
were	VBD	be
sitting	VBG	sit
there	RB	there
comparing	VBG	compare
how	WRB	how
little	JJ	little
we	PP	we
'	''	'
ve	NNS	<unknown>
slept	VBD	sleep
in	IN	in
anticipation	NN	anticipation
for	IN	for
this	DT	this
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
never	RB	never
been	VBN	be
so	RB	so
nervous	JJ	nervous
â	NP	<unknown>
and	CC	and
I	PP	I
do	VBP	do
this	DT	this
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
nervous	JJ	nervous
,	,	,
I	PP	I
just	RB	just
realized	VBD	realize
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
sort	NN	sort
of	IN	of
what	WP	what
we	PP	we
did	VBD	do
at	IN	at
this	DT	this
organization	NN	organization
called	VBD	call
826	CD	@card@
Valencia	NP	Valencia
,	,	,
and	CC	and
then	RB	then
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	RB	about
how	WRB	how
we	PP	we
all	RB	all
might	MD	might
join	VB	join
in	RP	in
and	CC	and
do	VB	do
similar	JJ	similar
things	NNS	thing
.	SENT	.
Back	RB	back
in	IN	in
about	RB	about
2000	CD	@card@
,	,	,
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
Brooklyn	NP	Brooklyn
,	,	,
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
finish	VB	finish
my	PP$	my
first	JJ	first
book	NN	book
,	,	,
I	PP	I
was	VBD	be
wandering	VBG	wander
around	RB	around
dazed	VBN	daze
every	DT	every
day	NN	day
because	IN	because
I	PP	I
wrote	VBD	write
from	IN	from
12	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
to	TO	to
5	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
So	RB	so
I	PP	I
would	MD	would
walk	VB	walk
around	RP	around
in	IN	in
a	DT	a
daze	NN	daze
during	IN	during
the	DT	the
day	NN	day
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
mental	JJ	mental
acuity	NN	acuity
to	TO	to
speak	VB	speak
of	IN	of
during	IN	during
the	DT	the
day	NN	day
,	,	,
but	CC	but
I	PP	I
had	VBD	have
flexible	JJ	flexible
hours	NNS	hour
.	SENT	.
In	IN	in
the	DT	the
Brooklyn	NP	Brooklyn
neighborhood	NN	neighborhood
that	IN	that
I	PP	I
lived	VBD	live
in	IN	in
