Ten	CD	ten
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
got	VBD	get
a	DT	a
phone	NN	phone
call	NN	call
that	WDT	that
changed	VBD	change
my	PP$	my
life	NN	life
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
,	,	,
I	PP	I
was	VBD	be
cardiologist	NN	cardiologist
at	IN	at
UCLA	NP	UCLA
,	,	,
specializing	VBG	specialize
in	IN	in
cardiac	JJ	cardiac
imaging	NN	imaging
techniques	NNS	technique
.	SENT	.
The	DT	the
call	NN	call
came	VBD	come
from	IN	from
a	DT	a
veterinarian	NN	veterinarian
at	IN	at
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
Zoo	NN	zoo
.	SENT	.
An	DT	an
elderly	JJ	elderly
female	JJ	female
chimpanzee	NN	chimpanzee
had	VBD	have
woken	VBN	wake
up	RP	up
with	IN	with
a	DT	a
facial	JJ	facial
droop	NN	droop
and	CC	and
the	DT	the
veterinarians	NNS	veterinarian
were	VBD	be
worried	VBN	worry
that	IN	that
she	PP	she
'	POS	'
d	NN	d
had	VBD	have
a	DT	a
stroke	NN	stroke
.	SENT	.
They	PP	they
asked	VBD	ask
if	IN	if
I	PP	I
'	POS	'
d	NN	d
come	VBN	come
to	TO	to
the	DT	the
zoo	NN	zoo
and	CC	and
image	NN	image
the	DT	the
animal	NN	animal
'	POS	'
s	JJ	<unknown>
heart	NN	heart
to	TO	to
look	VB	look
for	IN	for
a	DT	a
possible	JJ	possible
cardiac	JJ	cardiac
cause	NN	cause
.	SENT	.
Now	RB	now
,	,	,
to	TO	to
be	VB	be
clear	JJ	clear
,	,	,
North	JJ	North
American	JJ	American
zoos	NNS	zoo
are	VBP	be
staffed	VBN	staff
by	IN	by
highly	RB	highly
qualified	JJ	qualified
,	,	,
board-	JJ	<unknown>
certified	JJ	certified
veterinarians	NNS	veterinarian
who	WP	who
take	VBP	take
outstanding	JJ	outstanding
care	NN	care
of	IN	of
their	PP$	their
animal	JJ	animal
patients	NNS	patient
.	SENT	.
But	CC	but
occasionally	RB	occasionally
,	,	,
they	PP	they
do	VBP	do
reach	VB	reach
into	IN	into
the	DT	the
human	JJ	human
medical	JJ	medical
community	NN	community
,	,	,
particularly	RB	particularly
for	IN	for
some	DT	some
speciality	NN	speciality
consultation	NN	consultation
,	,	,
and	CC	and
I	PP	I
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
lucky	JJ	lucky
physicians	NNS	physician
who	WP	who
was	VBD	be
invited	VBN	invite
in	IN	in
to	TO	to
help	VB	help
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
chance	NN	chance
to	TO	to
rule	VB	rule
out	RP	out
a	DT	a
stroke	NN	stroke
in	IN	in
this	DT	this
chimpanzee	NN	chimpanzee
and	CC	and
make	VB	make
sure	JJ	sure
that	IN	that
this	DT	this
gorilla	NN	gorilla
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
a	DT	a
torn	JJ	torn
aorta	NN	aorta
,	,	,
evaluate	VB	evaluate
this	DT	this
macaw	NN	macaw
for	IN	for
a	DT	a
heart	NN	heart
