Hi	NP	Hi
everybody	NN	everybody
.	SENT	.
So	IN	so
my	PP$	my
name	NN	name
is	VBZ	be
Mac	NP	Mac
.	SENT	.
My	PP$	my
job	NN	job
is	VBZ	be
that	IN	that
I	PP	I
lie	VBP	lie
to	TO	to
children	NNS	child
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
honest	JJ	honest
lies	NNS	lie
.	SENT	.
I	PP	I
write	VBP	write
children	NNS	child
'	POS	'
s	NN	S
books	NNS	book
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
quote	NN	quote
from	IN	from
Pablo	NP	Pablo
Picasso	NP	Picasso
,	,	,
"	''	"
We	PP	we
all	RB	all
know	VBP	know
that	IN	that
Art	NP	Art
is	VBZ	be
not	RB	not
truth	NN	truth
.	SENT	.
Art	NP	Art
is	VBZ	be
a	DT	a
lie	NN	lie
that	WDT	that
makes	VBZ	make
us	PP	us
realize	VB	realize
truth	NN	truth
or	CC	or
at	IN	at
least	JJS	least
the	DT	the
truth	NN	truth
that	WDT	that
is	VBZ	be
given	VBN	give
us	PP	us
to	TO	to
understand	VB	understand
.	SENT	.
The	DT	the
artist	NN	artist
must	MD	must
know	VB	know
the	DT	the
manner	NN	manner
whereby	WRB	whereby
to	TO	to
convince	VB	convince
others	NNS	other
of	IN	of
the	DT	the
truthfulness	NN	truthfulness
of	IN	of
his	PP$	his
lies	NNS	lie
.	SENT	.
"	``	"
I	PP	I
first	RB	first
heard	VBN	hear
this	DT	this
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
kid	NN	kid
,	,	,
and	CC	and
I	PP	I
loved	VBD	love
it	PP	it
,	,	,
but	CC	but
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
what	WP	what
it	PP	it
meant	VBD	mean
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
,	,	,
you	PP	you
know	VBP	know
what	WP	what
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
today	NN	today
