Twenty	CD	twenty
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
barrister	NN	barrister
and	CC	and
human	JJ	human
rights	NNS	right
lawyer	NN	lawyer
in	IN	in
full-time	JJ	full-time
legal	JJ	legal
practice	NN	practice
in	IN	in
London	NP	London
,	,	,
and	CC	and
the	DT	the
highest	JJS	high
court	NN	court
in	IN	in
the	DT	the
land	NN	land
still	RB	still
convened	VBN	convene
,	,	,
some	DT	some
would	MD	would
say	VB	say
by	IN	by
an	DT	an
accident	NN	accident
of	IN	of
history	NN	history
,	,	,
in	IN	in
this	DT	this
building	NN	building
here	RB	here
,	,	,
I	PP	I
met	VBD	meet
a	DT	a
young	JJ	young
man	NN	man
who	WP	who
had	VBD	have
just	RB	just
quit	VBN	quit
his	PP$	his
job	NN	job
in	IN	in
the	DT	the
British	NP	British
Foreign	NP	Foreign
Office	NP	Office
.	SENT	.
When	WRB	when
I	PP	I
asked	VBD	ask
him	PP	him
,	,	,
"	``	"
Why	WRB	why
did	VBD	do
you	PP	you
leave	VBP	leave
,	,	,
"	''	"
he	PP	he
told	VBD	tell
me	PP	me
this	DT	this
story	NN	story
.	SENT	.
He	PP	he
had	VBD	have
gone	VBN	go
to	TO	to
his	PP$	his
boss	NN	boss
one	CD	one
morning	NN	morning
and	CC	and
said	VBD	say
,	,	,
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
something	NN	something
about	IN	about
human	JJ	human
rights	NNS	right
abuses	NNS	abuse
in	IN	in
China	NP	China
.	SENT	.
"	``	"
And	CC	and
his	PP$	his
boss	NN	boss
had	VBD	have
replied	VBN	reply
,	,	,
"	''	"
We	PP	we
can	MD	can
'	''	'
t	NN	t
do	VBP	do
anything	NN	anything
about	IN	about
human	JJ	human
rights	NNS	right
abuses	NNS	abuse
in	IN	in
China	NP	China
because	IN	because
we	PP	we
have	VBP	have
trade	NN	trade
relations	NNS	relation
with	IN	with
China	NP	China
.	SENT	.
"	``	"
So	IN	so
my	PP$	my
friend	NN	friend
went	VBD	go
away	RB	away
with	IN	with
his	PP$	his
tail	NN	tail
between	IN	between
his	PP$	his
legs	NNS	leg
,	,	,
and	CC	and
six	CD	six
months	NNS	month
later	RBR	later
,	,	,
he	PP	he
returned	VBD	return
again	RB	again
to	TO	to
his	PP$	his
boss	NN	boss
,	,	,
and	CC	and
he	PP	he
said	VBD	say
this	DT	this
time	NN	time
,	,	,
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
something	NN	something
about	IN	about
human	JJ	human
rights	NNS	right
in	IN	in
Burma	NP	Burma
,	,	,
"	``	"
as	IN	as
it	PP	it
was	VBD	be
then	RB	then
called	VBN	call
.	SENT	.
His	PP$	his
boss	NN	boss
once	RB	once
again	RB	again
paused	VBD	pause
and	CC	and
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
but	CC	but
we	PP	we
can	MD	can
'	''	'
t	NN	t
do	VBP	do
anything	NN	anything
about	IN	about
human	JJ	human
rights	NNS	right
in	IN	in
Burma	NP	Burma
