Probably	RB	probably
a	DT	a
lot	NN	lot
of	IN	of
you	PP	you
know	VBP	know
the	DT	the
story	NN	story
of	IN	of
the	DT	the
two	CD	two
salesmen	NNS	salesman
who	WP	who
went	VBD	go
down	RP	down
to	TO	to
Africa	NP	Africa
in	IN	in
the	DT	the
1900s	NNS	1900s
.	SENT	.
They	PP	they
were	VBD	be
sent	VBN	send
down	RP	down
to	TO	to
find	VB	find
if	IN	if
there	EX	there
was	VBD	be
any	DT	any
opportunity	NN	opportunity
for	IN	for
selling	VBG	sell
shoes	NNS	shoe
,	,	,
and	CC	and
they	PP	they
wrote	VBD	write
telegrams	NNS	telegram
back	RB	back
to	TO	to
Manchester	NP	Manchester
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
them	PP	them
wrote	VBD	write
,	,	,
"	``	"
Situation	NN	situation
hopeless	JJ	hopeless
.	SENT	.
Stop	VB	stop
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
wear	NN	wear
shoes	NNS	shoe
.	SENT	.
"	''	"
And	CC	and
the	DT	the
other	JJ	other
one	CD	one
wrote	VBD	write
,	,	,
"	``	"
Glorious	JJ	glorious
opportunity	NN	opportunity
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
shoes	NNS	shoe
yet	RB	yet
.	SENT	.
"	''	"
Now	RB	now
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
similar	JJ	similar
situation	NN	situation
in	IN	in
the	DT	the
classical	JJ	classical
music	NN	music
world	NN	world
,	,	,
because	IN	because
there	EX	there
are	VBP	be
some	DT	some
people	NNS	people
who	WP	who
think	VBP	think
that	IN	that
classical	JJ	classical
music	NN	music
is	VBZ	be
dying	VBG	die
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
some	DT	some
of	IN	of
us	PP	us
who	WP	who
think	VBP	think
you	PP	you
ain	NN	ain
'	POS	'
t	NN	t
seen	VBN	see
nothing	NN	nothing
yet	RB	yet
.	SENT	.
And	CC	and
rather	RB	rather
than	IN	than
go	VB	go
into	IN	into
statistics	NNS	statistic
and	CC	and
trends	NNS	trend
,	,	,
and	CC	and
tell	VB	tell
you	PP	you
about	IN	about
all	PDT	all
the	DT	the
orchestras	NNS	orchestra
that	WDT	that
are	VBP	be
closing	VBG	close
,	,	,
and	CC	and
the	DT	the
record	NN	record
companies	NNS	company
that	WDT	that
are	VBP	be
folding	VBG	fold
,	,	,
I	PP	I
thought	VBD	think
we	PP	we
should	MD	should
do	VB	do
an	DT	an
experiment	NN	experiment
tonight	NN	tonight
.	SENT	.
Actually	RB	actually
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
really	RB	really
an	DT	an
experiment	NN	experiment
,	,	,
because	IN	because
I	PP	I
know	VBP	know
the	DT	the
outcome	NN	outcome
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
like	IN	like
an	DT	an
experiment	NN	experiment
.	SENT	.
Now	RB	now
,	,	,
before	IN	before
we	PP	we
start	VBP	start
—	:	-
Before	IN	before
we	PP	we
start	VBP	start
,	,	,
I	PP	I
need	VBP	need
to	TO	to
do	VB	do
two	CD	two
things	NNS	thing
.	SENT	.
One	PP	one
is	VBZ	be
I	PP	I
want	VBP	want
to	TO	to
remind	VB	remind
you	PP	you
of	IN	of
what	WP	what
a	DT	a
seven-year-old	JJ	seven-year-old
child	NN	child
sounds	VBZ	sound
like	IN	like
when	WRB	when
he	PP	he
plays	VBZ	play
the	DT	the
piano	NN	piano
.	SENT	.
Maybe	RB	maybe
you	PP	you
have	VBP	have
this	DT	this
child	NN	child
at	IN	at
home	NN	home
.	SENT	.
He	PP	he
sounds	VBZ	sound
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
see	VBP	see
some	DT	some
of	IN	of
