As	IN	as
you	PP	you
heard	VBD	hear
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
physicist	NN	physicist
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
way	NN	way
we	PP	we
talk	VBP	talk
about	RB	about
physics	NN	physics
needs	VBZ	need
a	DT	a
little	JJ	little
modification	NN	modification
.	SENT	.
I	PP	I
am	VBP	be
from	IN	from
just	RB	just
down	RB	down
the	DT	the
road	NN	road
here	RB	here
;	:	;
I	PP	I
don	VBP	don
'	''	'
t	NN	t
live	VBP	live
here	RB	here
anymore	RB	anymore
.	SENT	.
But	CC	but
coming	VBG	come
from	IN	from
round	NN	round
here	RB	here
means	VBZ	mean
that	IN	that
I	PP	I
have	VBP	have
a	DT	a
northern	JJ	northern
nana	NN	nana
,	,	,
my	PP$	my
mum	NN	mum
'	POS	'
s	NN	S
mom	NN	mom
.	SENT	.
And	CC	and
Nana	NP	Nana
is	VBZ	be
very	RB	very
bright	JJ	bright
;	:	;
she	PP	she
hasn	NNS	<unknown>
'	POS	'
t	NN	t
had	VBD	have
much	JJ	much
formal	JJ	formal
education	NN	education
,	,	,
but	CC	but
she	PP	she
'	POS	'
s	NNS	<unknown>
sharp	JJ	sharp
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
second-year	NN	second-year
undergraduate	NN	undergraduate
studying	VBG	study
physics	NNS	physic
at	IN	at
Cambridge	NP	Cambridge
,	,	,
I	PP	I
remember	VBP	remember
spending	VBG	spend
an	DT	an
afternoon	NN	afternoon
at	IN	at
Nana	NP	Nana
'	POS	'
s	JJ	<unknown>
house	NN	house
in	IN	in
Urmston	NP	Urmston
studying	VBG	study
quantum	NN	quantum
mechanics	NNS	mechanic
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
these	DT	these
folders	NNS	folder
open	VBP	open
in	IN	in
front	NN	front
of	IN	of
me	PP	me
with	IN	with
this	DT	this
,	,	,
you	PP	you
know	VBP	know
,	,	,
hieroglyphics	NNS	hieroglyphic
—	:	-
let	VB	let
'	''	'
s	NN	S
be	VB	be
honest	JJ	honest
.	SENT	.
And	CC	and
Nana	NP	Nana
came	VBD	come
along	RP	along
,	,	,
and	CC	and
she	PP	she
looked	VBD	look
at	IN	at
this	DT	this
folder	NN	folder
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NN	S
that	RB	that
?	SENT	?
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	JJ	<unknown>
quantum	NN	quantum
mechanics	NNS	mechanic
,	,	,
Nana	NP	Nana
.	SENT	.
"	``	"
And	CC	and
I	PP	I
tried	VBD	try
to	TO	to
explain	VB	explain
something	NN	something
about	IN	about
what	WP	what
was	VBD	be
on	IN	on
the	DT	the
page	NN	page
.	SENT	.
It	PP	it
was	VBD	be
to	TO	to
do	VB	do
with	IN	with
the	DT	the
nucleus	NN	nucleus
and	CC	and
Einstein	NP	Einstein
A	NP	A
and	CC	and
B	NP	B
coefficients	NNS	coefficient
.	SENT	.
And	CC	and
Nana	NP	Nana
looked	VBD	look
very	RB	very
impressed	VBN	impress
.	SENT	.
And	CC	and
then	RB	then
she	PP	she
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
.	SENT	.
What	WP	what
can	MD	can
you	PP	you
do	VB	do
when	WRB	when
you	PP	you
know	VBP	know
that	RB	that
?	SENT	?
"	''	"
"	``	"
Don	NP	Don
'	POS	'
t	NN	t
know	VBP	know
,	,	,
ma	NN	ma
'	''	'
am	VBP	be
.	SENT	.
"	``	"
I	PP	I
think	VBP	think
I	PP	I
said	VBD	say
something	NN	something
about	IN	about
computers	NNS	computer
,	,	,
because	IN	because
it	PP	it
