So	RB	so
sometimes	RB	sometimes
I	PP	I
get	VBP	get
invited	VBN	invite
to	TO	to
give	VB	give
weird	JJ	weird
talks	NNS	talk
.	SENT	.
I	PP	I
got	VBD	get
invited	VBN	invite
to	TO	to
speak	VB	speak
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
dress	VBP	dress
up	RP	up
in	IN	in
big	JJ	big
stuffed	JJ	stuffed
animal	NN	animal
costumes	NNS	costume
to	TO	to
perform	VB	perform
at	IN	at
sporting	VBG	sport
events	NNS	event
.	SENT	.
Unfortunately	RB	unfortunately
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
go	NN	go
.	SENT	.
But	CC	but
it	PP	it
got	VBD	get
me	PP	me
thinking	VBG	think
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
these	DT	these
guys	NNS	guy
,	,	,
at	IN	at
least	JJS	least
most	JJS	most
of	IN	of
them	PP	them
,	,	,
know	VB	know
what	WP	what
it	PP	it
is	VBZ	be
that	IN	that
they	PP	they
do	VBP	do
for	IN	for
a	DT	a
living	NN	living
.	SENT	.
What	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
they	PP	they
dress	VBP	dress
up	RP	up
as	IN	as
stuffed	JJ	stuffed
animals	NNS	animal
and	CC	and
entertain	VB	entertain
people	NNS	people
at	IN	at
sporting	VBG	sport
events	NNS	event
.	SENT	.
Shortly	RB	shortly
after	IN	after
that	IN	that
I	PP	I
got	VBD	get
invited	VBN	invite
to	TO	to
speak	VB	speak
at	IN	at
the	DT	the
convention	NN	convention
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
make	VBP	make
balloon	NN	balloon
animals	NNS	animal
.	SENT	.
And	CC	and
again	RB	again
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
go	NN	go
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
a	DT	a
fascinating	JJ	fascinating
group	NN	group
.	SENT	.
They	PP	they
make	VBP	make
balloon	NN	balloon
animals	NNS	animal
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
big	JJ	big
schism	NN	schism
between	IN	between
the	DT	the
ones	NNS	one
who	WP	who
make	VBP	make
gospel	NN	gospel
animals	NNS	animal
and	CC	and
porn	NN	porn
animals	NNS	animal
,	,	,
but	CC	but
—	:	-
they	PP	they
do	VBP	do
a	DT	a
lot	NN	lot
of	IN	of
really	RB	really
cool	JJ	cool
stuff	NN	stuff
with	IN	with
balloons	NNS	balloon
.	SENT	.
Sometimes	RB	sometimes
they	PP	they
get	VBP	get
in	IN	in
trouble	NN	trouble
,	,	,
but	CC	but
not	RB	not
often	RB	often
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
about	IN	about
these	DT	these
guys	NNS	guy
is	VBZ	be
,	,	,
they	PP	they
also	RB	also
know	VBP	know
what	WP	what
they	PP	they
do	VBP	do
for	IN	for
a	DT	a
living	NN	living
.	SENT	.
They	PP	they
make	VBP	make
balloon	NN	balloon
animals	NNS	animal
.	SENT	.
But	CC	but
what	WP	what
do	VBP	do
we	PP	we
do	VBP	do
for	IN	for
a	DT	a
living	NN	living
?	SENT	?
What	WP	what
exactly	RB	exactly
to	TO	to
the	DT	the
people	NNS	people
watching	VBG	watch
this	DT	this
do	VBP	do
every	DT	every
day	NN	day
?	SENT	?
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
argue	VB	argue
that	IN	that
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
try	VBP	try
to	TO	to
change	VB	change
everything	NN	everything
.	SENT	.
That	IN	that
we	PP	we
try	VBP	try
to	TO	to
find	VB	find
a	DT	a
piece	NN	piece
of	IN	of
the	DT	the
status	FW	status
quo	FW	quo
—	:	-
something	NN	something
that	WDT	that
bothers	VBZ	bother
us	PP	us
,	,	,
something	NN	something
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
improved	VBN	improve
,	,	,
something	NN	something
that	WDT	that
is	VBZ	be
itching	VBG	itch
to	TO	to
be	VB	be
changed	VBN	change
—	:	-
and	CC	and
we	PP	we
change	VBP	change
it	PP	it
.	SENT	.
We	PP	we
try	VBP	try
to	TO	to
make	VB	make
big	JJ	big
,	,	,
permanent	JJ	permanent
,	,	,
important	JJ	important
change	NN	change
.	SENT	.
But	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
And	CC	and
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
talking	VBG	talk
about	IN	about
what	WP	what
that	DT	that
process	NN	process
is	VBZ	be
like	JJ	like
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
studying	VBG	study
it	PP	it
for	IN	for
a	DT	a
couple	NN	couple
years	NNS	year
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
a	DT	a
couple	NN	couple
stories	NNS	story
with	IN	with
you	PP	you
today	NN	today
.	SENT	.
First	RB	first
,	,	,
about	IN	about
a	DT	a
guy	NN	guy
named	VBN	name
Nathan	NP	Nathan
Winograd	NP	Winograd
.	SENT	.
Nathan	NP	Nathan
was	VBD	be
the	DT	the
number	NN	number
two	CD	two
person	NN	person
at	IN	at
the	DT	the
San	NP	San
Francisco	NP	Francisco
