Imagine	VB	imagine
with	IN	with
me	PP	me
this	DT	this
scene	NN	scene
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
scene	NN	scene
that	WDT	that
played	VBD	play
out	RP	out
in	IN	in
nearly	RB	nearly
all	DT	all
of	IN	of
our	PP$	our
families	NNS	family
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
scene	NN	scene
in	IN	in
which	WDT	which
a	DT	a
young	JJ	young
person	NN	person
,	,	,
somewhere	RB	somewhere
in	IN	in
our	PP$	our
family	NN	family
tree	NN	tree
,	,	,
somewhere	RB	somewhere
in	IN	in
our	PP$	our
lineage	NN	lineage
had	VBD	have
a	DT	a
heartbreaking	JJ	heartbreaking
decision	NN	decision
to	TO	to
make	VB	make
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
decision	NN	decision
to	TO	to
leave	VB	leave
all	RB	all
that	IN	that
they	PP	they
had	VBD	have
known	VBN	know
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
the	DT	the
people	NNS	people
that	IN	that
they	PP	they
had	VBD	have
loved	VBN	love
and	CC	and
to	TO	to
set	VB	set
out	RP	out
for	IN	for
a	DT	a
place	NN	place
far	RB	far
,	,	,
far	RB	far
away	RB	away
that	IN	that
they	PP	they
had	VBD	have
never	RB	never
seen	VBN	see
in	IN	in
hopes	NNS	hope
that	IN	that
life	NN	life
might	MD	might
be	VB	be
better	JJR	good
.	SENT	.
Migration	NN	migration
is	VBZ	be
usually	RB	usually
a	DT	a
young	JJ	young
person	NN	person
'	POS	'
s	NN	S
endeavor	NN	endeavor
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
thing	NN	thing
that	IN	that
you	PP	you
do	VBP	do
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
on	IN	on
the	DT	the
cusp	NN	cusp
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
so	RB	so
,	,	,
there	EX	there
is	VBZ	be
,	,	,
in	IN	in
all	DT	all
of	IN	of
our	PP$	our
families	NNS	family
,	,	,
this	DT	this
young	JJ	young
person	NN	person
somewhere	RB	somewhere
in	IN	in
our	PP$	our
background	NN	background
.	SENT	.
That	DT	that
person	NN	person
is	VBZ	be
standing	VBG	stand
at	IN	at
a	DT	a
dock	NN	dock
,	,	,
about	RB	about
to	TO	to
board	VB	board
a	DT	a
ship	NN	ship
that	WDT	that
will	MD	will
cross	VB	cross
the	DT	the
