Hi	UH	hi
,	,	,
everyone	NN	everyone
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Clive	NP	Clive
Loseby	NP	<unknown>
and	CC	and
I	PP	I
am	VBP	be
passionate	JJ	passionate
about	IN	about
changing	VBG	change
the	DT	the
world	NN	world
,	,	,
one	CD	one
website	NN	website
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
As	IN	as
Dale	NP	Dale
said	VBD	say
I	PP	I
was	VBD	be
in	IN	in
a	DT	a
bad	JJ	bad
car	NN	car
crash	NN	crash
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
.	SENT	.
It	PP	it
left	VBD	leave
us	PP	us
all	RB	all
with	IN	with
life-changing	VBG	life-change
injuries	NNS	injury
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
accessibility	NN	accessibility
and	CC	and
website	NN	website
accessibility	NN	accessibility
has	VBZ	have
become	VBN	become
my	PP$	my
passion	NN	passion
.	SENT	.
The	DT	the
accident	NN	accident
also	RB	also
left	VBD	leave
me	PP	me
with	IN	with
a	DT	a
very	RB	very
bad	JJ	bad
memory	NN	memory
,	,	,
so	RB	so
please	RB	please
forgive	VB	forgive
me	PP	me
if	IN	if
I	PP	I
keep	VBP	keep
looking	VBG	look
at	IN	at
my	PP$	my
notes	NNS	note
.	SENT	.
OK	UH	OK
.	SENT	.
Does	VBZ	do
everybody	NN	everybody
know	VB	know
what	WP	what
a	DT	a
cookie	NN	cookie
banner	NN	banner
is	VBZ	be
?	SENT	?
Those	DT	those
annoying	VBG	annoy
banners	NNS	banner
that	WDT	that
pop	VBP	pop
up	RP	up
on	IN	on
a	DT	a
website	NN	website
asking	VBG	ask
for	IN	for
consent	NN	consent
to	TO	to
put	VB	put
cookies	NNS	cookie
into	IN	into
your	PP$	your
browser	NN	browser
?	SENT	?
It	PP	it
may	MD	may
say	VB	say
something	NN	something
like	IN	like
,	,	,
"	''	"
This	DT	this
website	NN	website
uses	VBZ	use
cookies	NNS	cookie
to	TO	to
give	VB	give
you	PP	you
