David	NP	David
Biello	NP	Biello
:	:	:
So	RB	so
Victor	NP	Victor
,	,	,
what	WP	what
have	VBP	have
you	PP	you
been	VBN	be
up	RP	up
to	TO	to
?	SENT	?
Victor	NP	Victor
Vescovo	NP	<unknown>
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
Atlantic	NP	Atlantic
Ocean	NP	Ocean
,	,	,
and	CC	and
I	PP	I
guess	VBP	guess
I	PP	I
read	VBP	read
too	RB	too
much	JJ	much
Jules	NP	Jules
Verne	NP	Verne
as	IN	as
a	DT	a
young	JJ	young
boy	NN	boy
,	,	,
and	CC	and
so	RB	so
for	IN	for
the	DT	the
last	JJ	last
four	CD	four
years	NNS	year
I	NP	I
'	POS	'
ve	NN	ve
led	VBD	lead
a	DT	a
team	NN	team
to	TO	to
design	VB	design
and	CC	and
build	VB	build
what	WP	what
is	VBZ	be
now	RB	now
the	DT	the
most	RBS	most
advanced	JJ	advanced
and	CC	and
deepest	JJS	deep
diving	JJ	diving
submersible	NN	submersible
on	IN	on
the	DT	the
planet	NN	planet
,	,	,
and	CC	and
I	PP	I
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
personally	RB	personally
pilot	VB	pilot
it	PP	it
too	RB	too
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
us	PP	us
in	IN	in
December	NP	December
of	IN	of
last	JJ	last
year	NN	year
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
—	:	-
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
Atlantic	NP	Atlantic
Ocean	NP	Ocean
.	SENT	.
DB	NP	DB
:	:	:
And	CC	and
nobody	NN	nobody
'	POS	'
s	JJ	<unknown>
seen	VBN	see
that	IN	that
before	IN	before
right	NN	right
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
just	RB	just
you	PP	you
.	SENT	.
VV	NP	<unknown>
:	:	:
No	UH	no
.	SENT	.
Well	RB	well
,	,	,
now	RB	now
everybody	NN	everybody
else	RB	else
.	SENT	.
DB	NP	DB
:	:	:
Who	WP	who
does	VBZ	do
that	DT	that
?	SENT	?
Like	VB	like
—	:	-
VV	NP	<unknown>
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
everyone	NN	everyone
has	VBZ	have
seen	VBN	see
the	DT	the
developments	NNS	development
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
,	,	,
15	CD	@card@
years	NNS	year
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
that	WDT	that
have	VBP	have
the	DT	the
means	VBZ	mean
to	TO	to
explore	VB	explore
outer	JJ	outer
space	NN	space
,	,	,
like	IN	like
SpaceX	NP	<unknown>
or	CC	or
Blue	NP	Blue
Origin	NN	origin
—	:	-
those	DT	those
guys	NNS	guy
—	:	-
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
the	DT	the
other	JJ	other
direction	NN	direction
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
wonderful	JJ	wonderful
era	NN	era
of	IN	of
private	JJ	private
individuals	NNS	individual
spending	VBG	spend
their	PP$	their
resources	NNS	resource
to	TO	to
develop	VB	develop
technologies	NNS	technology
that	WDT	that
can	MD	can
take	VB	take
us	PP	us
to	TO	to
places	NNS	place
that	WDT	that
have	VBP	have
never	RB	never
been	VBN	be
explored	VBN	explore
before	IN	before
,	,	,
and	CC	and
the	DT	the
oceans	NNS	ocean
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
—	:	-
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
a	DT	a
clich��	NN	<unknown>
to	TO	to
say	VB	say
it	PP	it
'	POS	'
s	NN	S
70	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
entire	JJ	entire
planet	NN	planet
,	,	,
and	CC	and
of	IN	of
that	WDT	that
,	,	,
95	CD	@card@
percent	NN	percent
is	VBZ	be
unexplored	VBN	unexplore
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
do	VB	do
with	IN	with
our	PP$	our
expedition	NN	expedition
is	VBZ	be
to	TO	to
build	VB	build
and	CC	and
prove	VB	prove
out	RP	out
a	DT	a
submersible	NN	submersible
that	WDT	that
can	MD	can
go	VB	go
to	TO	to
any	DT	any
point	NN	point
on	IN	on
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
planet	NN	planet
to	TO	to
explore	VB	explore
the	DT	the
60	CD	@card@
percent	NN	percent
of	IN	of
this	DT	this
planet	NN	planet
