Today	NN	today
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
swimming	NN	swimming
across	IN	across
the	DT	the
North	NP	North
Pole	NP	Pole
,	,	,
across	IN	across
the	DT	the
most	RBS	most
northern	JJ	northern
place	NN	place
in	IN	in
the	DT	the
whole	JJ	whole
world	NN	world
.	SENT	.
And	CC	and
perhaps	RB	perhaps
the	DT	the
best	JJS	good
place	NN	place
to	TO	to
start	VB	start
is	VBZ	be
with	IN	with
my	PP$	my
late	JJ	late
father	NN	father
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
great	JJ	great
storyteller	NN	storyteller
.	SENT	.
He	PP	he
could	MD	could
tell	VB	tell
a	DT	a
story	NN	story
about	IN	about
an	DT	an
event	NN	event
,	,	,
and	CC	and
so	RB	so
you	PP	you
felt	VBD	feel
you	PP	you
were	VBD	be
absolutely	RB	absolutely
there	RB	there
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
stories	NNS	story
he	PP	he
told	VBD	tell
me	PP	me
so	RB	so
often	RB	often
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
boy	NN	boy
was	VBD	be
of	IN	of
the	DT	the
first	JJ	first
British	JJ	British
atomic	JJ	atomic
bomb	NN	bomb
test	NN	test
.	SENT	.
He	PP	he
had	VBD	have
been	VBN	be
there	RB	there
and	CC	and
watched	VBD	watch
it	PP	it
go	VB	go
off	RP	off
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
that	IN	that
the	DT	the
explosion	NN	explosion
was	VBD	be
so	RB	so
loud	JJ	loud
and	CC	and
the	DT	the
light	NN	light
was	VBD	be
so	RB	so
intense	JJ	intense
,	,	,
that	IN	that
he	PP	he
actually	RB	actually
had	VBD	have
to	TO	to
put	VB	put
his	PP$	his
hands	NNS	hand
in	IN	in
front	NN	front
of	IN	of
his	PP$	his
face	NN	face
to	TO	to
protect	VB	protect
his	PP$	his
eyes	NNS	eye
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
that	IN	that
he	PP	he
could	MD	could
actually	RB	actually
see	VB	see
an	DT	an
x-ray	NN	x-ray
of	IN	of
his	PP$	his
fingers	NNS	finger
,	,	,
because	IN	because
the	DT	the
light	NN	light
was	VBD	be
so	RB	so
bright	JJ	bright
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
that	IN	that
watching	VBG	watch
that	DT	that
atomic	JJ	atomic
bomb	NN	bomb
going	VBG	go
off	RB	off
had	VBD	have
a	DT	a
very	JJ	very
,	,	,
very	RB	very
big	JJ	big
impact	NN	impact
on	IN	on
my	PP$	my
late	JJ	late
father	NN	father
.	SENT	.
Every	DT	every
holiday	NN	holiday
I	PP	I
had	VBD	have
as	IN	as
a	DT	a
young	JJ	young
boy	NN	boy
was	VBD	be
in	IN	in
a	DT	a
national	JJ	national
park	NN	park
.	SENT	.
What	WP	what
he	PP	he
was	VBD	be
trying	VBG	try
to	TO	to
do	VB	do
with	IN	with
me	PP	me
was	VBD	be
to	TO	to
inspire	VB	inspire
me	PP	me
to	TO	to
protect	VB	protect
the	DT	the
world	NN	world
,	,	,
and	CC	and
show	VB	show
me	PP	me
just	RB	just
how	WRB	how
fragile	JJ	fragile
the	DT	the
world	NN	world
is	VBZ	be
.	SENT	.
He	PP	he
also	RB	also
told	VBD	tell
me	PP	me
about	IN	about
the	DT	the
great	JJ	great
explorers	NNS	explorer
.	SENT	.
He	PP	he
loved	VBD	love
history	NN	history
.	SENT	.
He	PP	he
would	MD	would
tell	VB	tell
me	PP	me
about	IN	about
Captain	NP	Captain
Scott	NP	Scott
walking	VBG	walk
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
South	NP	South
Pole	NP	Pole
and	CC	and
Sir	NP	Sir
Edmund	NP	Edmund
Hillary	NP	Hillary
climbing	VBG	climb
up	RP	up
Mount	NP	Mount
Everest	NP	Everest
.	SENT	.
And	CC	and
so	RB	so
ever	RB	ever
since	IN	since
I	PP	I
think	VBP	think
I	PP	I
was	VBD	be
just	RB	just
six	CD	six
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
dreamed	VBD	dream
of	IN	of
going	VBG	go
to	TO	to
the	DT	the
polar	JJ	polar
regions	NNS	region
.	SENT	.
I	PP	I
really	RB	really
,	,	,
really	RB	really
wanted	VBD	want
to	TO	to
go	VB	go
to	TO	to
the	DT	the
Arctic	NP	Arctic
.	SENT	.
There	EX	there
was	VBD	be
something	NN	something
about	IN	about
that	DT	that
place	NN	place
which	WDT	which
drew	VBD	draw
me	PP	me
to	TO	to
it	PP	it
.	SENT	.
And	CC	and
,	,	,
well	RB	well
,	,	,
sometimes	RB	sometimes
it	PP	it
takes	VBZ	take
a	DT	a
long	JJ	long
time	NN	time
for	IN	for
a	DT	a
dream	NN	dream
to	TO	to
come	VB	come
true	JJ	true
.	SENT	.
But	CC	but
seven	CD	seven
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
Arctic	NP	Arctic
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
so	RB	so
beautiful	JJ	beautiful
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
back	RB	back
there	RB	there
ever	RB	ever
since	RB	since
,	,	,
for	IN	for
the	DT	the
last	JJ	last
seven	CD	seven
years	NNS	year
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
place	NN	place
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
seen	VBN	see
that	IN	that
place	NN	place
change	NN	change
beyond	IN	beyond
all	DT	all
description	NN	description
,	,	,
just	RB	just
in	IN	in
that	DT	that
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
.	SENT	.
I	PP	I
have	VBP	have
seen	VBN	see
polar	JJ	polar
bears	NNS	bear
walking	VBG	walk
across	IN	across
very	RB	very
,	,	,
very	RB	very
thin	JJ	thin
ice	NN	ice
in	IN	in
search	NN	search
of	IN	of
food	NN	food
.	SENT	.
I	PP	I
have	VBP	have
swum	VBN	swim
in	IN	in
front	NN	front
of	IN	of
glaciers	NNS	glacier
which	WDT	which
have	VBP	have
retreated	VBN	retreat
so	RB	so
much	RB	much
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
also	RB	also
,	,	,
every	DT	every
year	NN	year
,	,	,
seen	VBN	see
less	JJR	less
and	CC	and
less	JJR	less
sea	NN	sea
ice	NN	ice
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
the	DT	the
world	NN	world
to	TO	to
know	VB	know
what	WP	what
was	VBD	be
happening	VBG	happen
up	RP	up
there	RB	there
.	SENT	.
In	IN	in
the	DT	the
two	CD	two
years	NNS	year
before	IN	before
my	PP$	my
swim	NN	swim
,	,	,
23	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
arctic	JJ	arctic
sea	NN	sea
ice	NN	ice
cover	NN	cover
just	RB	just
melted	VBD	melt
away	RP	away
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
really	RB	really
shake	VB	shake
the	DT	the
lapels	NNS	lapel
of	IN	of
world	NN	world
leaders	NNS	leader
to	TO	to
get	VB	get
them	PP	them
to	TO	to
understand	VB	understand
what	WP	what
is	VBZ	be
happening	VBG	happen
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
do	VB	do
this	DT	this
symbolic	JJ	symbolic
swim	NN	swim
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
world	NN	world
,	,	,
in	IN	in
a	DT	a
place	NN	place
which	WDT	which
should	MD	should
be	VB	be
frozen	VBN	freeze
over	RP	over
,	,	,
but	CC	but
which	WDT	which
now	RB	now
is	VBZ	be
rapidly	RB	rapidly
unfreezing	VBG	unfreeze
.	SENT	.
And	CC	and
the	DT	the
message	NN	message
was	VBD	be
very	RB	very
clear	JJ	clear
:	:	:
Climate	NN	climate
change	NN	change
is	VBZ	be
for	IN	for
real	JJ	real
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
right	RB	right
now	RB	now
.	SENT	.
Well	RB	well
,	,	,
swimming	VBG	swim
across	IN	across
the	DT	the
North	NP	North
Pole	NP	Pole
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
ordinary	JJ	ordinary
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
just	RB	just
to	TO	to
put	VB	put
it	PP	it
in	IN	in
perspective	NN	perspective
,	,	,
27	CD	@card@
degrees	NNS	degree
is	VBZ	be
the	DT	the
temperature	NN	temperature
of	IN	of
a	DT	a
normal	JJ	normal
indoor	JJ	indoor
swimming	NN	swimming
pool	NN	pool
.	SENT	.
This	DT	this
morning	NN	morning
,	,	,
the	DT	the
temperature	NN	temperature
of	IN	of
the	DT	the
English	NP	English
Channel	NP	Channel
was	VBD	be
18	CD	@card@
degrees	NNS	degree
.	SENT	.
The	DT	the
passengers	NNS	passenger
who	WP	who
fell	VBD	fall
off	RP	off
the	DT	the
Titanic	JJ	titanic
fell	NN	fell
into	IN	into
water	NN	water
of	IN	of
just	RB	just
five	CD	five
degrees	NNS	degree
centigrade	JJ	centigrade
.	SENT	.
Fresh	JJ	fresh
water	NN	water
freezes	NNS	freeze
at	IN	at
zero	CD	zero
.	SENT	.
And	CC	and
the	DT	the
water	NN	water
at	IN	at
the	DT	the
North	NP	North
Pole	NP	Pole
is	VBZ	be
minus	IN	minus
1	CD	@card@
.	SENT	.
7	CD	@card@
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
fucking	VBG	fuck
freezing	NN	freezing
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	JJ	sorry
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
no	DT	no
other	JJ	other
way	NN	way
to	TO	to
describe	VB	describe
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
assemble	VB	assemble
an	DT	an
incredible	JJ	incredible
team	NN	team
around	IN	around
me	PP	me
to	TO	to
help	VB	help
me	PP	me
with	IN	with
this	DT	this
task	NN	task
.	SENT	.
I	PP	I
assembled	VBD	assemble
this	DT	this
team	NN	team
of	IN	of
29	CD	@card@
people	NNS	people
from	IN	from
10	CD	@card@
nations	NNS	nation
.	SENT	.
Some	DT	some
people	NNS	people
think	VBP	think
that	IN	that
swimming	NN	swimming
is	VBZ	be
a	DT	a
very	RB	very
solo	JJ	solo
sport	NN	sport
,	,	,
you	PP	you
just	RB	just
dive	VBP	dive
into	IN	into
the	DT	the
sea	NN	sea
and	CC	and
off	RB	off
you	PP	you
go	VBP	go
.	SENT	.
It	PP	it
couldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
further	JJR	further
from	IN	from
the	DT	the
truth	NN	truth
for	IN	for
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
then	RB	then
went	VBD	go
and	CC	and
did	VBD	do
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
training	NN	training
,	,	,
swimming	VBG	swim
in	IN	in
icy	JJ	icy
water	NN	water
,	,	,
backwards	JJ	backwards
and	CC	and
forwards	RB	forwards
.	SENT	.
But	CC	but
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
was	VBD	be
to	TO	to
train	VB	train
my	PP$	my
mind	NN	mind
to	TO	to
prepare	VB	prepare
myself	PP	myself
for	IN	for
what	WP	what
was	VBD	be
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
to	TO	to
visualize	VB	visualize
the	DT	the
swim	NN	swim
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
see	VB	see
it	PP	it
from	IN	from
the	DT	the
beginning	VBG	begin
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
end	NN	end
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
taste	VB	taste
the	DT	the
salt	NN	salt
water	NN	water
in	IN	in
my	PP$	my
mouth	NN	mouth
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
see	VB	see
my	PP$	my
coach	NN	coach
screaming	VBG	scream
for	IN	for
me	PP	me
,	,	,
"	''	"
Come	VBN	come
on	IN	on
Lewis	NP	Lewis
!	SENT	!
Come	VBN	come
on	IN	on
!	SENT	!
Go	VB	go
!	SENT	!
Go	VB	go
!	SENT	!
Go	VB	go
!	SENT	!
Don	NP	Don
'	POS	'
t	NN	t
slow	VB	slow
down	RP	down
!	SENT	!
"	''	"
And	CC	and
so	RB	so
I	PP	I
literally	RB	literally
swam	VBD	swim
across	IN	across
the	DT	the
North	JJ	North
Pole	NN	Pole
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
times	NNS	time
in	IN	in
my	PP$	my
mind	NN	mind
.	SENT	.
And	CC	and
then	RB	then
,	,	,
after	IN	after
a	DT	a
year	NN	year
of	IN	of
training	NN	training
,	,	,
I	PP	I
felt	VBD	feel
ready	JJ	ready
.	SENT	.
I	PP	I
felt	VBD	feel
confident	JJ	confident
that	IN	that
I	PP	I
could	MD	could
actually	RB	actually
do	VB	do
this	DT	this
swim	NN	swim
.	SENT	.
So	IN	so
myself	PP	myself
and	CC	and
the	DT	the
five	CD	five
members	NNS	member
of	IN	of
the	DT	the
team	NN	team
,	,	,
we	PP	we
hitched	VBD	hitch
a	DT	a
ride	NN	ride
on	IN	on
an	DT	an
icebreaker	NN	icebreaker
which	WDT	which
was	VBD	be
going	VBG	go
to	TO	to
the	DT	the
North	JJ	North
Pole	NN	Pole
.	SENT	.
And	CC	and
on	IN	on
day	NN	day
four	CD	four
,	,	,
we	PP	we
decided	VBD	decide
to	TO	to
just	RB	just
do	VB	do
a	DT	a
quick	JJ	quick
five	CD	five
minute	NN	minute
test	NN	test
swim	NN	swim
.	SENT	.
I	PP	I
had	VBD	have
never	RB	never
swum	VBN	swim
in	IN	in
water	NN	water
of	IN	of
minus	IN	minus
1	CD	@card@
.	SENT	.
7	CD	@card@
degrees	NNS	degree
before	RB	before
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
just	RB	just
impossible	JJ	impossible
to	TO	to
train	VB	train
in	IN	in
those	DT	those
types	NNS	type
of	IN	of
conditions	NNS	condition
.	SENT	.
So	RB	so
we	PP	we
stopped	VBD	stop
the	DT	the
ship	NN	ship
,	,	,
as	IN	as
you	PP	you
do	VBP	do
.	SENT	.
We	PP	we
all	RB	all
got	VBD	get
down	RP	down
onto	IN	onto
the	DT	the
ice	NN	ice
,	,	,
and	CC	and
I	PP	I
then	RB	then
got	VBD	get
into	IN	into
my	PP$	my
swimming	NN	swimming
costume	NN	costume
and	CC	and
I	PP	I
dived	VBD	dive
into	IN	into
the	DT	the
sea	NN	sea
.	SENT	.
I	PP	I
have	VBP	have
never	RB	never
in	IN	in
my	PP$	my
life	NN	life
felt	VBD	feel
anything	NN	anything
like	IN	like
that	DT	that
moment	NN	moment
.	SENT	.
I	PP	I
could	MD	could
barely	RB	barely
breathe	VB	breathe
.	SENT	.
I	PP	I
was	VBD	be
gasping	VBG	gasp
for	IN	for
air	NN	air
.	SENT	.
I	PP	I
was	VBD	be
hyperventilating	VBG	hyperventilate
so	RB	so
much	JJ	much
,	,	,
and	CC	and
within	IN	within
seconds	NNS	second
my	PP$	my
hands	NNS	hand
were	VBD	be
numb	JJ	numb
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
—	:	-
the	DT	the
paradox	NN	paradox
is	VBZ	be
that	IN	that
you	PP	you
'	POS	'
re	NN	re
in	IN	in
freezing	VBG	freeze
cold	JJ	cold
water	NN	water
,	,	,
but	CC	but
actually	RB	actually
you	PP	you
'	POS	'
re	NN	re
on	IN	on
fire	NN	fire
.	SENT	.
I	PP	I
swam	VBD	swim
as	RB	as
hard	RB	hard
as	IN	as
I	PP	I
could	MD	could
for	IN	for
five	CD	five
minutes	NNS	minute
.	SENT	.
I	PP	I
remember	VBP	remember
just	RB	just
trying	VBG	try
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
water	NN	water
.	SENT	.
I	PP	I
climbed	VBD	climb
out	RP	out
of	IN	of
the	DT	the
ice	NN	ice
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
taking	VBG	take
the	DT	the
goggles	NNS	goggle
off	IN	off
my	PP$	my
face	NN	face
and	CC	and
looking	VBG	look
down	RP	down
at	IN	at
my	PP$	my
hands	NNS	hand
in	IN	in
sheer	JJ	sheer
shock	NN	shock
,	,	,
because	IN	because
my	PP$	my
fingers	NNS	finger
had	VBD	have
swollen	VBN	swell
so	RB	so
much	JJ	much
that	IN	that
they	PP	they
were	VBD	be
like	IN	like
sausages	NNS	sausage
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
swollen	VBN	swell
so	RB	so
much	RB	much
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
close	VB	close
them	PP	them
.	SENT	.
What	WP	what
had	VBD	have
happened	VBN	happen
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
made	VBN	make
partially	RB	partially
of	IN	of
water	NN	water
,	,	,
and	CC	and
when	WRB	when
water	NN	water
freezes	VBZ	freeze
it	PP	it
expands	VBZ	expand
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
had	VBD	have
actually	RB	actually
happened	VBN	happen
is	VBZ	be
that	IN	that
the	DT	the
cells	NNS	cell
in	IN	in
my	PP$	my
fingers	NNS	finger
had	VBD	have
frozen	VBN	freeze
