Once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
,	,	,
the	DT	the
world	NN	world
was	VBD	be
a	DT	a
big	JJ	big
,	,	,
dysfunctional	JJ	dysfunctional
family	NN	family
.	SENT	.
It	PP	it
was	VBD	be
run	VBN	run
by	IN	by
the	DT	the
great	JJ	great
and	CC	and
powerful	JJ	powerful
parents	NNS	parent
,	,	,
and	CC	and
the	DT	the
people	NNS	people
were	VBD	be
helpless	JJ	helpless
and	CC	and
hopeless	JJ	hopeless
naughty	JJ	naughty
children	NNS	child
.	SENT	.
If	IN	if
any	DT	any
of	IN	of
the	DT	the
more	RBR	more
rowdier	JJR	rowdy
children	NNS	child
questioned	VBD	question
the	DT	the
authority	NN	authority
of	IN	of
the	DT	the
parents	NNS	parent
,	,	,
they	PP	they
were	VBD	be
scolded	VBN	scold
.	SENT	.
If	IN	if
they	PP	they
went	VBD	go
exploring	VBG	explore
into	IN	into
the	DT	the
parents	NNS	parent
'	POS	'
rooms	NNS	room
,	,	,
or	CC	or
even	RB	even
into	IN	into
the	DT	the
secret	JJ	secret
filing	NN	filing
cabinets	NNS	cabinet
,	,	,
they	PP	they
were	VBD	be
punished	VBN	punish
,	,	,
and	CC	and
told	VBD	tell
that	IN	that
for	IN	for
their	PP$	their
own	JJ	own
good	NN	good
they	PP	they
must	MD	must
never	RB	never
go	VB	go
in	IN	in
there	RB	there
again	RB	again
.	SENT	.
Then	RB	then
one	CD	one
day	NN	day
,	,	,
a	DT	a
man	NN	man
came	VBD	come
to	TO	to
town	NN	town
with	IN	with
boxes	NNS	box
and	CC	and
boxes	NNS	box
of	IN	of
secret	JJ	secret
documents	NNS	document
stolen	VBN	steal
from	IN	from
the	DT	the
parents	NNS	parent
'	POS	'
rooms	NNS	room
.	SENT	.
"	``	"
Look	VB	look
what	WP	what
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
hiding	VBG	hide
from	IN	from
you	PP	you
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
The	DT	the
children	NNS	child
looked	VBD	look
and	CC	and
were	VBD	be
amazed	VBN	amaze
.	SENT	.
There	EX	there
were	VBD	be
maps	NNS	map
and	CC	and
minutes	NNS	minute
from	IN	from
meetings	NNS	meeting
where	WRB	where
the	DT	the
parents	NNS	parent
were	VBD	be
slagging	VBG	slag
each	DT	each
other	JJ	other
off	RP	off
.	SENT	.
They	PP	they
behaved	VBD	behave
just	RB	just
like	IN	like
the	DT	the
children	NNS	child
.	SENT	.
And	CC	and
they	PP	they
made	VBD	make
mistakes	NNS	mistake
,	,	,
too	RB	too
,	,	,
just	RB	just
