Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Christiane	NP	Christiane
,	,	,
great	JJ	great
to	TO	to
have	VB	have
you	PP	you
here	RB	here
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
this	DT	this
amazing	JJ	amazing
viewpoint	NN	viewpoint
,	,	,
and	CC	and
perhaps	RB	perhaps
it	PP	it
'	POS	'
s	NN	S
fair	JJ	fair
to	TO	to
say	VB	say
that	IN	that
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
some	DT	some
alarming	JJ	alarming
developments	NNS	development
that	IN	that
you	PP	you
'	''	'
re	IN	re
seeing	VBG	see
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
alarmed	VBD	alarm
you	PP	you
most	RBS	most
?	SENT	?
Christiane	NP	Christiane
Amanpour	NP	<unknown>
:	:	:
Well	UH	well
,	,	,
just	RB	just
listening	VBG	listen
to	TO	to
the	DT	the
earlier	JJR	early
speakers	NNS	speaker
,	,	,
I	PP	I
can	MD	can
frame	VB	frame
it	PP	it
in	IN	in
what	WP	what
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
saying	VBG	say
:	:	:
climate	NN	climate
change	NN	change
,	,	,
for	IN	for
instance	NN	instance
—	:	-
cities	NNS	city
,	,	,
the	DT	the
threat	NN	threat
to	TO	to
our	PP$	our
environment	NN	environment
and	CC	and
our	PP$	our
lives	NNS	life
.	SENT	.
It	PP	it
basically	RB	basically
also	RB	also
boils	VBZ	boil
down	RP	down
to	TO	to
understanding	VBG	understand
the	DT	the
truth	NN	truth
and	CC	and
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
to	TO	to
the	DT	the
truth	NN	truth
of	IN	of
what	WP	what
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
in	IN	in
order	NN	order
to	TO	to
really	RB	really
be	VB	be
able	JJ	able
to	TO	to
solve	VB	solve
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
99	CD	@card@
