Two	CD	two
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
invited	VBN	invite
as	IN	as
an	DT	an
artist	NN	artist
to	TO	to
participate	VB	participate
in	IN	in
an	DT	an
exhibition	NN	exhibition
commemorating	VBG	commemorate
100	CD	@card@
years	NNS	year
of	IN	of
Islamic	JJ	Islamic
art	NN	art
in	IN	in
Europe	NP	Europe
.	SENT	.
The	DT	the
curator	NN	curator
had	VBD	have
only	RB	only
one	CD	one
condition	NN	condition
:	:	:
I	PP	I
had	VBD	have
to	TO	to
use	VB	use
the	DT	the
Arabic	JJ	Arabic
script	NN	script
for	IN	for
my	PP$	my
artwork	NN	artwork
.	SENT	.
Now	RB	now
,	,	,
as	IN	as
an	DT	an
artist	NN	artist
,	,	,
a	DT	a
woman	NN	woman
,	,	,
an	DT	an
Arab	JJ	Arab
,	,	,
or	CC	or
a	DT	a
human	JJ	human
being	JJ	being
living	NN	living
in	IN	in
the	DT	the
world	NN	world
in	IN	in
2010	CD	@card@
,	,	,
I	PP	I
only	RB	only
had	VBD	have
one	CD	one
thing	NN	thing
to	TO	to
say	VB	say
:	:	:
I	PP	I
wanted	VBD	want
to	TO	to
say	VB	say
no	RB	no
.	SENT	.
And	CC	and
in	IN	in
Arabic	NP	Arabic
,	,	,
to	TO	to
say	VB	say
"	``	"
no	UH	no
,	,	,
"	``	"
we	PP	we
say	VBP	say
"	``	"
no	UH	no
,	,	,
and	CC	and
a	DT	a
thousand	CD	thousand
times	NNS	time
no	RB	no
.	SENT	.
"	``	"
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
look	VB	look
for	IN	for
a	DT	a
thousand	CD	thousand
different	JJ	different
noes	NNS	no
.	SENT	.
on	IN	on
everything	NN	everything
ever	RB	ever
produced	VBN	produce
under	IN	under
Islamic	JJ	Islamic
or	CC	or
Arab	JJ	Arab
patronage	NN	patronage
in	IN	in
the	DT	the
past	JJ	past
1	CD	@card@
,	,	,
400	CD	@card@
years	NNS	year
,	,	,
from	IN	from
Spain	NP	Spain
to	TO	to
the	DT	the
borders	NNS	border
of	IN	of
China	NP	China
.	SENT	.
I	PP	I
collected	VBD	collect
my	PP$	my
findings	NNS	finding
in	IN	in
a	DT	a
book	NN	book
,	,	,
placed	VBD	place
them	PP	them
chronologically	RB	chronologically
,	,	,
stating	VBG	state
the	DT	the
name	NN	name
,	,	,
the	DT	the
patron	NN	patron
,	,	,
the	DT	the
medium	NN	medium
and	CC	and
the	DT	the
date	NN	date
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
book	NN	book
sat	VBD	sit
on	IN	on
a	DT	a
small	JJ	small
shelf	NN	shelf
next	JJ	next
to	TO	to
the	DT	the
installation	NN	installation
,	,	,
which	WDT	which
stood	VBD	stand
three	CD	three
by	IN	by
seven	CD	seven
meters	NNS	meter
,	,	,
in	IN	in
Munich	NP	Munich
,	,	,
Germany	NP	Germany
,	,	,
in	IN	in
September	NP	September
of	IN	of
2010	CD	@card@
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
January	NP	January
,	,	,
2011	CD	@card@
,	,	,
