Many	JJ	many
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
was	VBD	be
finishing	VBG	finish
college	NN	college
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
that	DT	that
,	,	,
"	''	"
so	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
next	JJ	next
?	SENT	?
"	''	"
phase	NN	phase
of	IN	of
life	NN	life
,	,	,
and	CC	and
I	PP	I
decided	VBD	decide
I	PP	I
wanted	VBD	want
to	TO	to
see	VB	see
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
all	DT	all
well	NN	well
and	CC	and
good	JJ	good
,	,	,
but	CC	but
to	TO	to
do	VB	do
that	IN	that
I	PP	I
needed	VBD	need
money	NN	money
and	CC	and
a	DT	a
job	NN	job
.	SENT	.
So	RB	so
I	PP	I
headed	VBD	head
off	RP	off
to	TO	to
my	PP$	my
college	NN	college
'	POS	'
s	JJ	<unknown>
advising	VBG	advise
center	NN	center
,	,	,
thumbed	VBN	thumb
through	IN	through
a	DT	a
Transitions	NNS	transition
Abroad	RB	abroad
magazine	NN	magazine
,	,	,
and	CC	and
there	RB	there
it	PP	it
was	VBD	be
.	SENT	.
It	PP	it
was	VBD	be
this	DT	this
ad	NN	ad
that	WDT	that
said	VBD	say
something	NN	something
like	IN	like
,	,	,
"	``	"
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
teach	VB	teach
English	JJ	English
abroad	RB	abroad
?	SENT	?
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
well	UH	well
,	,	,
if	IN	if
that	DT	that
'	''	'
ll	NNS	<unknown>
get	VBP	get
me	PP	me
abroad	RB	abroad
,	,	,
then	RB	then
yeah	RB	yeah
,	,	,
I	PP	I
guess	VBP	guess
perhaps	RB	perhaps
I	PP	I
do	VBP	do
.	SENT	.
"	''	"
So	RB	so
fast	RB	fast
forward	RB	forward
to	TO	to
several	JJ	several
months	NNS	month
later	RBR	later
,	,	,
I	PP	I
had	VBD	have
a	DT	a
fellowship	NN	fellowship
and	CC	and
I	PP	I
was	VBD	be
off	RP	off
to	TO	to
Finland	NP	Finland
for	IN	for
a	DT	a
year	NN	year
to	TO	to
teach	VB	teach
English	JJ	English
to	TO	to
elementary	JJ	elementary
school	NN	school
students	NNS	student
.	SENT	.
Now	RB	now
,	,	,
before	IN	before
I	PP	I
got	VBD	get
to	TO	to
Finland	NP	Finland
,	,	,
I	PP	I
already	RB	already
knew	VBD	know
that	IN	that
it	PP	it
was	VBD	be
a	DT	a
really	RB	really
cool	JJ	cool
place	NN	place
,	,	,
but	CC	but
what	WP	what
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
realize	VBP	realize
was	VBD	be
how	WRB	how
linguistically	RB	linguistically
diverse	JJ	diverse
a	DT	a
place	NN	place
it	PP	it
was	VBD	be
.	SENT	.
Because	IN	because
I	PP	I
was	VBD	be
on	IN	on
my	PP$	my
way	NN	way
to	TO	to
teach	VB	teach
elementary	JJ	elementary
school	NN	school
students	NNS	student
English	JJ	English
,	,	,
but	CC	but
those	DT	those
