How	WRB	how
do	VBP	do
you	PP	you
find	VB	find
a	DT	a
dinosaur	NN	dinosaur
?	SENT	?
Sounds	NNS	sound
impossible	JJ	impossible
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
And	CC	and
the	DT	the
answer	NN	answer
relies	VBZ	rely
on	IN	on
a	DT	a
formula	NN	formula
that	IN	that
all	DT	all
paleontologists	NNS	paleontologist
use	VBP	use
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
secret	NN	secret
.	SENT	.
First	RB	first
,	,	,
find	VB	find
rocks	NNS	rock
of	IN	of
the	DT	the
right	JJ	right
age	NN	age
.	SENT	.
Second	RB	second
,	,	,
those	DT	those
rocks	NNS	rock
must	MD	must
be	VB	be
sedimentary	JJ	sedimentary
rocks	NNS	rock
.	SENT	.
And	CC	and
third	JJ	third
,	,	,
layers	NNS	layer
of	IN	of
those	DT	those
rocks	NNS	rock
must	MD	must
be	VB	be
naturally	RB	naturally
exposed	VBN	expose
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
Find	VB	find
those	DT	those
three	CD	three
things	NNS	thing
and	CC	and
get	VB	get
yourself	PP	yourself
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
chances	NNS	chance
are	VBP	be
good	JJ	good
that	IN	that
you	PP	you
will	MD	will
find	VB	find
fossils	NNS	fossil
.	SENT	.
Now	RB	now
let	VB	let
me	PP	me
break	VB	break
down	RP	down
this	DT	this
formula	NN	formula
.	SENT	.
Organisms	NNS	organism
exist	VBP	exist
only	RB	only
during	IN	during
certain	JJ	certain
geological	JJ	geological
intervals	NNS	interval
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
find	VB	find
rocks	NNS	rock
of	IN	of
the	DT	the
right	JJ	right
age	NN	age
,	,	,
depending	VBG	depend
on	IN	on
what	WP	what
your	PP$	your
interests	NNS	interest
are	VBP	be
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
find	VB	find
trilobites	NNS	trilobite
,	,	,
you	PP	you
have	VBP	have
to	TO	to
find	VB	find
the	DT	the
really	RB	really
,	,	,
really	RB	really
old	JJ	old
rocks	NNS	rock
of	IN	of
the	DT	the
Paleozoic	JJ	Paleozoic
—	:	-
rocks	NNS	rock
between	IN	between
a	DT	a
half	NN	half
a	DT	a
billion	NNS	billion
and	CC	and
a	DT	a
quarter-billion	NN	quarter-billion
years	NNS	year
old	JJ	old
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
find	VB	find
dinosaurs	NNS	dinosaur
,	,	,
don	NN	don
'	POS	'
t	NN	t
look	NN	look
in	IN	in
the	DT	the
Paleozoic	NP	<unknown>
,	,	,
you	PP	you
won	VBD	win
'	''	'
t	NN	t
find	VB	find
them	PP	them
.	SENT	.
They	PP	they
hadn	NNS	<unknown>
'	POS	'
t	NN	t
evolved	VBD	evolve
yet	RB	yet
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
find	VB	find
the	DT	the
younger	JJR	young
rocks	NNS	rock
of	IN	of
the	DT	the
Mesozoic	JJ	Mesozoic
,	,	,
and	CC	and
in	IN	in
the	DT	the
case	NN	case
of	IN	of
dinosaurs	NNS	dinosaur
,	,	,
between	IN	between
235	CD	@card@
and	CC	and
66	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
fairly	RB	fairly
easy	JJ	easy
to	TO	to
find	VB	find
rocks	NNS	rock
of	IN	of
the	DT	the
right	JJ	right
age	NN	age
at	IN	at
this	DT	this
point	NN	point
,	,	,
because	IN	because
the	DT	the
Earth	NN	earth
is	VBZ	be
,	,	,
to	TO	to
a	DT	a
coarse	JJ	coarse
degree	NN	degree
,	,	,
geologically	RB	geologically
mapped	VBN	map
.	SENT	.
This	DT	this
is	VBZ	be
hard-won	VBN	hard-win
information	NN	information
.	SENT	.
The	DT	the
annals	NN	annals
of	IN	of
Earth	NP	Earth
history	NN	history
are	VBP	be
written	VBN	write
in	IN	in
rocks	NNS	rock
,	,	,
one	CD	one
chapter	NN	chapter
upon	IN	upon
the	DT	the
next	JJ	next
,	,	,
such	JJ	such
that	IN	that
the	DT	the
oldest	JJS	old
pages	NNS	page
are	VBP	be
on	IN	on
bottom	NN	bottom
and	CC	and
the	DT	the
youngest	JJS	young
on	IN	on
top	NN	top
.	SENT	.
Now	RB	now
,	,	,
were	VBD	be
it	PP	it
quite	RB	quite
that	IN	that
easy	RB	easy
,	,	,
geologists	NNS	geologist
would	MD	would
rejoice	VB	rejoice
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
The	DT	the
library	NN	library
of	IN	of
Earth	NP	Earth
is	VBZ	be
an	DT	an
old	JJ	old
one	CD	one
.	SENT	.
It	PP	it
has	VBZ	have
no	DT	no
librarian	NN	librarian
to	TO	to
impose	VB	impose
order	NN	order
.	SENT	.
Operating	VBG	operate
over	IN	over
vast	JJ	vast
swaths	NNS	swath
of	IN	of
time	NN	time
,	,	,
myriad	JJ	myriad
geological	JJ	geological
processes	NNS	process
offer	VBP	offer
every	DT	every
possible	JJ	possible
insult	NN	insult
to	TO	to
the	DT	the
rocks	NNS	rock
of	IN	of
ages	NNS	age
.	SENT	.
Most	JJS	most
pages	NNS	page
are	VBP	be
destroyed	VBN	destroy
soon	RB	soon
after	IN	after
being	VBG	be
written	VBN	write
.	SENT	.
Some	DT	some
pages	NNS	page
are	VBP	be
overwritten	VBN	overwrite
,	,	,
creating	VBG	create
difficult-to-decipher	NN	difficult-to-decipher
palimpsests	NNS	palimpsest
of	IN	of
long-gone	JJ	long-gone
landscapes	NNS	landscape
.	SENT	.
Pages	NNS	page
that	WDT	that
do	VBP	do
find	VB	find
sanctuary	NN	sanctuary
under	IN	under
the	DT	the
advancing	VBG	advance
sands	NNS	sand
of	IN	of
time	NN	time
are	VBP	be
never	RB	never
truly	RB	truly
safe	JJ	safe
.	SENT	.
Unlike	IN	unlike
the	DT	the
Moon	NN	moon
—	:	-
our	PP$	our
dead	JJ	dead
,	,	,
rocky	JJ	rocky
