Cloe	NP	Cloe
Shasha	NP	<unknown>
Brooks	NP	Brooks
:	:	:
Elias	NP	Elias
,	,	,
thank	VBP	thank
you	PP	you
for	IN	for
joining	VBG	join
us	PP	us
.	SENT	.
Elias	NP	Elias
Weiss	NP	Weiss
Friedman	NP	Friedman
:	:	:
It	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
honor	NN	honor
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
CSB	NP	CSB
:	:	:
You	PP	you
have	VBP	have
a	DT	a
very	RB	very
popular	JJ	popular
platform	NN	platform
,	,	,
The	DT	the
Dogist	NN	<unknown>
.	SENT	.
On	IN	on
Instagram	NP	<unknown>
alone	RB	alone
,	,	,
you	PP	you
have	VBP	have
7	CD	@card@
.	SENT	.
6	CD	@card@
million	CD	million
followers	NNS	follower
,	,	,
so	RB	so
you	PP	you
bring	VBP	bring
a	DT	a
lot	NN	lot
of	IN	of
joy	NN	joy
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
in	IN	in
your	PP$	your
photographing	VBG	photograph
of	IN	of
dogs	NNS	dog
,	,	,
you	PP	you
also	RB	also
tell	VBP	tell
stories	NNS	story
in	IN	in
the	DT	the
caption	NN	caption
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
noticed	VBD	notice
a	DT	a
theme	NN	theme
throughout	IN	throughout
these	DT	these
captions	NNS	caption
about	IN	about
the	DT	the
deep	JJ	deep
love	NN	love
people	NNS	people
have	VBP	have
for	IN	for
their	PP$	their
dogs	NNS	dog
,	,	,
sometimes	RB	sometimes
in	IN	in
ways	NNS	way
that	WDT	that
seem	VBP	seem
to	TO	to
exceed	VB	exceed
the	DT	the
love	NN	love
they	PP	they
might	MD	might
even	RB	even
have	VB	have
for	IN	for
people	NNS	people
.	SENT	.
Can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
about	IN	about
the	DT	the
uniqueness	NN	uniqueness
of	IN	of
the	DT	the
relationship	NN	relationship
between	IN	between
dogs	NNS	dog
and	CC	and
people	NNS	people
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
noticed	VBD	notice
?	SENT	?
EWF	NN	EWF
:	:	:
Yeah	RB	yeah
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
photographed	VBD	photograph
something	NN	something
like	IN	like
50	CD	@card@
,	,	,
000	CD	@card@
dogs	NNS	dog
in	IN	in
the	DT	the
last	JJ	last
11	CD	@card@
years	NNS	year
,	,	,
all	RB	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
mostly	RB	mostly
in	IN	in
New	NP	New
York	NP	York
.	SENT	.
But	CC	but
one	CD	one
of	IN	of
the	DT	the
sentiments	NNS	sentiment
and	CC	and
stories	NNS	story
I	PP	I
hear	VBP	hear
most	RBS	most
often	RB	often
is	VBZ	be
this	DT	this
idea	NN	idea
of	IN	of
,	,	,
like	VB	like
,	,	,
unconditional	JJ	unconditional
love	NN	love
.	SENT	.
And	CC	and
the	DT	the
common	JJ	common
thing	NN	thing
is	VBZ	be
,	,	,
like	VB	like
,	,	,
"	''	"
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
hard	JJ	hard
day	NN	day
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
stressed	VBD	stress
out	RP	out
,	,	,
someone	NN	someone
cut	VBD	cut
me	PP	me
off	RP	off
in	IN	in
traffic	NN	traffic
.	SENT	.
And	CC	and
I	PP	I
come	VBP	come
home	NN	home
,	,	,
and	CC	and
my	PP$	my
dog	NN	dog
is	VBZ	be
looking	VBG	look
at	IN	at
me	PP	me
like	IN	like
this	DT	this
,	,	,
and	CC	and
it	PP	it
all	RB	all
washes	VBZ	wash
away	RB	away
.	SENT	.
"	''	"
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
,	,	,
like	VB	like
,	,	,
a	DT	a
really	RB	really
powerful	JJ	powerful
thing	NN	thing
.	SENT	.
And	CC	and
dogs	NNS	dog
are	VBP	be
so	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
generous	JJ	generous
with	IN	with
their	PP$	their
love	NN	love
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
also	RB	also
really	RB	really
generous	JJ	generous
with	IN	with
their	PP$	their
eye	NN	eye
contact	NN	contact
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
that	IN	that
'	POS	'
s	JJ	<unknown>
something	NN	something
I	PP	I
try	VBP	try
and	CC	and
capture	VBP	capture
,	,	,
this	DT	this
directness	NN	directness
.	SENT	.
But	CC	but
like	IN	like
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
more	RBR	more
simple	JJ	simple
relationship	NN	relationship
than	IN	than
we	PP	we
have	VBP	have
with	IN	with
people	NNS	people
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
I	PP	I
come	VBP	come
home	NN	home
,	,	,
Elsa	NP	Elsa
is	VBZ	be
there	RB	there
to	TO	to
greet	VB	greet
me	PP	me
,	,	,
and	CC	and
she	PP	she
wants	VBZ	want
a	DT	a
belly	NN	belly
rub	NN	rub
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
Sam	NP	Sam
,	,	,
my	PP$	my
fiancé	NN	fiancé
,	,	,
is	VBZ	be
also	RB	also
there	RB	there
to	TO	to
greet	VB	greet
me	PP	me
.	SENT	.
And	CC	and
generally	RB	generally
,	,	,
she	PP	she
goes	VBZ	go
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
honey	NN	honey
.	SENT	.
"	''	"
But	CC	but
maybe	RB	maybe
she	PP	she
'	POS	'
s	NN	S
had	VBD	have
a	DT	a
day	NN	day
or	CC	or
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
left	VBD	leave
the	DT	the
towel	NN	towel
on	IN	on
the	DT	the
bed	NN	bed
again	RB	again
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
as	RB	as
simple	JJ	simple
as	IN	as
it	PP	it
is	VBZ	be
with	IN	with
the	DT	the
dog	NN	dog
,	,	,
who	WP	who
just	RB	just
looks	VBZ	look
at	IN	at
you	PP	you
like	VBP	like
this	DT	this
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
dog	NN	dog
,	,	,
Elsa	NP	Elsa
.	SENT	.
She	NN	she
'	POS	'
