How	WRB	how
much	JJ	much
money	NN	money
do	VBP	do
we	PP	we
need	VBP	need
in	IN	in
order	NN	order
to	TO	to
remove	VB	remove
a	DT	a
significant	JJ	significant
amount	NN	amount
of	IN	of
carbon	NN	carbon
dioxide	NN	dioxide
out	IN	out
of	IN	of
our	PP$	our
atmosphere	NN	atmosphere
?	SENT	?
And	CC	and
what	WP	what
are	VBP	be
the	DT	the
mechanisms	NNS	mechanism
that	IN	that
we	PP	we
should	MD	should
use	VB	use
to	TO	to
spend	VB	spend
all	DT	all
of	IN	of
that	DT	that
money	NN	money
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
the	DT	the
head	NN	head
of	IN	of
sustainability	NN	sustainability
at	IN	at
Shopify	NP	<unknown>
,	,	,
a	DT	a
company	NN	company
you	PP	you
may	MD	may
not	RB	not
know	VB	know
but	CC	but
you	PP	you
might	MD	might
interact	VB	interact
with	IN	with
every	DT	every
day	NN	day
because	IN	because
our	PP$	our
technology	NN	technology
powers	NNS	power
millions	NNS	million
of	IN	of
online	JJ	online
retailers	NNS	retailer
.	SENT	.
In	IN	in
2019	CD	@card@
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
become	VB	become
a	DT	a
carbon-neutral	JJ	carbon-neutral
company	NN	company
and	CC	and
be	VB	be
accountable	JJ	accountable
for	IN	for
all	DT	all
of	IN	of
our	PP$	our
historical	JJ	historical
emissions	NNS	emission
.	SENT	.
Instead	RB	instead
of	IN	of
buying	VBG	buy
typical	JJ	typical
,	,	,
traditional	JJ	traditional
carbon	NN	carbon
offsets	NNS	offset
that	WDT	that
simply	RB	simply
pay	VBP	pay
someone	NN	someone
else	RB	else
to	TO	to
not	RB	not
pollute	VB	pollute
as	RB	as
much	RB	much
as	IN	as
we	PP	we
already	RB	already
had	VBD	have
,	,	,
we	PP	we
actually	RB	actually
wanted	VBD	want
to	TO	to
delete	VB	delete
our	PP$	our
emissions	NNS	emission
.	SENT	.
It	PP	it
quickly	RB	quickly
became	VBD	become
obvious	JJ	obvious
that	IN	that
carbon	NN	carbon
removal	NN	removal
,	,	,
those	DT	those
solutions	NNS	solution
that	WDT	that
pull	VBP	pull
carbon	NN	carbon
dioxide	NN	dioxide
out	IN	out
of	IN	of
the	DT	the
atmosphere	NN	atmosphere
and	CC	and
store	VB	store
it	PP	it
safely	RB	safely
,	,	,
were	VBD	be
very	RB	very
expensive	JJ	expensive
and	CC	and
in	IN	in
short	JJ	short
supply	NN	supply
