Simone	NP	Simone
Ross	NP	Ross
:	:	:
Jack	NP	Jack
,	,	,
I	PP	I
would	MD	would
love	VB	love
you	PP	you
to	TO	to
tell	VB	tell
us	PP	us
what	WP	what
Esri	NP	<unknown>
is	VBZ	be
and	CC	and
also	RB	also
why	WRB	why
GIS	NP	GIS
is	VBZ	be
so	RB	so
important	JJ	important
.	SENT	.
Jack	NP	Jack
Dangermond	NP	Dangermond
:	:	:
So	RB	so
it	PP	it
is	VBZ	be
a	DT	a
company	NN	company
,	,	,
it	PP	it
builds	VBZ	build
software	NN	software
products	NNS	product
that	WDT	that
are	VBP	be
used	VBN	use
by	IN	by
millions	NNS	million
of	IN	of
people	NNS	people
.	SENT	.
Kind	NN	kind
of	IN	of
like	IN	like
a	DT	a
platform	NN	platform
technology	NN	technology
,	,	,
but	CC	but
not	RB	not
literally	RB	literally
platform	NN	platform
.	SENT	.
It	PP	it
builds	VBZ	build
tools	NNS	tool
that	WDT	that
help	VBP	help
people	NNS	people
do	VBP	do
their	PP$	their
work	NN	work
better	RBR	well
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
general	JJ	general
statement	NN	statement
,	,	,
but	CC	but
helps	VBZ	help
them	PP	them
do	VBP	do
their	PP$	their
work	NN	work
better	RBR	well
using	VBG	use
geography	NN	geography
as	IN	as
a	DT	a
science	NN	science
and	CC	and
visualization	NN	visualization
as	IN	as
a	DT	a
science	NN	science
and	CC	and
technology	NN	technology
to	TO	to
help	VB	help
them	PP	them
make	VB	make
better	JJR	good
decisions	NNS	decision
,	,	,
or	CC	or
help	VB	help
them	PP	them
be	VB	be
more	RBR	more
efficient	JJ	efficient
or	CC	or
help	VB	help
them	PP	them
communicate	VB	communicate
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
better	VB	better
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
mapping	NN	mapping
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
way	NN	way
normal	JJ	normal
people	NNS	people
would	MD	would
think	VB	think
of	IN	of
it	PP	it
as	IN	as
map-making	NN	map-making
.	SENT	.
So	IN	so
this	DT	this
organization	NN	organization
has	VBZ	have
350	CD	@card@
,	,	,
000	CD	@card@
organizations	NNS	organization
that	WDT	that
we	PP	we
support	VBP	support
.	SENT	.
They	PP	they
'	''	'
re	IN	re
our	PP$	our
customers	NNS	customer
,	,	,
you	PP	you
might	MD	might
say	VB	say
.	SENT	.
And	CC	and
they	PP	they
range	VBP	range
from	IN	from
NGOs	NNS	Ngo
,	,	,
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
them	PP	them
,	,	,
working	VBG	work
in	IN	in
conservation	NN	conservation
or	CC	or
humanitarian	JJ	humanitarian
affairs	NNS	affair
,	,	,
to	TO	to
large	JJ	large
corporations	NNS	corporation
,	,	,
but	CC	but
our	PP$	our
majority	NN	majority
of	IN	of
users	NNS	user
are	VBP	be
in	IN	in
the	DT	the
public	JJ	public
sector	NN	sector
,	,	,
in	IN	in
cities	NNS	city
and	CC	and
counties	NNS	county
,	,	,
in	IN	in
national	JJ	national
government	NN	government
agencies	NNS	agency
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
basically	RB	basically
running	VBG	run
the	DT	the
world	NN	world
,	,	,
that	WDT	that
'	POS	'
