Meet	NP	Meet
Inook	NP	<unknown>
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
happy	JJ	happy
guy	NN	guy
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
be	VB	be
pretty	RB	pretty
happy	JJ	happy
,	,	,
too	RB	too
,	,	,
if	IN	if
this	DT	this
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
my	PP$	my
community	NN	community
had	VBD	have
just	RB	just
gained	VBN	gain
access	NN	access
to	TO	to
fresh	JJ	fresh
water	NN	water
.	SENT	.
Inook	NP	<unknown>
is	VBZ	be
from	IN	from
the	DT	the
country	NN	country
of	IN	of
Malawi	NP	Malawi
,	,	,
the	DT	the
small	JJ	small
sliver	NN	sliver
of	IN	of
a	DT	a
country	NN	country
in	IN	in
Southern	NP	Southern
Africa	NP	Africa
,	,	,
known	VBN	know
as	IN	as
"	``	"
The	DT	the
Warm	NP	Warm
Heart	NP	Heart
of	IN	of
Africa	NP	Africa
.	SENT	.
"	``	"
Over	IN	over
the	DT	the
past	JJ	past
10	CD	@card@
years	NNS	year
,	,	,
five	CD	five
million	CD	million
more	JJR	more
people	NNS	people
like	IN	like
Inook	NP	<unknown>
in	IN	in
Malawi	NP	Malawi
have	VBP	have
gained	VBN	gain
access	NN	access
to	TO	to
fresh	JJ	fresh
water	NN	water
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
unfortunate	NN	unfortunate
is	VBZ	be
that	IN	that
this	DT	this
picture	NN	picture
is	VBZ	be
a	DT	a
lie	NN	lie
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
come	VBP	come
back	RB	back
to	TO	to
that	DT	that
in	IN	in
a	DT	a
second	NN	second
.	SENT	.
Ten	CD	ten
years	NNS	year
ago	RB	ago
,	,	,
two	CD	two
Waterloo	NP	Waterloo
engineers	NNS	engineer
sparked	VBD	spark
a	DT	a
movement	NN	movement
across	IN	across
Canada	NP	Canada
,	,	,
"	``	"
Engineers	NPS	Engineers
Without	IN	without
Borders	NP	Borders
.	SENT	.
"	``	"
This	DT	this
movement	NN	movement
was	VBD	be
based	VBN	base
on	IN	on
the	DT	the
concept	NN	concept
that	IN	that
it	PP	it
was	VBD	be
completely	RB	completely
unacceptable	JJ	unacceptable
that	IN	that
5	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
Malawi	NP	Malawi
did	VBD	do
not	RB	not
have	VB	have
access	NN	access
to	TO	to
fresh	JJ	fresh
water	NN	water
,	,	,
when	WRB	when
us	PP	us
engineers	VBZ	engineer
back	RB	back
in	IN	in
Canada	NP	Canada
were	VBD	be
working	VBG	work
on	IN	on
problems	NNS	problem
such	JJ	such
as	IN	as
making	VBG	make
a	DT	a
photocopier	NN	photocopier
increase	VB	increase
its	PP$	its
speed	NN	speed
from	IN	from
149	CD	@card@
pages	NNS	page
a	DT	a
minute	NN	minute
to	TO	to
151	CD	@card@
pages	NNS	page
per	IN	per
minute	NN	minute
.	SENT	.
We	PP	we
needed	VBD	need
to	TO	to
work	VB	work
on	IN	on
problems	NNS	problem
that	WDT	that
mattered	VBD	matter
.	SENT	.
I	PP	I
was	VBD	be
fortunate	JJ	fortunate
,	,	,
I	PP	I
founded	VBD	found
the	DT	the
Calgary	NP	Calgary
chapter	NN	chapter
here	RB	here
.	SENT	.
I	PP	I
got	VBD	get
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
director	NN	director
of	IN	of
overseas	JJ	overseas
programs	NNS	program
for	IN	for
Engineers	NNS	engineer
Without	IN	without
Borders	NP	Borders
in	IN	in
Africa	NP	Africa
,	,	,
where	WRB	where
I	PP	I
worked	VBD	work
for	IN	for
four	CD	four
years	NNS	year
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
to	TO	to
work	VB	work
with	IN	with
hundreds	NNS	hundred
of	IN	of
businesses	NNS	business
,	,	,
non-government	NN	non-government
organizations	NNS	organization
,	,	,
governments	NNS	government
,	,	,
all	DT	all
working	NN	working
in	IN	in
this	DT	this
field	NN	field
of	IN	of
development	NN	development
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
fantastic	JJ	fantastic
working	NN	working
for	IN	for
Engineers	NNS	engineer
Without	IN	without
Borders	NP	Borders
because	IN	because
even	RB	even
though	IN	though
we	PP	we
worked	VBD	work
on	IN	on
hundred-million-dollar	NN	hundred-million-dollar
projects	NNS	project
,	,	,
we	PP	we
had	VBD	have
this	DT	this
philosophy	NN	philosophy
that	IN	that
if	IN	if
we	PP	we
were	VBD	be
really	RB	really
going	VBG	go
to	TO	to
understand	VB	understand
the	DT	the
problems	NNS	problem
in	IN	in
local	JJ	local
Africa	NP	Africa
,	,	,
we	PP	we
needed	VBD	need
to	TO	to
live	VB	live
like	IN	like
local	JJ	local
Africans	NNS	African
.	SENT	.
So	RB	so
,	,	,
as	IN	as
a	DT	a
lot	NN	lot
of	IN	of
ex-patriots	NNS	ex-patriot
would	MD	would
spend	VB	spend
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
in	IN	in
the	DT	the
capital	NN	capital
cities	NNS	city
and	CC	and
