Hi	UH	hi
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
today	NN	today
about	IN	about
laughter	NN	laughter
,	,	,
and	CC	and
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
start	VB	start
by	IN	by
thinking	VBG	think
about	IN	about
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
can	MD	can
ever	RB	ever
remember	VB	remember
noticing	VBG	notice
laughter	NN	laughter
.	SENT	.
This	DT	this
is	VBZ	be
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
little	JJ	little
girl	NN	girl
.	SENT	.
I	PP	I
would	MD	would
'	''	'
ve	RB	<unknown>
been	VBN	be
about	IN	about
six	CD	six
.	SENT	.
And	CC	and
I	PP	I
came	VBD	come
across	IN	across
my	PP$	my
parents	NNS	parent
doing	VBG	do
something	NN	something
unusual	JJ	unusual
,	,	,
where	WRB	where
they	PP	they
were	VBD	be
laughing	VBG	laugh
.	SENT	.
They	PP	they
were	VBD	be
laughing	VBG	laugh
very	RB	very
,	,	,
very	RB	very
hard	JJ	hard
.	SENT	.
They	PP	they
were	VBD	be
lying	VBG	lie
on	IN	on
the	DT	the
floor	NN	floor
laughing	VBG	laugh
.	SENT	.
They	PP	they
were	VBD	be
screaming	VBG	scream
with	IN	with
laughter	NN	laughter
.	SENT	.
I	PP	I
did	VBD	do
not	RB	not
know	VB	know
what	WP	what
they	PP	they
were	VBD	be
laughing	VBG	laugh
at	IN	at
,	,	,
but	CC	but
I	PP	I
wanted	VBD	want
in	IN	in
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
part	NN	part
of	IN	of
that	DT	that
,	,	,
and	CC	and
I	PP	I
kind	NN	kind
of	IN	of
sat	VBN	sit
around	RP	around
at	IN	at
the	DT	the
edge	NN	edge
going	VBG	go
,	,	,
"	''	"
Hoo	NP	Hoo
hoo	NP	Hoo
!	SENT	!
"	''	"
Now	RB	now
,	,	,
incidentally	RB	incidentally
,	,	,
what	WP	what
they	PP	they
were	VBD	be
laughing	VBG	laugh
at	IN	at
was	VBD	be
a	DT	a
song	NN	song
which	WDT	which
people	NNS	people
used	VBD	use
to	TO	to
sing	VB	sing
,	,	,
which	WDT	which
was	VBD	be
based	VBN	base
around	IN	around
signs	NNS	sign
in	IN	in
toilets	NNS	toilet
on	IN	on
trains	NNS	train
telling	VBG	tell
you	PP	you
what	WP	what
you	PP	you
could	MD	could
and	CC	and
could	MD	could
not	RB	not
do	VB	do
in	IN	in
toilets	NNS	toilet
on	IN	on
trains	NNS	train
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
you	PP	you
have	VBP	have
to	TO	to
remember	VB	remember
about	IN	about
the	DT	the
English	JJ	English
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
we	PP	we
do	VBP	do
have	VB	have
an	DT	an
immensely	RB	immensely
sophisticated	JJ	sophisticated
sense	NN	sense
of	IN	of
humor	NN	humor
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
,	,	,
though	RB	though
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
anything	NN	anything
of	IN	of
that	DT	that
.	SENT	.
I	PP	I
just	RB	just
cared	VBD	care
about	IN	about
the	DT	the
laughter	NN	laughter
,	,	,
and	CC	and
actually	RB	actually
,	,	,
as	IN	as
a	DT	a
neuroscientist	NN	neuroscientist
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
care	VB	care
about	IN	about
it	PP	it
again	RB	again
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
a	DT	a
really	RB	really
weird	JJ	weird
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
now	RB	now
is	VBZ	be
just	RB	just
play	VB	play
some	DT	some
examples	NNS	example
of	IN	of
real	JJ	real
human	JJ	human
beings	NNS	being
laughing	VBG	laugh
,	,	,
and	CC	and
I	PP	I
want	VBP	want
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
sound	JJ	sound
people	NNS	people
make	VBP	make
and	CC	and
how	WRB	how
odd	JJ	odd
that	DT	that
can	MD	can
be	VB	be
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
how	WRB	how
primitive	JJ	primitive
laughter	NN	laughter
is	VBZ	be
as	RB	as
a	DT	a
sound	NN	sound
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
like	IN	like
an	DT	an
animal	JJ	animal
call	NN	call
than	IN	than
it	PP	it
is	VBZ	be
like	IN	like
speech	NN	speech
.	SENT	.
So	RB	so
here	RB	here
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
some	DT	some
laughter	NN	laughter
for	IN	for
you	PP	you
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
is	VBZ	be
pretty	RB	pretty
joyful	JJ	joyful
.	SENT	.
Now	RB	now
this	DT	this
next	JJ	next
guy	NN	guy
,	,	,
I	PP	I
need	VBP	need
him	PP	him
to	TO	to
breathe	VB	breathe
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
