Pat	NP	Pat
Mitchell	NP	Mitchell
:	:	:
What	WP	what
is	VBZ	be
the	DT	the
story	NN	story
of	IN	of
this	DT	this
pin	NN	pin
?	SENT	?
Madeleine	NP	Madeleine
Albright	NP	Albright
:	:	:
This	DT	this
is	VBZ	be
"	``	"
Breaking	VBG	break
the	DT	the
Glass	NP	Glass
Ceiling	NN	ceiling
.	SENT	.
"	''	"
PM	NP	PM
:	:	:
Oh	UH	oh
.	SENT	.
That	DT	that
was	VBD	be
well	RB	well
chosen	VBN	choose
,	,	,
I	PP	I
would	MD	would
say	VB	say
,	,	,
for	IN	for
TEDWomen	NP	TEDWomen
.	SENT	.
MA	NN	ma
:	:	:
Most	RBS	most
of	IN	of
the	DT	the
time	NN	time
I	PP	I
spend	VBP	spend
when	WRB	when
I	PP	I
get	VBP	get
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
is	VBZ	be
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
And	CC	and
none	NN	none
of	IN	of
this	DT	this
pin	NN	pin
stuff	NN	stuff
would	MD	would
have	VB	have
happened	VBN	happen
if	IN	if
it	PP	it
hadn	NN	<unknown>
'	POS	'
t	NN	t
been	VBN	be
for	IN	for
Saddam	NP	Saddam
Hussein	NP	Hussein
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
tell	VB	tell
you	PP	you
what	WP	what
happened	VBN	happen
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
as	IN	as
an	DT	an
ambassador	NN	ambassador
,	,	,
and	CC	and
it	PP	it
was	VBD	be
after	IN	after
the	DT	the
Gulf	NP	Gulf
War	NP	War
,	,	,
and	CC	and
I	PP	I
was	VBD	be
an	DT	an
instructed	VBN	instruct
ambassador	NN	ambassador
.	SENT	.
And	CC	and
the	DT	the
cease-fire	NN	cease-fire
had	VBD	have
been	VBN	be
translated	VBN	translate
into	IN	into
a	DT	a
series	NN	series
of	IN	of
sanctions	NNS	sanction
resolutions	NNS	resolution
,	,	,
and	CC	and
my	PP$	my
instructions	NNS	instruction
were	VBD	be
to	TO	to
say	VB	say
perfectly	RB	perfectly
terrible	JJ	terrible
things	NNS	thing
about	IN	about
Saddam	NP	Saddam
Hussein	NP	Hussein
constantly	RB	constantly
,	,	,
which	WDT	which
he	PP	he
deserved	VBD	deserve
—	:	-
he	PP	he
had	VBD	have
invaded	VBN	invade
another	DT	another
country	NN	country
.	SENT	.
And	CC	and
so	RB	so
all	RB	all
of	IN	of
a	DT	a
sudden	JJ	sudden
,	,	,
a	DT	a
poem	NN	poem
appeared	VBD	appear
in	IN	in
the	DT	the
papers	NNS	paper
in	IN	in
Baghdad	NP	Baghdad
comparing	VBG	compare
me	PP	me
to	TO	to
many	JJ	many
things	NNS	thing
,	,	,
but	CC	but
among	IN	among
them	PP	them
an	DT	an
"	``	"
unparalleled	JJ	unparalleled
serpent	NN	serpent
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
happened	VBD	happen
to	TO	to
have	VB	have
a	DT	a
snake	NN	snake
pin	NN	pin
.	SENT	.
So	RB	so
I	PP	I
wore	VBD	wear
it	PP	it
when	WRB	when
we	PP	we
talked	VBD	talk
about	IN	about
Iraq	NP	Iraq
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
went	VBD	go
out	RP	out
to	TO	to
meet	VB	meet
the	DT	the
press	NN	press
,	,	,
they	PP	they
zeroed	VBD	zero
in	IN	in
,	,	,
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
are	VBP	be
you	PP	you
wearing	VBG	wear
that	DT	that
snake	NN	snake
pin	NN	pin
?	SENT	?
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Because	IN	because
Saddam	NP	Saddam
Hussein	NP	Hussein
compared	VBD	compare
me	PP	me
to	TO	to
an	DT	an
unparalleled	JJ	unparalleled
serpent	NN	serpent
.	SENT	.
"	''	"
And	CC	and
then	RB	then
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
this	DT	this
is	VBZ	be
fun	NN	fun
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
out	RP	out
and	CC	and
I	PP	I
bought	VBD	buy
a	DT	a
lot	NN	lot
of	IN	of
pins	NNS	pin
that	WDT	that
would	MD	would
,	,	,
in	IN	in
fact	NN	fact
,	,	,
reflect	VB	reflect
what	WP	what
I	PP	I
thought	VBD	think
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
do	VB	do
on	IN	on
any	DT	any
given	VBN	give
day	NN	day
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
how	WRB	how
it	PP	it
all	RB	all
started	VBD	start
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
how	WRB	how
large	JJ	large
is	VBZ	be
the	DT	the
collection	NN	collection
?	SENT	?
MA	NN	ma
:	:	:
Pretty	RB	pretty
big	JJ	big
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
now	RB	now
traveling	VBG	travel
.	SENT	.
At	IN	at
the	DT	the
moment	NN	moment
it	PP	it
'	POS	'
s	NN	S
in	IN	in
Indianapolis	NP	Indianapolis
,	,	,
but	CC	but
it	PP	it
was	VBD	be
at	IN	at
the	DT	the
Smithsonian	NP	Smithsonian
.	SENT	.
And	CC	and
it	PP	it
goes	VBZ	go
with	IN	with
a	DT	a
book	NN	book
that	WDT	that
says	VBZ	say
,	,	,
"	``	"
Read	VB	read
My	PP$	my
Pins	NNS	pin
.	SENT	.
"	''	"
PM	NN	pm
:	:	:
So	RB	so
is	VBZ	be
this	DT	this
a	DT	a
good	JJ	good
idea	NN	idea
.	SENT	.
I	PP	I
remember	VBP	remember
when	WRB	when
you	PP	you
were	VBD	be
the	DT	the
first	JJ	first
woman	NN	woman
as	IN	as
Secretary	NP	Secretary
of	IN	of
State	NP	State
,	,	,
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
conversation	NN	conversation
always	RB	always
about	IN	about
what	WP	what
you	PP	you
were	VBD	be
wearing	VBG	wear
,	,	,
how	WRB	how
you	PP	you
looked	VBD	look
—	:	-
the	DT	the
thing	NN	thing
that	WDT	that
happens	VBZ	happen
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
women	NNS	woman
,	,	,
especially	RB	especially
if	IN	if
they	PP	they
'	''	'
re	IN	re
the	DT	the
first	JJ	first
in	IN	in
a	DT	a
position	NN	position
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
you	PP	you
feel	VBP	feel
about	IN	about
that	DT	that
—	:	-
the	DT	the
whole	JJ	whole
—	:	-
MA	NN	ma
:	:	:
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
irritating	VBG	irritate
actually	RB	actually
because	IN	because
nobody	NN	nobody
ever	RB	ever
describes	VBZ	describe
what	WP	what
a	DT	a
man	NN	man
is	VBZ	be
wearing	VBG	wear
.	SENT	.
But	CC	but
people	NNS	people
did	VBD	do
pay	VB	pay
attention	NN	attention
to	TO	to
what	WDT	what
clothes	NNS	clothes
I	PP	I
had	VBD	have
.	SENT	.
What	WP	what
was	VBD	be
interesting	VBG	interest
was	VBD	be
that	IN	that
,	,	,
before	IN	before
I	PP	I
went	VBD	go
up	RP	up
to	TO	to
New	NP	New
York	NP	York
as	IN	as
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
ambassador	NN	ambassador
,	,	,
I	PP	I
