Interpreter	NN	interpreter
:	:	:
Piano	NN	piano
,	,	,
"	''	"
p	NN	p
,	,	,
"	''	"
is	VBZ	be
my	PP$	my
favorite	JJ	favorite
musical	JJ	musical
symbol	NN	symbol
.	SENT	.
It	PP	it
means	VBZ	mean
to	TO	to
play	VB	play
softly	RB	softly
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
playing	VBG	play
a	DT	a
musical	JJ	musical
instrument	NN	instrument
and	CC	and
you	PP	you
notice	VBP	notice
a	DT	a
"	``	"
p	NN	p
"	''	"
in	IN	in
the	DT	the
score	NN	score
,	,	,
you	PP	you
need	VBP	need
to	TO	to
play	VB	play
softer	JJR	soft
.	SENT	.
Two	CD	two
p	NN	p
'	POS	'
s	NN	S
â	NP	<unknown>
even	RB	even
softer	JJR	soft
.	SENT	.
Four	CD	four
p	NN	p
'	POS	'
s	NN	S
â	NP	<unknown>
extremely	RB	extremely
soft	JJ	soft
.	SENT	.
This	DT	this
is	VBZ	be
my	PP$	my
drawing	NN	drawing
of	IN	of
a	DT	a
p-tree	NN	<unknown>
,	,	,
which	WDT	which
demonstrates	VBZ	demonstrate
no	DT	no
matter	NN	matter
how	WRB	how
many	JJ	many
thousands	NNS	thousand
upon	IN	upon
thousands	NNS	thousand
of	IN	of
p	NN	p
'	POS	'
s	NN	S
there	EX	there
may	MD	may
be	VB	be
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
never	RB	never
reach	VBP	reach
complete	JJ	complete
silence	NN	silence
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
current	JJ	current
definition	NN	definition
of	IN	of
silence	NN	silence
:	:	:
a	DT	a
very	RB	very
obscure	JJ	obscure
sound	NN	sound
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
history	NN	history
of	IN	of
American	JJ	American
Sign	NN	sign
Language	NP	Language
,	,	,
ASL	NP	ASL
,	,	,
plus	CC	plus
a	DT	a
bit	NN	bit
of	IN	of
my	PP$	my
own	JJ	own
background	NN	background
.	SENT	.
French	JJ	French
sign	NN	sign
language	NN	language
was	VBD	be
brought	VBN	bring
to	TO	to
America	NP	America
during	IN	during
the	DT	the
early	JJ	early
1800s	NN	<unknown>
,	,	,
and	CC	and
as	IN	as
time	NN	time
went	VBD	go
by	IN	by
,	,	,
mixed	VBN	mix
with	IN	with
local	JJ	local
signs	NNS	sign
,	,	,
it	PP	it
evolved	VBD	evolve
into	IN	into
the	DT	the
language	NN	language
we	PP	we
know	VBP	know
today	NN	today
as	IN	as
ASL	NP	ASL
.	SENT	.
So	RB	so
it	PP	it
has	VBZ	have
a	DT	a
history	NN	history
of	IN	of
about	RB	about
200	CD	@card@
years	NNS	year
.	SENT	.
I	PP	I
was	VBD	be
born	VBN	bear
deaf	JJ	deaf
,	,	,
and	CC	and
I	PP	I
was	VBD	be
taught	VBN	teach
to	TO	to
believe	VB	believe
that	DT	that
sound	JJ	sound
wasn	NN	<unknown>
'	POS	'
t	NN	t
a	DT	a
part	NN	part
of	IN	of
my	PP$	my
