Hi	UH	hi
.	SENT	.
I	PP	I
did	VBD	do
that	IN	that
for	IN	for
two	CD	two
reasons	NNS	reason
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
give	VB	give
you	PP	you
a	DT	a
good	JJ	good
visual	JJ	visual
first	JJ	first
impression	NN	impression
.	SENT	.
But	CC	but
the	DT	the
main	JJ	main
reason	NN	reason
I	PP	I
did	VBD	do
it	PP	it
is	VBZ	be
that	IN	that
that	DT	that
'	''	'
s	NN	S
what	WP	what
happens	VBZ	happen
to	TO	to
me	PP	me
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
forced	VBD	force
to	TO	to
wear	VB	wear
a	DT	a
Lady	NP	Lady
Gaga	JJ	gaga
skanky	NN	<unknown>
mic	NN	mic
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
used	VBD	use
to	TO	to
a	DT	a
stationary	JJ	stationary
mic	NN	mic
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
sensible	JJ	sensible
shoe	NN	shoe
of	IN	of
public	JJ	public
address	NN	address
.	SENT	.
But	CC	but
you	PP	you
clamp	VBP	clamp
this	DT	this
thing	NN	thing
on	IN	on
my	PP$	my
head	NN	head
,	,	,
and	CC	and
something	NN	something
happens	VBZ	happen
.	SENT	.
I	PP	I
just	RB	just
become	VBP	become
skanky	NN	<unknown>
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
about	IN	about
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
already	RB	already
off-message	NN	off-message
.	SENT	.
Ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
I	PP	I
have	VBP	have
devoted	VBN	devote
the	DT	the
past	JJ	past
25	CD	@card@
years	NNS	year
of	IN	of
my	PP$	my
life	NN	life
to	TO	to
designing	VBG	design
books	NNS	book
.	SENT	.
It	PP	it
all	DT	all
sort	NN	sort
of	IN	of
started	VBN	start
as	IN	as
a	DT	a
benign	JJ	benign
mistake	NN	mistake
,	,	,
like	IN	like
penicillin	NN	penicillin
.	SENT	.
What	WP	what
I	PP	I
really	RB	really
wanted	VBD	want
was	VBD	be
to	TO	to
be	VB	be
a	DT	a
graphic	JJ	graphic
designer	NN	designer
at	IN	at
one	CD	one
of	IN	of
the	DT	the
big	JJ	big
design	NN	design
firms	NNS	firm
in	IN	in
New	NP	New
York	NP	York
City	NP	City
.	SENT	.
But	CC	but
upon	IN	upon
arrival	NN	arrival
there	RB	there
,	,	,
in	IN	in
the	DT	the
fall	NN	fall
of	IN	of
1986	CD	@card@
,	,	,
and	CC	and
doing	VBG	do
a	DT	a
lot	NN	lot
of	IN	of
interviews	NNS	interview
,	,	,
I	PP	I
found	VBD	find
that	IN	that
the	DT	the
only	JJ	only
thing	NN	thing
I	PP	I
was	VBD	be
offered	VBN	offer
was	VBD	be
to	TO	to
be	VB	be
Assistant	NP	Assistant
to	TO	to
the	DT	the
Art	NP	Art
Director	NP	Director
at	IN	at
Alfred	NP	Alfred
A	NP	A
.	SENT	.
Knopf	NP	Knopf
,	,	,
a	DT	a
book	NN	book
publisher	NN	publisher
.	SENT	.
Now	RB	now
I	PP	I
was	VBD	be
stupid	JJ	stupid
,	,	,
but	CC	but
not	RB	not
so	RB	so
stupid	JJ	stupid
that	IN	that
I	PP	I
turned	VBD	turn
it	PP	it
down	RP	down
.	SENT	.
I	PP	I
had	VBD	have
absolutely	RB	absolutely
no	DT	no
idea	NN	idea
what	WP	what
I	PP	I
was	VBD	be
about	RB	about
to	TO	to
become	VB	become
part	NN	part
of	IN	of
,	,	,
and	CC	and
I	PP	I
was	VBD	be
incredibly	RB	incredibly
lucky	JJ	lucky
.	SENT	.
Soon	RB	soon
,	,	,
it	PP	it
had	VBD	have
occurred	VBN	occur
to	TO	to
me	PP	me
what	WP	what
my	PP$	my
job	NN	job
was	VBD	be
.	SENT	.
My	PP$	my
job	NN	job
was	VBD	be
to	TO	to
ask	VB	ask
this	DT	this
question	NN	question
:	:	:
"	``	"
What	WP	what
do	VBP	do
the	DT	the
stories	NNS	story
look	VBP	look
like	IN	like
?	SENT	?
"	''	"
Because	IN	because
that	DT	that
is	VBZ	be
what	WP	what
Knopf	NP	Knopf
is	VBZ	be
.	SENT	.
It	PP	it
is	VBZ	be
the	DT	the
story	NN	story
factory	NN	factory
,	,	,
one	CD	one
of	IN	of
the	DT	the
very	RB	very
best	JJS	good
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
bring	VBP	bring
stories	NNS	story
to	TO	to
the	DT	the
public	NN	public
.	SENT	.
The	DT	the
stories	NNS	story
can	MD	can
be	VB	be
anything	NN	anything
,	,	,
and	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
actually	RB	actually
true	JJ	true
.	SENT	.
But	CC	but
they	PP	they
all	RB	all
have	VBP	have
one	CD	one
thing	NN	thing
in	IN	in
common	JJ	common
:	:	:
They	PP	they
all	RB	all
need	VBP	need
to	TO	to
look	VB	look
like	IN	like
something	NN	something
.	SENT	.
They	PP	they
all	RB	all
need	VBP	need
a	DT	a
face	NN	face
.	SENT	.
Why	WRB	why
?	SENT	?
To	TO	to
give	VB	give
you	PP	you
a	DT	a
first	JJ	first
impression	NN	impression
of	IN	of
what	WP	what
you	PP	you
are	VBP	be
about	RB	about
to	TO	to
get	VB	get
into	IN	into
.	SENT	.
A	DT	a
book	NN	book
designer	NN	designer
gives	VBZ	give
form	NN	form
to	TO	to
content	VB	content
,	,	,
but	CC	but
also	RB	also
manages	VBZ	manage
a	DT	a
very	RB	very
careful	JJ	careful
balance	NN	balance
between	IN	between
the	DT	the
two	CD	two
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
my	PP$	my
graphic	JJ	graphic
design	NN	design
training	NN	training
at	IN	at
