Okay	JJ	okay
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
an	DT	an
experiment	NN	experiment
.	SENT	.
What	WP	what
color	NN	color
is	VBZ	be
the	DT	the
letter	NN	letter
F	NN	F
?	SENT	?
Some	DT	some
of	IN	of
you	PP	you
might	MD	might
have	VB	have
checked	VBN	check
the	DT	the
slide	NN	slide
just	RB	just
like	IN	like
I	PP	I
did	VBD	do
to	TO	to
see	VB	see
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
F	NN	F
up	RB	up
there	RB	there
.	SENT	.
There	RB	there
isn	NP	isn
'	POS	'
t	NN	t
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
might	MD	might
instinctively	RB	instinctively
know	VB	know
what	WP	what
color	NN	color
F	NN	F
is	VBZ	be
.	SENT	.
What	WP	what
if	IN	if
I	PP	I
told	VBD	tell
you	PP	you
that	IN	that
F	NP	F
was	VBD	be
the	DT	the
golden	JJ	golden
yellow	JJ	yellow
color	NN	color
of	IN	of
wheat	NN	wheat
fields	NNS	field
in	IN	in
summer	NN	summer
?	SENT	?
Would	MD	would
you	PP	you
think	VB	think
I	PP	I
'	POS	'
d	NN	d
drunk	NN	drunk
too	RB	too
much	JJ	much
caffeine	NN	caffeine
before	IN	before
coming	VBG	come
on	IN	on
stage	NN	stage
?	SENT	?
Would	MD	would
you	PP	you
think	VBP	think
I	PP	I
was	VBD	be
just	RB	just
making	VBG	make
this	DT	this
up	RB	up
?	SENT	?
Or	CC	or
would	MD	would
you	PP	you
want	VB	want
to	TO	to
argue	VB	argue
with	IN	with
me	PP	me
?	SENT	?
Would	MD	would
you	PP	you
be	VB	be
thinking	VBG	think
F	NN	F
isn	NN	isn
'	POS	'
t	NN	t
yellow	NN	yellow
,	,	,
F	NN	F
is	VBZ	be
green	JJ	green
,	,	,
or	CC	or
F	NP	F
is	VBZ	be
pink	JJ	pink
?	SENT	?
Some	DT	some
of	IN	of
you	PP	you
might	MD	might
be	VB	be
on	IN	on
the	DT	the
same	JJ	same
page	NN	page
as	IN	as
me	PP	me
already	RB	already
,	,	,
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
,	,	,
then	RB	then
allow	VB	allow
me	PP	me
to	TO	to
welcome	VB	welcome
you	PP	you
to	TO	to
the	DT	the
world	NN	world
of	IN	of
synesthesia	NN	synesthesia
.	SENT	.
Synesthesia	NN	synesthesia
is	VBZ	be
a	DT	a
neurological	JJ	neurological
condition	NN	condition
,	,	,
sometimes	RB	sometimes
called	VBD	call
