Thank	VB	thank
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
nice	JJ	nice
to	TO	to
invite	VB	invite
me	PP	me
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
Watergate	NP	Watergate
-	NN	<unknown>
which	WDT	which
was	VBD	be
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
-	JJ	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
about	IN	about
corruption	NN	corruption
,	,	,
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
about	IN	about
Nixon	NP	Nixon
since	IN	since
then	RB	then
-	NN	<unknown>
because	IN	because
of	IN	of
his	PP$	his
secret	JJ	secret
taping	NN	taping
system	NN	system
,	,	,
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
that	WDT	that
comes	VBZ	come
out	RP	out
;	:	;
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
as	RB	as
if	IN	if
every	DT	every
season	NN	season
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
new	JJ	new
batch	NN	batch
of	IN	of
Nixon	NP	Nixon
tapes	NNS	tape
-	NN	<unknown>
and	CC	and
then	RB	then
try	VB	try
to	TO	to
address	VB	address
the	DT	the
question	NN	question
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
What	WP	what
does	VBZ	do
that	DT	that
mean	NN	mean
?	SENT	?
What	WP	what
does	VBZ	do
Watergate	NP	Watergate
,	,	,
what	WP	what
does	VBZ	do
the	DT	the
kind	NN	kind
of	IN	of
corruption	NN	corruption
that	WDT	that
leads	VBZ	lead
to	TO	to
the	DT	the
resignation	NN	resignation
of	IN	of
a	DT	a
president	NN	president
entail	NN	entail
,	,	,
and	CC	and
what	WP	what
happened	VBD	happen
?	SENT	?
The	DT	the
beginning	NN	beginning
of	IN	of
Watergate	NP	Watergate
was	VBD	be
five	CD	five
burglars	NNS	burglar
caught	VBN	catch
in	IN	in
the	DT	the
Democratic	JJ	Democratic
headquarters	NN	headquarters
at	IN	at
the	DT	the
Watergate	NP	Watergate
,	,	,
and	CC	and
it	PP	it
seemed	VBD	seem
bizarre	JJ	bizarre
.	SENT	.
I	PP	I
remember	VBP	remember
that	DT	that
morning	NN	morning
being	VBG	be
called	VBN	call
in	IN	in
to	TO	to
the	DT	the
Post	NP	Post
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
burglars	NNS	burglar
-	NN	<unknown>
I	PP	I
was	VBD	be
sent	VBN	send
down	RP	down
to	TO	to
the	DT	the
courthouse	NN	courthouse
where	WRB	where
the	DT	the
burglars	NNS	burglar
were	VBD	be
arraigned	VBN	arraign
.	SENT	.
They	PP	they
all	RB	all
had	VBD	have
business	NN	business
suits	NNS	suit
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
burglars	NNS	burglar
in	IN	in
Washington	NP	Washington
;	:	;
none	NN	none
to	TO	to
my	PP$	my
knowledge	NN	knowledge
ever	RB	ever
had	VBD	have
business	NN	business
suits	NNS	suit
.	SENT	.
And	CC	and
they	PP	they
were	VBD	be
there	RB	there
before	IN	before
the	DT	the
judge	NN	judge
,	,	,
and	CC	and
the	DT	the
judge	NN	judge
asked	VBD	ask
the	DT	the
leader	NN	leader
where	WRB	where
he	PP	he
worked	VBD	work
,	,	,
and	CC	and
the	DT	the
leader	NN	leader
said	VBD	say
,	,	,
and	CC	and
the	DT	the
judge	NN	judge
said	VBD	say
,	,	,
"	``	"
Speak	VB	speak
up	RP	up
!	SENT	!
"	''	"
And	CC	and
so	RB	so
it	PP	it
was	VBD	be
James	NP	James
McCord	NP	McCord
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
CIA	NP	CIA
.	SENT	.
"	``	"
And	CC	and
the	DT	the
judge	NN	judge
then	RB	then
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
speak	VB	speak
up	RP	up
so	IN	so
we	PP	we
can	MD	can
hear	VB	hear
.	SENT	.
"	''	"
And	CC	and
so	RB	so
,	,	,
McCord	NP	McCord
said	VBD	say
,	,	,
"	``	"
CIA	NP	CIA
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
in	IN	in
the	DT	the
front	JJ	front
row	NN	row
,	,	,
listening	VBG	listen
-	NN	<unknown>
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
speak	VB	speak
English	JJ	English
here	RB	here
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
happened	VBD	happen
-	NN	<unknown>
I	PP	I
said	VBD	say
,	,	,
not	RB	not
in	IN	in
a	DT	a
whisper	NN	whisper
but	CC	but
kind	NN	kind
of	IN	of
blurted	VBD	blurt
it	PP	it
out	RP	out
,	,	,
"	''	"
Holy	NP	Holy
shit	VBD	shit
.	SENT	.
"	``	"
So	RB	so
it	PP	it
was	VBD	be
26	CD	@card@
months	NNS	month
of	IN	of
Watergate	NP	Watergate
and	CC	and
the	DT	the
revelations	NNS	revelation
that	WDT	that
sort	VBP	sort
of	IN	of
tumbled	VBN	tumble
out	RP	out
,	,	,
and	CC	and
as	RB	as
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
now	RB	now
,	,	,
you	PP	you
know	VBP	know
,	,	,
What	WP	what
really	RB	really
was	VBD	be
Watergate	NP	Watergate
?	SENT	?
Wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
that	DT	that
burglary	NN	burglary
;	:	;
it	PP	it
was	VBD	be
the	DT	the
series	NN	series
of	IN	of
illegal	JJ	illegal
activities	NNS	activity
designed	VBN	design
to	TO	to
subvert	VB	subvert
the	DT	the
process	NN	process
of	IN	of
electing	VBG	elect
a	DT	a
president	NN	president
in	IN	in
this	DT	this
country	NN	country
and	CC	and
nominating	VBG	nominate
-	NN	<unknown>
in	IN	in
the	DT	the
case	NN	case
in	IN	in
1972	CD	@card@
-	NN	<unknown>
of	IN	of
the	DT	the
Democratic	JJ	Democratic
opponent	NN	opponent
to	TO	to
Nixon	NP	Nixon
.	SENT	.
Sam	NP	Sam
Ervin	NP	Ervin
,	,	,
who	WP	who
led	VBD	lead
the	DT	the
Senate	NP	Senate
Watergate	NP	Watergate
Committee	NP	Committee
,	,	,
addressed	VBD	address
the	DT	the
question	NN	question
,	,	,
"	''	"
What	WP	what
was	VBD	be
Watergate	NP	Watergate
?	SENT	?
"	``	"
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
It	PP	it
was	VBD	be
this	DT	this
subversion	NN	subversion
,	,	,
but	CC	but
why	WRB	why
?	SENT	?
Why	WRB	why
Watergate	NP	Watergate
?	SENT	?
"	``	"
And	CC	and
his	PP$	his
answer	NN	answer
,	,	,
which	WDT	which
