David	NP	David
Gallo	NP	Gallo
:	:	:
This	DT	this
is	VBZ	be
Bill	NP	Bill
Lange	NP	Lange
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Dave	NP	Dave
Gallo	NP	Gallo
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
some	DT	some
stories	NNS	story
from	IN	from
the	DT	the
sea	NN	sea
here	RB	here
in	IN	in
video	NN	video
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
incredible	JJ	incredible
video	NN	video
of	IN	of
Titanic	JJ	titanic
that	WDT	that
'	POS	'
s	NN	S
ever	RB	ever
been	VBN	be
seen	VBN	see
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
any	DT	any
of	IN	of
it	PP	it
.	SENT	.
The	DT	the
truth	NN	truth
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
that	IN	that
the	DT	the
Titanic	JJ	titanic
—	:	-
even	RB	even
though	IN	though
it	PP	it
'	POS	'
s	NN	S
breaking	VBG	break
all	DT	all
sorts	NNS	sort
of	IN	of
box	NN	box
office	NN	office
records	NNS	record
—	:	-
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
most	RBS	most
exciting	JJ	exciting
story	NN	story
from	IN	from
the	DT	the
sea	NN	sea
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
that	IN	that
we	PP	we
take	VBP	take
the	DT	the
ocean	NN	ocean
for	IN	for
granted	VBN	grant
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
the	DT	the
oceans	NNS	ocean
are	VBP	be
75	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
planet	NN	planet
is	VBZ	be
ocean	NN	ocean
water	NN	water
.	SENT	.
The	DT	the
average	JJ	average
depth	NN	depth
is	VBZ	be
about	RB	about
two	CD	two
miles	NNS	mile
.	SENT	.
Part	NN	part
of	IN	of
the	DT	the
problem	NN	problem
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
we	PP	we
stand	VBP	stand
at	IN	at
the	DT	the
beach	NN	beach
,	,	,
or	CC	or
we	PP	we
see	VBP	see
images	NNS	image
like	IN	like
this	DT	this
of	IN	of
the	DT	the
ocean	NN	ocean
,	,	,
and	CC	and
you	PP	you
look	VBP	look
out	RP	out
at	IN	at
this	DT	this
great	JJ	great
big	JJ	big
blue	JJ	blue
expanse	NN	expanse
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
shimmering	VBG	shimmer
and	CC	and
it	PP	it
'	POS	'
s	NN	S
moving	VBG	move
and	CC	and
there	EX	there
'	''	'
s	NN	S
waves	NNS	wave
and	CC	and
there	EX	there
'	''	'
s	NN	S
surf	NN	surf
and	CC	and
there	EX	there
'	''	'
s	NN	S
tides	NNS	tide
,	,	,
but	CC	but
you	PP	you
have	VBP	have
no	DT	no
idea	NN	idea
for	IN	for
what	WP	what
lies	VBZ	lie
in	IN	in
there	RB	there
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
oceans	NNS	ocean
,	,	,
there	EX	there
are	VBP	be
the	DT	the
longest	JJS	long
mountain	NN	mountain
ranges	NNS	range
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
animals	NNS	animal
are	VBP	be
in	IN	in
the	DT	the
oceans	NNS	ocean
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
earthquakes	NNS	earthquake
and	CC	and
volcanoes	NNS	volcano
are	VBP	be
in	IN	in
the	DT	the
sea	NN	sea
,	,	,
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
sea	NN	sea
.	SENT	.
The	DT	the
biodiversity	NN	biodiversity
and	CC	and
the	DT	the
biodensity	NN	biodensity
in	IN	in
the	DT	the
ocean	NN	ocean
is	VBZ	be
higher	JJR	high
,	,	,
in	IN	in
places	NNS	place
,	,	,
than	IN	than
it	PP	it
is	VBZ	be
in	IN	in
the	DT	the
rainforests	NNS	rainforest
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
mostly	RB	mostly
unexplored	VBN	unexplore
,	,	,
and	CC	and
yet	RB	yet
there	EX	there
are	VBP	be
beautiful	JJ	beautiful
sights	NNS	sight
like	IN	like
this	DT	this
that	WDT	that
captivate	VBP	captivate
us	PP	us
and	CC	and
make	VB	make
us	PP	us
become	VB	become
familiar	JJ	familiar
with	IN	with
it	PP	it
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
standing	NN	standing
at	IN	at
the	DT	the
beach	NN	beach
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
that	IN	that
you	PP	you
'	POS	'
re	NN	re
standing	NN	standing
at	IN	at
the	DT	the
edge	NN	edge
of	IN	of
a	DT	a
very	RB	very
unfamiliar	JJ	unfamiliar
world	NN	world
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
very	RB	very
special	JJ	special
technology	NN	technology
to	TO	to
get	VB	get
into	IN	into
that	DT	that
unfamiliar	JJ	unfamiliar
world	NN	world
.	SENT	.
We	PP	we
use	VBP	use
the	DT	the
submarine	JJ	submarine
Alvin	NP	Alvin
and	CC	and
we	PP	we
use	VBP	use
cameras	NNS	camera
,	,	,
and	CC	and
the	DT	the
cameras	NNS	camera
are	VBP	be
something	NN	something
that	IN	that
Bill	NP	Bill
Lange	NP	Lange
has	VBZ	have
developed	VBN	develop
with	IN	with
the	DT	the
help	NN	help
of	IN	of
Sony	NP	Sony
.	SENT	.
Marcel	NP	Marcel
Proust	NP	Proust
said	VBD	say
,	,	,
"	``	"
The	DT	the
true	JJ	true
voyage	NN	voyage
of	IN	of
discovery	NN	discovery
is	VBZ	be
not	RB	not
so	RB	so
much	JJ	much
in	IN	in
seeking	VBG	seek
new	JJ	new
landscapes	NNS	landscape
as	RB	as
in	IN	in
having	VBG	have
new	JJ	new
eyes	NNS	eye
.	SENT	.
"	''	"
People	NNS	people
that	WDT	that
have	VBP	have
partnered	VBN	partner
with	IN	with
us	PP	us
have	VBP	have
given	VBN	give
us	PP	us
new	JJ	new
eyes	NNS	eye
,	,	,
not	RB	not
only	RB	only
on	IN	on
what	WP	what
exists	VBZ	exist
—	:	-
the	DT	the
new	JJ	new
landscapes	NNS	landscape
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
sea	NN	sea
—	:	-
but	CC	but
also	RB	also
how	WRB	how
we	PP	we
think	VBP	think
about	RB	about
life	NN	life
on	IN	on
the	DT	the
planet	NN	planet
itself	PP	itself
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
jelly	NN	jelly
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
my	PP$	my
favorites	NNS	favorite
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
all	DT	all
sorts	NNS	sort
of	IN	of
working	VBG	work
parts	NNS	part
.	SENT	.
This	DT	this
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
longest	JJS	long
creature	NN	creature
in	IN	in
the	DT	the
oceans	NNS	ocean
.	SENT	.
It	PP	it
gets	VBZ	get
up	RP	up
to	TO	to
about	RB	about
150	CD	@card@
feet	NNS	foot
long	RB	long
.	SENT	.
But	CC	but
see	VB	see
all	PDT	all
those	DT	those
different	JJ	different
working	NN	working
things	NNS	thing
?	SENT	?
I	PP	I
love	VBP	love
that	DT	that
kind	NN	kind
of	IN	of
stuff	NN	stuff
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
these	DT	these
fishing	NN	fishing
lures	VBZ	lure
on	IN	on
the	DT	the
bottom	NN	bottom
.	SENT	.
They	PP	they
'	''	'
re	IN	re
going	VBG	go
up	RP	up
and	CC	and
down	RP	down
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
tentacles	NNS	tentacle
dangling	VBG	dangle
,	,	,
swirling	VBG	swirl
around	RP	around
like	IN	like
