Hello	UH	hello
,	,	,
everybody	NN	everybody
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
welcome	VB	welcome
you	PP	you
to	TO	to
the	DT	the
Last	JJ	last
Supper	NN	supper
.	SENT	.
This	DT	this
menu	NN	menu
has	VBZ	have
been	VBN	be
put	VBN	put
together	RB	together
with	IN	with
ingredients	NNS	ingredient
that	IN	that
experts	NNS	expert
and	CC	and
models	NNS	model
predict	VBP	predict
will	MD	will
not	RB	not
be	VB	be
around	RB	around
for	IN	for
our	PP$	our
kids	NNS	kid
and	CC	and
our	PP$	our
grandkids	NNS	grandkid
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
many	JJ	many
of	IN	of
the	DT	the
foods	NNS	food
that	WDT	that
we	PP	we
that	IN	that
we	PP	we
hold	VBP	hold
dear	RB	dear
.	SENT	.
Now	RB	now
I	PP	I
started	VBD	start
off	RP	off
my	PP$	my
career	NN	career
as	IN	as
a	DT	a
chef	NN	chef
and	CC	and
then	RB	then
into	IN	into
policy	NN	policy
and	CC	and
now	RB	now
working	VBG	work
on	IN	on
technology	NN	technology
and	CC	and
innovation	NN	innovation
,	,	,
trying	VBG	try
to	TO	to
build	VB	build
some	DT	some
of	IN	of
the	DT	the
solutions	NNS	solution
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
I	PP	I
first	RB	first
came	VBD	come
up	RP	up
with	IN	with
this	DT	this
menu	NN	menu
idea	NN	idea
in	IN	in
2015	CD	@card@
,	,	,
around	IN	around
COP21	NP	<unknown>
in	IN	in
Paris	NP	Paris
.	SENT	.
And	CC	and
the	DT	the
point	NN	point
of	IN	of
this	DT	this
menu	NN	menu
is	VBZ	be
not	RB	not
to	TO	to
depress	VB	depress
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
to	TO	to
,	,	,
you	PP	you
know	VBP	know
,	,	,
make	VBP	make
you	PP	you
feel	VBP	feel
bad	JJ	bad
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
to	TO	to
really	RB	really
talk	VB	talk
about	RB	about
what	WP	what
'	POS	'
s	NN	S
at	IN	at
stake	NN	stake
when	WRB	when
we	PP	we
say	VBP	say
the	DT	the
words	NNS	word
climate	NN	climate
change	NN	change
.	SENT	.
What	WP	what
do	VBP	do
the	DT	the
words	NNS	word
climate	NN	climate
change	VBP	change
actually	RB	actually
mean	VB	mean
?	SENT	?
What	WP	what
does	VBZ	do
two	CD	two
degrees	NNS	degree
'	POS	'
warming	NN	warming
actually	RB	actually
mean	VB	mean
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
from	IN	from
Chicago	NP	Chicago
,	,	,
like	JJ	like
,	,	,
two	CD	two
degrees	NNS	degree
